Year,Units,Series,Value
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,23.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,23.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,23.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,23.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,22.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,22.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,23.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,22.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,22.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,22.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,21.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,20.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,20.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,19.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,18.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,18.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,18.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,18.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,16.0
2006,percentage,<u>additional time series:</u> adjusted gender pay gap,8.0
2007,percentage,<u>additional time series:</u> adjusted gender pay gap,
2008,percentage,<u>additional time series:</u> adjusted gender pay gap,
2009,percentage,<u>additional time series:</u> adjusted gender pay gap,
2010,percentage,<u>additional time series:</u> adjusted gender pay gap,7.0
2011,percentage,<u>additional time series:</u> adjusted gender pay gap,
2012,percentage,<u>additional time series:</u> adjusted gender pay gap,
2013,percentage,<u>additional time series:</u> adjusted gender pay gap,
2014,percentage,<u>additional time series:</u> adjusted gender pay gap,6.0
2015,percentage,<u>additional time series:</u> adjusted gender pay gap,
2016,percentage,<u>additional time series:</u> adjusted gender pay gap,
2017,percentage,<u>additional time series:</u> adjusted gender pay gap,
2018,percentage,<u>additional time series:</u> adjusted gender pay gap,6.0
2019,percentage,<u>additional time series:</u> adjusted gender pay gap,
2020,percentage,<u>additional time series:</u> adjusted gender pay gap,
2021,percentage,<u>additional time series:</u> adjusted gender pay gap,
2022,percentage,<u>additional time series:</u> adjusted gender pay gap,7.0
2023,percentage,<u>additional time series:</u> adjusted gender pay gap,6.0
2024,percentage,<u>additional time series:</u> adjusted gender pay gap,6.0
