Year,Value,Units,GeoCode
1999,33.351,Percentage,
2010,41.315,Percentage,
2011,42.225,Percentage,
2012,43.433,Percentage,
2013,44.482,Percentage,
2014,45.67,Percentage,
2015,46.77,Percentage,
2016,47.879,Percentage,
2017,48.835,Percentage,
2018,49.833,Percentage,
2019,50.488,Percentage,
2020,52.3,Percentage,
2021,53.6,Percentage,
2022,53.4,Percentage,
2023,56.327,Percentage,
2000,32.997,Percentage,
2001,33.171,Percentage,
2002,33.277,Percentage,
2003,33.892,Percentage,
2004,36.22,Percentage,
2005,35.988,Percentage,
2006,36.5,Percentage,
2007,37.633,Percentage,
2008,38.766,Percentage,
2009,40.713,Percentage,
2030,,Percentage,
