Year,Value,Units
1991,2.4,Percentage
1992,2.28,Percentage
1993,2.21,Percentage
1994,2.13,Percentage
1995,2.13,Percentage
1996,2.15,Percentage
1997,2.18,Percentage
1998,2.25,Percentage
1999,2.33,Percentage
2000,2.39,Percentage
2001,2.38,Percentage
2002,2.41,Percentage
2003,2.44,Percentage
2004,2.4,Percentage
2005,2.4,Percentage
2006,2.43,Percentage
2007,2.42,Percentage
2008,2.57,Percentage
2009,2.69,Percentage
2010,2.68,Percentage
2011,2.75,Percentage
2012,2.82,Percentage
2013,2.78,Percentage
2014,2.82,Percentage
2015,2.88,Percentage
2016,2.88,Percentage
2017,2.99,Percentage
2018,3.05,Percentage
2019,3.11,Percentage
2020,3.09,Percentage
2021,3.08,Percentage
2022,3.07,Percentage
2023,3.1,Percentage
2025,,Percentage
