Year,Value,Units
1996,79.074,Percentage
1997,79.111,Percentage
1998,73.602,Percentage
1999,70.166,Percentage
2000,67.682,Percentage
2001,68.389,Percentage
2002,67.578,Percentage
2003,67.18,Percentage
2004,65.425,Percentage
2005,64.178,Percentage
2006,63.037,Percentage
2007,61.523,Percentage
2008,61.181,Percentage
2009,61.8,Percentage
2010,60.538,Percentage
2011,58.869,Percentage
2012,58.294,Percentage
2013,57.669,Percentage
2014,57.819,Percentage
2015,56.796,Percentage
2016,56.374,Percentage
2017,54.504,Percentage
2018,54.376,Percentage
2019,51.847,Percentage
2020,51.059,Percentage
2021,52.036,Percentage
2022,50.828,Percentage
2023,49.453,Percentage
