Year,Value,Units,Series,COMMENT_OBS_0
2015,,Percentage,a) Sustainability in procurement procedures,.
2016,,Percentage,a) Sustainability in procurement procedures,.
2017,,Percentage,a) Sustainability in procurement procedures,.
2018,,Percentage,a) Sustainability in procurement procedures,.
2019,,Percentage,a) Sustainability in procurement procedures,.
2020,,Percentage,a) Sustainability in procurement procedures,.
2021,12.6,Percentage,a) Sustainability in procurement procedures,
2022,12.8,Percentage,a) Sustainability in procurement procedures,
2023,14.0,Percentage,a) Sustainability in procurement procedures,
2026,,Percentage,a) Sustainability in procurement procedures,…
2015,100.0,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,
2016,100.021,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r
2017,99.997,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r
2018,100.344,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r
2019,100.846,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r
2020,101.112,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r
2021,100.506,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r
2022,99.043,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,r
2023,96.789,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,
2026,,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,…
2015,,Percentage,c) Sustainable textile procurement,.
2016,,Percentage,c) Sustainable textile procurement,.
2017,,Percentage,c) Sustainable textile procurement,.
2018,,Percentage,c) Sustainable textile procurement,.
2019,,Percentage,c) Sustainable textile procurement,.
2020,,Percentage,c) Sustainable textile procurement,.
2021,,Percentage,c) Sustainable textile procurement,.
2022,,Percentage,c) Sustainable textile procurement,.
2023,0.0,Percentage,c) Sustainable textile procurement,
2026,,Percentage,c) Sustainable textile procurement,…
