Year,Value,Units,Series
2006,6.499,Percentage,a) 0 to 2-year-olds
2007,7.321,Percentage,a) 0 to 2-year-olds
2008,8.284,Percentage,a) 0 to 2-year-olds
2009,9.87,Percentage,a) 0 to 2-year-olds
2010,11.597,Percentage,a) 0 to 2-year-olds
2011,12.94,Percentage,a) 0 to 2-year-olds
2012,14.629,Percentage,a) 0 to 2-year-olds
2013,15.758,Percentage,a) 0 to 2-year-olds
2014,17.462,Percentage,a) 0 to 2-year-olds
2015,18.065,Percentage,a) 0 to 2-year-olds
2016,18.32,Percentage,a) 0 to 2-year-olds
2017,18.478,Percentage,a) 0 to 2-year-olds
2018,18.837,Percentage,a) 0 to 2-year-olds
2019,19.321,Percentage,a) 0 to 2-year-olds
2020,19.583,Percentage,a) 0 to 2-year-olds
2021,18.942,Percentage,a) 0 to 2-year-olds
2022,19.297,Percentage,a) 0 to 2-year-olds
2023,19.659,Percentage,a) 0 to 2-year-olds
2024,19.97,Percentage,a) 0 to 2-year-olds
2030,,Percentage,a) 0 to 2-year-olds
2006,22.091,Percentage,b) 3 to 5-year-olds
2007,24.329,Percentage,b) 3 to 5-year-olds
2008,27.067,Percentage,b) 3 to 5-year-olds
2009,29.87,Percentage,b) 3 to 5-year-olds
2010,32.321,Percentage,b) 3 to 5-year-olds
2011,34.879,Percentage,b) 3 to 5-year-olds
2012,37.245,Percentage,b) 3 to 5-year-olds
2013,39.485,Percentage,b) 3 to 5-year-olds
2014,41.945,Percentage,b) 3 to 5-year-olds
2015,43.935,Percentage,b) 3 to 5-year-olds
2016,44.756,Percentage,b) 3 to 5-year-olds
2017,45.509,Percentage,b) 3 to 5-year-olds
2018,46.132,Percentage,b) 3 to 5-year-olds
2019,47.178,Percentage,b) 3 to 5-year-olds
2020,47.913,Percentage,b) 3 to 5-year-olds
2021,47.324,Percentage,b) 3 to 5-year-olds
2022,47.353,Percentage,b) 3 to 5-year-olds
2023,47.003,Percentage,b) 3 to 5-year-olds
2024,46.976,Percentage,b) 3 to 5-year-olds
2030,,Percentage,b) 3 to 5-year-olds
