Year,Value,Units,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1
1991,24.84,Percentage,,,
1992,25.009,Percentage,,,
1993,23.962,Percentage,,,
1994,24.025,Percentage,,,
1995,23.465,Percentage,,,
1996,22.933,Percentage,,,
1997,22.573,Percentage,,,
1998,22.701,Percentage,,,
1999,22.833,Percentage,,,
2000,22.883,Percentage,,r,
2001,21.543,Percentage,,r,
2002,19.887,Percentage,,r,
2003,19.264,Percentage,,r,
2004,18.831,Percentage,,r,
2005,18.764,Percentage,,r,
2006,19.462,Percentage,,r,
2007,19.715,Percentage,,r,
2008,19.963,Percentage,,r,
2009,18.838,Percentage,,r,
2010,19.186,Percentage,,r,
2011,20.008,Percentage,,r,
2012,19.966,Percentage,,r,
2013,19.577,Percentage,,r,
2014,19.783,Percentage,,r,
2015,19.748,Percentage,,r,
2016,20.044,Percentage,,r,
2017,20.134,Percentage,,r,
2018,20.818,Percentage,,r,
2019,21.152,Percentage,,r,
2020,21.343,Percentage,,r,
2021,21.182,Percentage,,r,
2022,21.601,Percentage,,r,p
2023,21.192,Percentage,,r,p
2024,20.46,Percentage,,r,p
2025,20.313,Percentage,,r,p
