Year,Units,Value
1991,Prozent,24.84
1992,Prozent,25.009
1993,Prozent,23.962
1994,Prozent,24.025
1995,Prozent,23.465
1996,Prozent,22.933
1997,Prozent,22.573
1998,Prozent,22.701
1999,Prozent,22.833
2000,Prozent,22.883
2001,Prozent,21.543
2002,Prozent,19.887
2003,Prozent,19.264
2004,Prozent,18.831
2005,Prozent,18.764
2006,Prozent,19.462
2007,Prozent,19.715
2008,Prozent,19.96
2009,Prozent,18.831
2010,Prozent,19.18
2011,Prozent,20.002
2012,Prozent,19.958
2013,Prozent,19.572
2014,Prozent,19.778
2015,Prozent,19.757
2016,Prozent,20.038
2017,Prozent,20.146
2018,Prozent,20.835
2019,Prozent,21.167
2020,Prozent,21.349
2021,Prozent,21.194
2022,Prozent,21.707
2023,Prozent,21.5
2024,Prozent,20.857
