Year,Units,Series,Value
2006,Percentage,XXXUnbereinigter Gender Pay Gap,23.0
2007,Percentage,XXXUnbereinigter Gender Pay Gap,23.0
2008,Percentage,XXXUnbereinigter Gender Pay Gap,23.0
2009,Percentage,XXXUnbereinigter Gender Pay Gap,23.0
2010,Percentage,XXXUnbereinigter Gender Pay Gap,22.0
2011,Percentage,XXXUnbereinigter Gender Pay Gap,22.0
2012,Percentage,XXXUnbereinigter Gender Pay Gap,23.0
2013,Percentage,XXXUnbereinigter Gender Pay Gap,22.0
2014,Percentage,XXXUnbereinigter Gender Pay Gap,22.0
2015,Percentage,XXXUnbereinigter Gender Pay Gap,22.0
2016,Percentage,XXXUnbereinigter Gender Pay Gap,21.0
2017,Percentage,XXXUnbereinigter Gender Pay Gap,20.0
2018,Percentage,XXXUnbereinigter Gender Pay Gap,20.0
2019,Percentage,XXXUnbereinigter Gender Pay Gap,19.0
2020,Percentage,XXXUnbereinigter Gender Pay Gap,18.0
2021,Percentage,XXXUnbereinigter Gender Pay Gap,18.0
2022,Percentage,XXXUnbereinigter Gender Pay Gap,18.0
2023,Percentage,XXXUnbereinigter Gender Pay Gap,18.0
2024,Percentage,XXXUnbereinigter Gender Pay Gap,16.0
2006,Percentage,XXXBereinigter Gender Pay Gap,8.0
2007,Percentage,XXXBereinigter Gender Pay Gap,
2008,Percentage,XXXBereinigter Gender Pay Gap,
2009,Percentage,XXXBereinigter Gender Pay Gap,
2010,Percentage,XXXBereinigter Gender Pay Gap,7.0
2011,Percentage,XXXBereinigter Gender Pay Gap,
2012,Percentage,XXXBereinigter Gender Pay Gap,
2013,Percentage,XXXBereinigter Gender Pay Gap,
2014,Percentage,XXXBereinigter Gender Pay Gap,6.0
2015,Percentage,XXXBereinigter Gender Pay Gap,
2016,Percentage,XXXBereinigter Gender Pay Gap,
2017,Percentage,XXXBereinigter Gender Pay Gap,
2018,Percentage,XXXBereinigter Gender Pay Gap,6.0
2019,Percentage,XXXBereinigter Gender Pay Gap,
2020,Percentage,XXXBereinigter Gender Pay Gap,
2021,Percentage,XXXBereinigter Gender Pay Gap,
2022,Percentage,XXXBereinigter Gender Pay Gap,7.0
2023,Percentage,XXXBereinigter Gender Pay Gap,6.0
2024,Percentage,XXXBereinigter Gender Pay Gap,6.0
