Year,Units,Series,Value
2005,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1958.0
2006,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1985.0
2007,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1956.0
2008,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1917.0
2009,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1906.0
2010,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1913.0
2011,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1909.0
2012,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1828.0
2013,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1862.0
2014,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,1906.0
2015,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2004.0
2016,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2073.0
2017,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2182.0
2018,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2167.0
2019,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2176.0
2020,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2184.0
2021,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2290.0
2022,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2361.0
2023,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,2455.0
2024,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,4533.0
2030,Number,<u>Time series of the indicator:</u> Locations of organisation registered with EMAS,
2005,1 000,<u>Additional time series:</u> Employees in EMAS organisations,961.0
2006,1 000,<u>Additional time series:</u> Employees in EMAS organisations,926.0
2007,1 000,<u>Additional time series:</u> Employees in EMAS organisations,860.0
2008,1 000,<u>Additional time series:</u> Employees in EMAS organisations,840.0
2009,1 000,<u>Additional time series:</u> Employees in EMAS organisations,803.0
2010,1 000,<u>Additional time series:</u> Employees in EMAS organisations,781.0
2011,1 000,<u>Additional time series:</u> Employees in EMAS organisations,765.0
2012,1 000,<u>Additional time series:</u> Employees in EMAS organisations,773.0
2013,1 000,<u>Additional time series:</u> Employees in EMAS organisations,788.0
2014,1 000,<u>Additional time series:</u> Employees in EMAS organisations,785.0
2015,1 000,<u>Additional time series:</u> Employees in EMAS organisations,801.0
2016,1 000,<u>Additional time series:</u> Employees in EMAS organisations,842.0
2017,1 000,<u>Additional time series:</u> Employees in EMAS organisations,985.0
2018,1 000,<u>Additional time series:</u> Employees in EMAS organisations,929.0
2019,1 000,<u>Additional time series:</u> Employees in EMAS organisations,988.0
2020,1 000,<u>Additional time series:</u> Employees in EMAS organisations,860.0
2021,1 000,<u>Additional time series:</u> Employees in EMAS organisations,911.0
2022,1 000,<u>Additional time series:</u> Employees in EMAS organisations,915.0
2023,1 000,<u>Additional time series:</u> Employees in EMAS organisations,1180.0
2024,1 000,<u>Additional time series:</u> Employees in EMAS organisations,1258.0
2030,1 000,<u>Additional time series:</u> Employees in EMAS organisations,
2005,Number,<u>Additional time series:</u> EMAS organisations,1491.0
2006,Number,<u>Additional time series:</u> EMAS organisations,1490.0
2007,Number,<u>Additional time series:</u> EMAS organisations,1466.0
2008,Number,<u>Additional time series:</u> EMAS organisations,1408.0
2009,Number,<u>Additional time series:</u> EMAS organisations,1354.0
2010,Number,<u>Additional time series:</u> EMAS organisations,1332.0
2011,Number,<u>Additional time series:</u> EMAS organisations,1269.0
2012,Number,<u>Additional time series:</u> EMAS organisations,1212.0
2013,Number,<u>Additional time series:</u> EMAS organisations,1228.0
2014,Number,<u>Additional time series:</u> EMAS organisations,1223.0
2015,Number,<u>Additional time series:</u> EMAS organisations,1216.0
2016,Number,<u>Additional time series:</u> EMAS organisations,1225.0
2017,Number,<u>Additional time series:</u> EMAS organisations,1240.0
2018,Number,<u>Additional time series:</u> EMAS organisations,1183.0
2019,Number,<u>Additional time series:</u> EMAS organisations,1150.0
2020,Number,<u>Additional time series:</u> EMAS organisations,1113.0
2021,Number,<u>Additional time series:</u> EMAS organisations,1115.0
2022,Number,<u>Additional time series:</u> EMAS organisations,1117.0
2023,Number,<u>Additional time series:</u> EMAS organisations,1115.0
2024,Number,<u>Additional time series:</u> EMAS organisations,1122.0
2030,Number,<u>Additional time series:</u> EMAS organisations,
