Year,Units,Sex,Value
2007,Percentage,,45.4
2010,Percentage,,45.0
2011,Percentage,,50.2
2012,Percentage,,50.0
2014,Percentage,,52.0
2016,Percentage,,52.0
2018,Percentage,,56.0
2020,Percentage,,62.0
2022,Percentage,,60.4
2008,Percentage,,
2009,Percentage,,
2013,Percentage,,
2015,Percentage,,
2017,Percentage,,
2019,Percentage,,
2021,Percentage,,
2030,Percentage,,
2007,Percentage,Female,42.4
2010,Percentage,Female,
2011,Percentage,Female,47.6
2012,Percentage,Female,
2014,Percentage,Female,
2016,Percentage,Female,52.2
2018,Percentage,Female,
2020,Percentage,Female,
2022,Percentage,Female,60.9
2008,Percentage,Female,
2009,Percentage,Female,
2013,Percentage,Female,
2015,Percentage,Female,
2017,Percentage,Female,
2019,Percentage,Female,
2021,Percentage,Female,
2007,Percentage,Male,48.3
2010,Percentage,Male,
2011,Percentage,Male,52.8
2012,Percentage,Male,
2014,Percentage,Male,
2016,Percentage,Male,51.8
2018,Percentage,Male,
2020,Percentage,Male,
2022,Percentage,Male,60.0
2008,Percentage,Male,
2009,Percentage,Male,
2013,Percentage,Male,
2015,Percentage,Male,
2017,Percentage,Male,
2019,Percentage,Male,
2021,Percentage,Male,
