Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Federal state,GeoCode,Value
1991,Percentage,,,,,24.84
1992,Percentage,,,,,25.009
1993,Percentage,,,,,23.962
1994,Percentage,,,,,24.025
1995,Percentage,,,,,23.465
1996,Percentage,,,,,22.933
1997,Percentage,,,,,22.573
1998,Percentage,,,,,22.701
1999,Percentage,,,,,22.833
2000,Percentage,r,,,,22.883
2001,Percentage,r,,,,21.543
2002,Percentage,r,,,,19.887
2003,Percentage,r,,,,19.264
2004,Percentage,r,,,,18.831
2005,Percentage,r,,,,18.764
2006,Percentage,r,,,,19.462
2007,Percentage,r,,,,19.715
2008,Percentage,r,,,,19.96
2009,Percentage,r,,,,18.831
2010,Percentage,r,,,,19.18
2011,Percentage,r,,,,20.002
2012,Percentage,r,,,,19.958
2013,Percentage,r,,,,19.572
2014,Percentage,r,,,,19.778
2015,Percentage,r,,,,19.757
2016,Percentage,r,,,,20.038
2017,Percentage,r,,,,20.146
2018,Percentage,r,,,,20.835
2019,Percentage,r,,,,21.167
2020,Percentage,r,,,,21.349
2021,Percentage,r,p,,,21.194
2022,Percentage,r,p,,,21.707
2023,Percentage,r,p,,,21.5
2024,Percentage,p,,,,20.857
1991,Percentage,,,Baden-Wuerttemberg,code08,24.707
1992,Percentage,,,Baden-Wuerttemberg,code08,24.326
1993,Percentage,,,Baden-Wuerttemberg,code08,23.065
1994,Percentage,,,Baden-Wuerttemberg,code08,21.766
1995,Percentage,,,Baden-Wuerttemberg,code08,20.41
1996,Percentage,,,Baden-Wuerttemberg,code08,20.321
1997,Percentage,,,Baden-Wuerttemberg,code08,19.561
1998,Percentage,,,Baden-Wuerttemberg,code08,20.074
1999,Percentage,,,Baden-Wuerttemberg,code08,20.331
2000,Percentage,,,Baden-Wuerttemberg,code08,21.208
2001,Percentage,,,Baden-Wuerttemberg,code08,21.57
2002,Percentage,,,Baden-Wuerttemberg,code08,20.468
2003,Percentage,,,Baden-Wuerttemberg,code08,19.268
2004,Percentage,,,Baden-Wuerttemberg,code08,19.84
2005,Percentage,,,Baden-Wuerttemberg,code08,19.227
2006,Percentage,,,Baden-Wuerttemberg,code08,20.17
2007,Percentage,,,Baden-Wuerttemberg,code08,20.372
2008,Percentage,,,Baden-Wuerttemberg,code08,21.165
2009,Percentage,,,Baden-Wuerttemberg,code08,20.642
2010,Percentage,,,Baden-Wuerttemberg,code08,19.826
2011,Percentage,,,Baden-Wuerttemberg,code08,20.631
2012,Percentage,,,Baden-Wuerttemberg,code08,21.706
2013,Percentage,,,Baden-Wuerttemberg,code08,20.888
2014,Percentage,,,Baden-Wuerttemberg,code08,20.532
2015,Percentage,,,Baden-Wuerttemberg,code08,20.807
2016,Percentage,,,Baden-Wuerttemberg,code08,20.979
2017,Percentage,,,Baden-Wuerttemberg,code08,21.847
2018,Percentage,,,Baden-Wuerttemberg,code08,22.957
