Year,Units,COMMENT_OBS_0,Länder,GeoCode,Value
2006,Percentage,r,,,4.187
2009,Percentage,r,,,4.24
2012,Percentage,r,,,4.299
2015,Percentage,r,,,4.327
2018,Percentage,r,,,5.175
2021,Percentage,,,,4.85
2007,Percentage,.,,,
2008,Percentage,.,,,
2010,Percentage,.,,,
2011,Percentage,.,,,
2013,Percentage,.,,,
2014,Percentage,.,,,
2016,Percentage,.,,,
2017,Percentage,.,,,
2019,Percentage,.,,,
2020,Percentage,.,,,
2006,Percentage,,Baden-Wuerttemberg,code08,4.868
2009,Percentage,,Baden-Wuerttemberg,code08,4.93
2012,Percentage,,Baden-Wuerttemberg,code08,5.0
2015,Percentage,,Baden-Wuerttemberg,code08,5.021
2018,Percentage,,Baden-Wuerttemberg,code08,6.152
2021,Percentage,,Baden-Wuerttemberg,code08,5.936
2007,Percentage,.,Baden-Wuerttemberg,code08,
2008,Percentage,.,Baden-Wuerttemberg,code08,
2010,Percentage,.,Baden-Wuerttemberg,code08,
2011,Percentage,.,Baden-Wuerttemberg,code08,
2013,Percentage,.,Baden-Wuerttemberg,code08,
2014,Percentage,.,Baden-Wuerttemberg,code08,
2016,Percentage,.,Baden-Wuerttemberg,code08,
2017,Percentage,.,Baden-Wuerttemberg,code08,
2019,Percentage,.,Baden-Wuerttemberg,code08,
2020,Percentage,.,Baden-Wuerttemberg,code08,
2006,Percentage,,Bavaria,code09,3.431
2009,Percentage,,Bavaria,code09,3.473
2012,Percentage,,Bavaria,code09,3.52
2015,Percentage,,Bavaria,code09,3.543
2018,Percentage,,Bavaria,code09,4.456
2021,Percentage,,Bavaria,code09,4.518
2007,Percentage,.,Bavaria,code09,
2008,Percentage,.,Bavaria,code09,
2010,Percentage,.,Bavaria,code09,
2011,Percentage,.,Bavaria,code09,
2013,Percentage,.,Bavaria,code09,
2014,Percentage,.,Bavaria,code09,
2016,Percentage,.,Bavaria,code09,
2017,Percentage,.,Bavaria,code09,
2019,Percentage,.,Bavaria,code09,
2020,Percentage,.,Bavaria,code09,
2006,Percentage,,Berlin,code11,32.35
2009,Percentage,,Berlin,code11,32.54
2012,Percentage,,Berlin,code11,32.723
2015,Percentage,,Berlin,code11,32.814
2018,Percentage,,Berlin,code11,32.614
2021,Percentage,,Berlin,code11,30.66
2007,Percentage,.,Berlin,code11,
2008,Percentage,.,Berlin,code11,
2010,Percentage,.,Berlin,code11,
2011,Percentage,.,Berlin,code11,
2013,Percentage,.,Berlin,code11,
2014,Percentage,.,Berlin,code11,
2016,Percentage,.,Berlin,code11,
2017,Percentage,.,Berlin,code11,
2019,Percentage,.,Berlin,code11,
2020,Percentage,.,Berlin,code11,
2006,Percentage,,Brandenburg,code12,2.536
2009,Percentage,,Brandenburg,code12,2.579
2012,Percentage,,Brandenburg,code12,2.645
2015,Percentage,,Brandenburg,code12,2.686
2018,Percentage,,Brandenburg,code12,3.125
2021,Percentage,,Brandenburg,code12,2.619
2007,Percentage,.,Brandenburg,code12,
2008,Percentage,.,Brandenburg,code12,
2010,Percentage,.,Brandenburg,code12,
2011,Percentage,.,Brandenburg,code12,
2013,Percentage,.,Brandenburg,code12,
2014,Percentage,.,Brandenburg,code12,
2016,Percentage,.,Brandenburg,code12,
2017,Percentage,.,Brandenburg,code12,
2019,Percentage,.,Brandenburg,code12,
2020,Percentage,.,Brandenburg,code12,
2006,Percentage,,Bremen,code04,26.541
2009,Percentage,,Bremen,code04,26.953
2012,Percentage,,Bremen,code04,27.146
2015,Percentage,,Bremen,code04,27.195
2018,Percentage,r,Bremen,code04,28.253
2021,Percentage,,Bremen,code04,26.181
2007,Percentage,.,Bremen,code04,
2008,Percentage,.,Bremen,code04,
2010,Percentage,.,Bremen,code04,
2011,Percentage,.,Bremen,code04,
2013,Percentage,.,Bremen,code04,
2014,Percentage,.,Bremen,code04,
2016,Percentage,.,Bremen,code04,
2017,Percentage,.,Bremen,code04,
2019,Percentage,.,Bremen,code04,
2020,Percentage,.,Bremen,code04,
2006,Percentage,,Hamburg,code02,26.024
2009,Percentage,,Hamburg,code02,26.301
2012,Percentage,,Hamburg,code02,26.571
2015,Percentage,,Hamburg,code02,26.656
2018,Percentage,,Hamburg,code02,27.833
2021,Percentage,,Hamburg,code02,26.466
2007,Percentage,.,Hamburg,code02,
2008,Percentage,.,Hamburg,code02,
2010,Percentage,.,Hamburg,code02,
2011,Percentage,.,Hamburg,code02,
2013,Percentage,.,Hamburg,code02,
2014,Percentage,.,Hamburg,code02,
2016,Percentage,.,Hamburg,code02,
2017,Percentage,.,Hamburg,code02,
2019,Percentage,.,Hamburg,code02,
2020,Percentage,.,Hamburg,code02,
2006,Percentage,,Hesse,code06,4.784
2009,Percentage,,Hesse,code06,4.853
2012,Percentage,,Hesse,code06,4.913
2015,Percentage,,Hesse,code06,4.933
2018,Percentage,,Hesse,code06,5.827
2021,Percentage,,Hesse,code06,5.436
2007,Percentage,.,Hesse,code06,
2008,Percentage,.,Hesse,code06,
2010,Percentage,.,Hesse,code06,
2011,Percentage,.,Hesse,code06,
2013,Percentage,.,Hesse,code06,
2014,Percentage,.,Hesse,code06,
2016,Percentage,.,Hesse,code06,
2017,Percentage,.,Hesse,code06,
2019,Percentage,.,Hesse,code06,
2020,Percentage,.,Hesse,code06,
2006,Percentage,,Mecklenburg Western Pomerania,code13,1.904
2009,Percentage,,Mecklenburg Western Pomerania,code13,1.933
2012,Percentage,,Mecklenburg Western Pomerania,code13,1.982
2015,Percentage,,Mecklenburg Western Pomerania,code13,1.999
2018,Percentage,,Mecklenburg Western Pomerania,code13,2.296
2021,Percentage,,Mecklenburg Western Pomerania,code13,2.022
2007,Percentage,.,Mecklenburg Western Pomerania,code13,
2008,Percentage,.,Mecklenburg Western Pomerania,code13,
2010,Percentage,.,Mecklenburg Western Pomerania,code13,
2011,Percentage,.,Mecklenburg Western Pomerania,code13,
