Year,Units,Federal state,GeoCode,Value
2008,Percentage,,,81.8
2009,Percentage,,,82.5
2010,Percentage,,,81.7
2011,Percentage,,,82.0
2012,Percentage,,,81.0
2013,Percentage,,,81.4
2014,Percentage,,,81.8
2015,Percentage,,,81.0
2016,Percentage,,,81.8
2017,Percentage,,,83.1
2018,Percentage,,,82.7
2019,Percentage,,,84.2
2020,Percentage,,,84.1
2021,Percentage,,,84.0
2022,Percentage,,,84.0
2008,Percentage,Baden-Wuerttemberg,code08,89.2
2009,Percentage,Baden-Wuerttemberg,code08,88.3
2010,Percentage,Baden-Wuerttemberg,code08,89.2
2011,Percentage,Baden-Wuerttemberg,code08,89.9
2012,Percentage,Baden-Wuerttemberg,code08,90.8
2013,Percentage,Baden-Wuerttemberg,code08,90.8
2014,Percentage,Baden-Wuerttemberg,code08,91.7
2015,Percentage,Baden-Wuerttemberg,code08,90.8
2016,Percentage,Baden-Wuerttemberg,code08,91.7
2017,Percentage,Baden-Wuerttemberg,code08,92.5
2018,Percentage,Baden-Wuerttemberg,code08,93.3
2019,Percentage,Baden-Wuerttemberg,code08,91.7
2020,Percentage,Baden-Wuerttemberg,code08,92.4
2021,Percentage,Baden-Wuerttemberg,code08,92.4
2022,Percentage,Baden-Wuerttemberg,code08,93.3
2008,Percentage,Bavaria,code09,93.6
2009,Percentage,Bavaria,code09,94.5
2010,Percentage,Bavaria,code09,94.9
2011,Percentage,Bavaria,code09,93.6
2012,Percentage,Bavaria,code09,94.0
2013,Percentage,Bavaria,code09,94.1
2014,Percentage,Bavaria,code09,94.5
2015,Percentage,Bavaria,code09,94.4
2016,Percentage,Bavaria,code09,94.5
2017,Percentage,Bavaria,code09,92.7
2018,Percentage,Bavaria,code09,93.6
2019,Percentage,Bavaria,code09,95.2
2020,Percentage,Bavaria,code09,95.6
2021,Percentage,Bavaria,code09,94.2
2022,Percentage,Bavaria,code09,94.8
2008,Percentage,Brandenburg,code12,84.7
2009,Percentage,Brandenburg,code12,85.7
2010,Percentage,Brandenburg,code12,84.7
2011,Percentage,Brandenburg,code12,83.7
2012,Percentage,Brandenburg,code12,83.7
2013,Percentage,Brandenburg,code12,84.7
2014,Percentage,Brandenburg,code12,86.7
2015,Percentage,Brandenburg,code12,85.7
2016,Percentage,Brandenburg,code12,85.7
2017,Percentage,Brandenburg,code12,86.7
2018,Percentage,Brandenburg,code12,88.8
2019,Percentage,Brandenburg,code12,88.7
2020,Percentage,Brandenburg,code12,87.6
2021,Percentage,Brandenburg,code12,86.6
2022,Percentage,Brandenburg,code12,85.7
2008,Percentage,Hesse,code06,87.9
2009,Percentage,Hesse,code06,86.4
2010,Percentage,Hesse,code06,83.6
2011,Percentage,Hesse,code06,87.0
2012,Percentage,Hesse,code06,82.3
2013,Percentage,Hesse,code06,80.9
2014,Percentage,Hesse,code06,87.1
2015,Percentage,Hesse,code06,84.6
2016,Percentage,Hesse,code06,84.7
2017,Percentage,Hesse,code06,87.3
2018,Percentage,Hesse,code06,80.9
2019,Percentage,Hesse,code06,85.9
2020,Percentage,Hesse,code06,83.8
2021,Percentage,Hesse,code06,87.9
2022,Percentage,Hesse,code06,87.7
2008,Percentage,Mecklenburg Western Pomerania,code13,88.7
2009,Percentage,Mecklenburg Western Pomerania,code13,90.0
2010,Percentage,Mecklenburg Western Pomerania,code13,86.2
2011,Percentage,Mecklenburg Western Pomerania,code13,86.2
2012,Percentage,Mecklenburg Western Pomerania,code13,85.0
2013,Percentage,Mecklenburg Western Pomerania,code13,85.0
2018,Percentage,Mecklenburg Western Pomerania,code13,81.4
2019,Percentage,Mecklenburg Western Pomerania,code13,82.2
2020,Percentage,Mecklenburg Western Pomerania,code13,81.9
2021,Percentage,Mecklenburg Western Pomerania,code13,83.8
2022,Percentage,Mecklenburg Western Pomerania,code13,87.0
2008,Percentage,Lower Saxony,code03,69.9
2009,Percentage,Lower Saxony,code03,73.0
2010,Percentage,Lower Saxony,code03,70.4
2011,Percentage,Lower Saxony,code03,69.7
2012,Percentage,Lower Saxony,code03,69.1
2013,Percentage,Lower Saxony,code03,69.3
2014,Percentage,Lower Saxony,code03,69.6
2015,Percentage,Lower Saxony,code03,68.7
2016,Percentage,Lower Saxony,code03,71.5
2017,Percentage,Lower Saxony,code03,70.7
2018,Percentage,Lower Saxony,code03,69.7
2019,Percentage,Lower Saxony,code03,72.1
2020,Percentage,Lower Saxony,code03,73.5
2021,Percentage,Lower Saxony,code03,70.9
2022,Percentage,Lower Saxony,code03,73.3
2008,Percentage,North Rhine-Westphalia,code05,83.0
2009,Percentage,North Rhine-Westphalia,code05,85.3
2010,Percentage,North Rhine-Westphalia,code05,83.8
2011,Percentage,North Rhine-Westphalia,code05,84.3
2012,Percentage,North Rhine-Westphalia,code05,83.3
2013,Percentage,North Rhine-Westphalia,code05,84.3
2014,Percentage,North Rhine-Westphalia,code05,84.5
2015,Percentage,North Rhine-Westphalia,code05,86.5
2016,Percentage,North Rhine-Westphalia,code05,87.6
2017,Percentage,North Rhine-Westphalia,code05,87.9
2018,Percentage,North Rhine-Westphalia,code05,86.1
2019,Percentage,North Rhine-Westphalia,code05,85.6
2020,Percentage,North Rhine-Westphalia,code05,86.1
2021,Percentage,North Rhine-Westphalia,code05,86.0
2022,Percentage,North Rhine-Westphalia,code05,87.4
2008,Percentage,Rhineland Palatinate,code07,78.3
2009,Percentage,Rhineland Palatinate,code07,78.3
2010,Percentage,Rhineland Palatinate,code07,76.8
2011,Percentage,Rhineland Palatinate,code07,75.4
2012,Percentage,Rhineland Palatinate,code07,71.0
2013,Percentage,Rhineland Palatinate,code07,72.5
2014,Percentage,Rhineland Palatinate,code07,75.4
2015,Percentage,Rhineland Palatinate,code07,73.9
2016,Percentage,Rhineland Palatinate,code07,76.8
2017,Percentage,Rhineland Palatinate,code07,76.8
2018,Percentage,Rhineland Palatinate,code07,72.1
2019,Percentage,Rhineland Palatinate,code07,73.4
2020,Percentage,Rhineland Palatinate,code07,71.2
2021,Percentage,Rhineland Palatinate,code07,73.9
2022,Percentage,Rhineland Palatinate,code07,69.4
2008,Percentage,Saarland,code10,100.0
2009,Percentage,Saarland,code10,100.0
2010,Percentage,Saarland,code10,100.0
2011,Percentage,Saarland,code10,87.5
2012,Percentage,Saarland,code10,100.0
2013,Percentage,Saarland,code10,100.0
2014,Percentage,Saarland,code10,100.0
2015,Percentage,Saarland,code10,100.0
2016,Percentage,Saarland,code10,100.0
2017,Percentage,Saarland,code10,100.0
2018,Percentage,Saarland,code10,100.0
2019,Percentage,Saarland,code10,100.0
2020,Percentage,Saarland,code10,100.0
2021,Percentage,Saarland,code10,100.0
2022,Percentage,Saarland,code10,100.0
2008,Percentage,Saxony,code14,63.0
2009,Percentage,Saxony,code14,64.8
2010,Percentage,Saxony,code14,64.4
2011,Percentage,Saxony,code14,70.5
2012,Percentage,Saxony,code14,64.5
2013,Percentage,Saxony,code14,66.7
2014,Percentage,Saxony,code14,66.7
2015,Percentage,Saxony,code14,68.3
2016,Percentage,Saxony,code14,65.1
2017,Percentage,Saxony,code14,71.0
2018,Percentage,Saxony,code14,70.7
2019,Percentage,Saxony,code14,74.1
2020,Percentage,Saxony,code14,81.7
2021,Percentage,Saxony,code14,76.6
2022,Percentage,Saxony,code14,77.1
2008,Percentage,Saxony-Anhalt,code15,78.5
2009,Percentage,Saxony-Anhalt,code15,76.9
2010,Percentage,Saxony-Anhalt,code15,76.8
2011,Percentage,Saxony-Anhalt,code15,75.4
2012,Percentage,Saxony-Anhalt,code15,75.4
2013,Percentage,Saxony-Anhalt,code15,73.9
2014,Percentage,Saxony-Anhalt,code15,73.9
2015,Percentage,Saxony-Anhalt,code15,72.9
2016,Percentage,Saxony-Anhalt,code15,75.7
2017,Percentage,Saxony-Anhalt,code15,80.0
2018,Percentage,Saxony-Anhalt,code15,77.3
2019,Percentage,Saxony-Anhalt,code15,79.1
2020,Percentage,Saxony-Anhalt,code15,81.2
2021,Percentage,Saxony-Anhalt,code15,80.6
2022,Percentage,Saxony-Anhalt,code15,75.0
2008,Percentage,Schleswig-Holstein,code01,66.0
2009,Percentage,Schleswig-Holstein,code01,64.2
2010,Percentage,Schleswig-Holstein,code01,64.2
2011,Percentage,Schleswig-Holstein,code01,69.8
2012,Percentage,Schleswig-Holstein,code01,66.0
2013,Percentage,Schleswig-Holstein,code01,66.0
2014,Percentage,Schleswig-Holstein,code01,66.0
2015,Percentage,Schleswig-Holstein,code01,69.8
2016,Percentage,Schleswig-Holstein,code01,71.7
2017,Percentage,Schleswig-Holstein,code01,66.7
2018,Percentage,Schleswig-Holstein,code01,69.8
2019,Percentage,Schleswig-Holstein,code01,75.5
2020,Percentage,Schleswig-Holstein,code01,68.5
2021,Percentage,Schleswig-Holstein,code01,79.2
2022,Percentage,Schleswig-Holstein,code01,72.2
2008,Percentage,Thuringia,code16,72.7
2009,Percentage,Thuringia,code16,74.5
2010,Percentage,Thuringia,code16,76.4
2011,Percentage,Thuringia,code16,74.5
2012,Percentage,Thuringia,code16,72.7
2013,Percentage,Thuringia,code16,70.0
2014,Percentage,Thuringia,code16,74.6
2016,Percentage,Thuringia,code16,77.1
2017,Percentage,Thuringia,code16,72.2
2018,Percentage,Thuringia,code16,76.9
2019,Percentage,Thuringia,code16,78.4
2020,Percentage,Thuringia,code16,75.5
2021,Percentage,Thuringia,code16,75.0
2022,Percentage,Thuringia,code16,73.5
