Year,Units,COMMENT_OBS_0,Länder,GeoCode,Age group,Sex,Value
1999,Percentage,,,,,,10.7
2003,Percentage,,,,,,11.7
2005,Percentage,,,,,,12.5
2009,Percentage,,,,,,13.3
2013,Percentage,,,,,,14.1
2017,Percentage,,,,,,14.789
2021,Percentage,,,,,,15.402
2000,Percentage,.,,,,,
2001,Percentage,.,,,,,
2002,Percentage,.,,,,,
2004,Percentage,.,,,,,
2006,Percentage,.,,,,,
2007,Percentage,.,,,,,
2008,Percentage,.,,,,,
2010,Percentage,.,,,,,
2011,Percentage,.,,,,,
2012,Percentage,.,,,,,
2014,Percentage,.,,,,,
2015,Percentage,.,,,,,
2016,Percentage,.,,,,,
2018,Percentage,.,,,,,
2019,Percentage,.,,,,,
2020,Percentage,.,,,,,
1999,Percentage,,Baden-Wuerttemberg,code08,,,9.78
2003,Percentage,,Baden-Wuerttemberg,code08,,,10.913
2005,Percentage,,Baden-Wuerttemberg,code08,,,11.371
2009,Percentage,,Baden-Wuerttemberg,code08,,,12.259
2013,Percentage,,Baden-Wuerttemberg,code08,,,12.923
2017,Percentage,,Baden-Wuerttemberg,code08,,,13.774
2021,Percentage,,Baden-Wuerttemberg,code08,,,14.034
2000,Percentage,.,Baden-Wuerttemberg,code08,,,
2001,Percentage,.,Baden-Wuerttemberg,code08,,,
2002,Percentage,.,Baden-Wuerttemberg,code08,,,
2004,Percentage,.,Baden-Wuerttemberg,code08,,,
2006,Percentage,.,Baden-Wuerttemberg,code08,,,
2007,Percentage,.,Baden-Wuerttemberg,code08,,,
2008,Percentage,.,Baden-Wuerttemberg,code08,,,
2010,Percentage,.,Baden-Wuerttemberg,code08,,,
2011,Percentage,.,Baden-Wuerttemberg,code08,,,
2012,Percentage,.,Baden-Wuerttemberg,code08,,,
2014,Percentage,.,Baden-Wuerttemberg,code08,,,
2015,Percentage,.,Baden-Wuerttemberg,code08,,,
2016,Percentage,.,Baden-Wuerttemberg,code08,,,
2018,Percentage,.,Baden-Wuerttemberg,code08,,,
2019,Percentage,.,Baden-Wuerttemberg,code08,,,
2020,Percentage,.,Baden-Wuerttemberg,code08,,,
1999,Percentage,,Bavaria,code09,,,10.73
2003,Percentage,,Bavaria,code09,,,11.668
2005,Percentage,,Bavaria,code09,,,11.83
