Year,Units,Time series,Value
2010,2010 = 100,Raw material input productivity,100.0
2011,2010 = 100,Raw material input productivity,98.0
2012,2010 = 100,Raw material input productivity,100.0
2013,2010 = 100,Raw material input productivity,101.0
2014,2010 = 100,Raw material input productivity,102.0
2015,2010 = 100,Raw material input productivity,106.0
2016,2010 = 100,Raw material input productivity,105.0
2017,2010 = 100,Raw material input productivity,108.0
2018,2010 = 100,Raw material input productivity,109.0
2019,2010 = 100,Raw material input productivity,111.0
2020,2010 = 100,Raw material input productivity,111.0
2021,2010 = 100,Raw material input productivity,116.0
2022,2010 = 100,Raw material input productivity,127.0
2030,2010 = 100,Raw material input productivity,
2010,2010 = 100,"Raw material input for consumption, investment and exports",100.0
2011,2010 = 100,"Raw material input for consumption, investment and exports",107.0
2012,2010 = 100,"Raw material input for consumption, investment and exports",105.0
2013,2010 = 100,"Raw material input for consumption, investment and exports",104.0
2014,2010 = 100,"Raw material input for consumption, investment and exports",106.0
2015,2010 = 100,"Raw material input for consumption, investment and exports",105.0
2016,2010 = 100,"Raw material input for consumption, investment and exports",109.0
2017,2010 = 100,"Raw material input for consumption, investment and exports",109.0
2018,2010 = 100,"Raw material input for consumption, investment and exports",110.0
2019,2010 = 100,"Raw material input for consumption, investment and exports",110.0
2020,2010 = 100,"Raw material input for consumption, investment and exports",104.0
2021,2010 = 100,"Raw material input for consumption, investment and exports",105.0
2022,2010 = 100,"Raw material input for consumption, investment and exports",99.0
2030,2010 = 100,"Raw material input for consumption, investment and exports",
2010,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",100.0
2011,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",105.0
2012,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",105.0
2013,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",106.0
2014,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",108.0
2015,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",111.0
2016,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",114.0
2017,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",117.0
2018,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",120.0
2019,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",122.0
2020,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",116.0
2021,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",121.0
2022,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",125.0
2030,2010 = 100,"Value of consumption, investment and exports (price-adjusted)",
2010,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),100.0
2011,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),108.0
2012,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),105.0
2013,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),102.0
2014,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),103.0
2015,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),100.0
2016,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),103.0
2017,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),106.0
2018,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),107.0
2019,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),106.0
2020,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),101.0
2021,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),104.0
2022,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),100.0
2030,2010 = 100,XXXRohstoffeinsatz für Konsum und Investitionen (RMC),
2010,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),100.0
2011,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),106.0
2012,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),104.0
2013,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),106.0
2014,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),108.0
2015,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),109.0
2016,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),114.0
2017,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),112.0
2018,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),114.0
2019,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),113.0
2020,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),107.0
2021,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),105.0
2022,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),97.0
2030,2010 = 100,XXXRohstoffeinsatz für Exporte (RMC),
