Year,Units,Time series,Area,COMMENT_OBS_0,Länder,GeoCode,Value
2007,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.304
2008,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.302
2009,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.291
2010,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.293
2011,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.29
2012,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.283
2013,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.297
2014,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.307
2015,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.301
2016,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.295
2017,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.291
2018,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.311
2019,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.297
2020,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.305
2021,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.312
2022,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.29
2023,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.294
2024,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,Germany,,,,0.295
2007,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.306
2008,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.31
2009,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.306
2010,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.305
2011,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.308
2012,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.305
2013,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.305
2014,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.309
2015,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.308
2016,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.306
2017,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.303
2018,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.304
2019,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.302
2020,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.3
2021,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.302
2022,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.296
2023,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.296
2024,Gini coefficient,<u>Time series of the indicator:</u> Gini coefficient of equivalised disposable income,European Union,,,,0.293
2007,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.373
2008,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.367
2009,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.355
2010,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.359
2011,Gini coefficient,<u>Additional time series:</u> Gini coefficient of equivalised disposable income before social transfers,Germany,,,,0.358
