Year,Units,COMMENT_OBS_0,Länder,GeoCode,Sector,Value
1991,Percentage,,,,,2.4
1992,Percentage,,,,,2.28
1993,Percentage,,,,,2.21
1994,Percentage,,,,,2.13
1995,Percentage,,,,,2.13
1996,Percentage,,,,,2.15
1997,Percentage,,,,,2.18
1998,Percentage,,,,,2.25
1999,Percentage,,,,,2.33
2000,Percentage,,,,,2.39
2001,Percentage,,,,,2.38
2002,Percentage,,,,,2.41
2003,Percentage,,,,,2.44
2004,Percentage,,,,,2.4
2005,Percentage,,,,,2.4
2006,Percentage,,,,,2.43
2007,Percentage,,,,,2.42
2008,Percentage,,,,,2.57
2009,Percentage,,,,,2.69
2010,Percentage,,,,,2.68
2011,Percentage,,,,,2.75
2012,Percentage,,,,,2.83
2013,Percentage,,,,,2.78
2014,Percentage,,,,,2.82
2015,Percentage,,,,,2.88
2016,Percentage,,,,,2.88
2017,Percentage,,,,,2.99
2018,Percentage,,,,,3.05
2019,Percentage,,,,,3.11
2020,Percentage,,,,,3.09
2021,Percentage,,,,,3.07
2022,Percentage,,,,,3.04
2023,Percentage,,,,,3.13
2025,Percentage,…,,,,
1991,Percentage,,Baden-Wuerttemberg,code08,,
1992,Percentage,,Baden-Wuerttemberg,code08,,
1993,Percentage,,Baden-Wuerttemberg,code08,,
1994,Percentage,,Baden-Wuerttemberg,code08,,
1995,Percentage,,Baden-Wuerttemberg,code08,,3.42
1996,Percentage,,Baden-Wuerttemberg,code08,,
1997,Percentage,,Baden-Wuerttemberg,code08,,3.56
1998,Percentage,,Baden-Wuerttemberg,code08,,
1999,Percentage,,Baden-Wuerttemberg,code08,,3.66
2000,Percentage,,Baden-Wuerttemberg,code08,,3.72
2001,Percentage,,Baden-Wuerttemberg,code08,,3.66
2002,Percentage,,Baden-Wuerttemberg,code08,,3.71
2003,Percentage,,Baden-Wuerttemberg,code08,,3.7
2004,Percentage,,Baden-Wuerttemberg,code08,,3.7
2005,Percentage,,Baden-Wuerttemberg,code08,,4.02
2006,Percentage,,Baden-Wuerttemberg,code08,,3.96
2007,Percentage,,Baden-Wuerttemberg,code08,,4.1
2008,Percentage,,Baden-Wuerttemberg,code08,,4.35
2009,Percentage,,Baden-Wuerttemberg,code08,,4.54
2010,Percentage,,Baden-Wuerttemberg,code08,,4.37
2011,Percentage,,Baden-Wuerttemberg,code08,,4.72
2012,Percentage,,Baden-Wuerttemberg,code08,,4.83
2013,Percentage,,Baden-Wuerttemberg,code08,,4.67
2014,Percentage,,Baden-Wuerttemberg,code08,,4.78
2015,Percentage,,Baden-Wuerttemberg,code08,,4.85
2016,Percentage,,Baden-Wuerttemberg,code08,,4.85
2017,Percentage,,Baden-Wuerttemberg,code08,,5.51
2018,Percentage,,Baden-Wuerttemberg,code08,,5.54
2019,Percentage,,Baden-Wuerttemberg,code08,,5.65
2020,Percentage,,Baden-Wuerttemberg,code08,,5.56
2021,Percentage,,Baden-Wuerttemberg,code08,,5.47
2022,Percentage,,Baden-Wuerttemberg,code08,,5.46
2023,Percentage,,Baden-Wuerttemberg,code08,,5.71
2025,Percentage,…,Baden-Wuerttemberg,code08,,
1991,Percentage,,Bavaria,code09,,
1992,Percentage,,Bavaria,code09,,
1993,Percentage,,Bavaria,code09,,
1994,Percentage,,Bavaria,code09,,
1995,Percentage,,Bavaria,code09,,2.68
1996,Percentage,,Bavaria,code09,,
1997,Percentage,,Bavaria,code09,,2.66
1998,Percentage,,Bavaria,code09,,
1999,Percentage,,Bavaria,code09,,2.8
2000,Percentage,,Bavaria,code09,,2.81
2001,Percentage,,Bavaria,code09,,2.9
2002,Percentage,,Bavaria,code09,,2.88
2003,Percentage,,Bavaria,code09,,2.98
2004,Percentage,,Bavaria,code09,,2.9
2005,Percentage,,Bavaria,code09,,2.86
2006,Percentage,,Bavaria,code09,,2.93
