Year,Units,Time series,COMMENT_OBS_0,Value
1990,2030 = 100,<u>Time series of the indicator:</u> Total,,136.8
1991,2030 = 100,<u>Time series of the indicator:</u> Total,,127.87
1992,2030 = 100,<u>Time series of the indicator:</u> Total,,120.0
1993,2030 = 100,<u>Time series of the indicator:</u> Total,,126.26
1994,2030 = 100,<u>Time series of the indicator:</u> Total,,126.87
1995,2030 = 100,<u>Time series of the indicator:</u> Total,,113.43
1996,2030 = 100,<u>Time series of the indicator:</u> Total,,119.45
1997,2030 = 100,<u>Time series of the indicator:</u> Total,,108.56
1998,2030 = 100,<u>Time series of the indicator:</u> Total,,102.13
1999,2030 = 100,<u>Time series of the indicator:</u> Total,,109.0
2000,2030 = 100,<u>Time series of the indicator:</u> Total,r,101.86
2001,2030 = 100,<u>Time series of the indicator:</u> Total,,99.83
2002,2030 = 100,<u>Time series of the indicator:</u> Total,r,93.25
2003,2030 = 100,<u>Time series of the indicator:</u> Total,,89.04
2004,2030 = 100,<u>Time series of the indicator:</u> Total,,92.82
2005,2030 = 100,<u>Time series of the indicator:</u> Total,r,91.29
2006,2030 = 100,<u>Time series of the indicator:</u> Total,r,86.58
2007,2030 = 100,<u>Time series of the indicator:</u> Total,r,87.36
2008,2030 = 100,<u>Time series of the indicator:</u> Total,r,88.45
2009,2030 = 100,<u>Time series of the indicator:</u> Total,r,82.62
2010,2030 = 100,<u>Time series of the indicator:</u> Total,,79.47
2011,2030 = 100,<u>Time series of the indicator:</u> Total,r,76.9
2012,2030 = 100,<u>Time series of the indicator:</u> Total,r,80.6
2013,2030 = 100,<u>Time series of the indicator:</u> Total,r,77.04
2014,2030 = 100,<u>Time series of the indicator:</u> Total,r,76.15
2015,2030 = 100,<u>Time series of the indicator:</u> Total,r,79.83
2016,2030 = 100,<u>Time series of the indicator:</u> Total,r,79.99
2017,2030 = 100,<u>Time series of the indicator:</u> Total,r,75.54
2018,2030 = 100,<u>Time series of the indicator:</u> Total,r,73.43
2019,2030 = 100,<u>Time series of the indicator:</u> Total,r,75.29
2020,2030 = 100,<u>Time series of the indicator:</u> Total,,81.43
2021,2030 = 100,<u>Time series of the indicator:</u> Total,,81.65
2022,2030 = 100,<u>Time series of the indicator:</u> Total,,80.37
2023,2030 = 100,<u>Time series of the indicator:</u> Total,,79.96
2030,2030 = 100,<u>Time series of the indicator:</u> Total,…,
1990,2030 = 100,Forest sub-indicator,,92.94
1991,2030 = 100,Forest sub-indicator,,85.38
1992,2030 = 100,Forest sub-indicator,,81.8
1993,2030 = 100,Forest sub-indicator,,82.27
1994,2030 = 100,Forest sub-indicator,,83.04
1995,2030 = 100,Forest sub-indicator,,73.26
1996,2030 = 100,Forest sub-indicator,,80.09
1997,2030 = 100,Forest sub-indicator,,79.99
1998,2030 = 100,Forest sub-indicator,,72.63
1999,2030 = 100,Forest sub-indicator,,77.07
2000,2030 = 100,Forest sub-indicator,r,74.06
2001,2030 = 100,Forest sub-indicator,r,74.38
2002,2030 = 100,Forest sub-indicator,r,71.85
2003,2030 = 100,Forest sub-indicator,r,72.14
2004,2030 = 100,Forest sub-indicator,r,73.87
2005,2030 = 100,Forest sub-indicator,r,74.49
2006,2030 = 100,Forest sub-indicator,,75.61
2007,2030 = 100,Forest sub-indicator,r,71.61
2008,2030 = 100,Forest sub-indicator,r,77.55
2009,2030 = 100,Forest sub-indicator,r,69.93
2010,2030 = 100,Forest sub-indicator,r,76.23
2011,2030 = 100,Forest sub-indicator,r,74.55
2012,2030 = 100,Forest sub-indicator,r,82.87
2013,2030 = 100,Forest sub-indicator,r,81.53
2014,2030 = 100,Forest sub-indicator,,77.09
2015,2030 = 100,Forest sub-indicator,r,82.12
2016,2030 = 100,Forest sub-indicator,r,79.45
2017,2030 = 100,Forest sub-indicator,r,78.73
2018,2030 = 100,Forest sub-indicator,r,76.63
2019,2030 = 100,Forest sub-indicator,r,79.72
2020,2030 = 100,Forest sub-indicator,,85.13
2021,2030 = 100,Forest sub-indicator,,88.74
2022,2030 = 100,Forest sub-indicator,,85.09
2023,2030 = 100,Forest sub-indicator,,83.46
2030,2030 = 100,Forest sub-indicator,…,
1990,2030 = 100,Settlements sub-indicator,,93.24
1991,2030 = 100,Settlements sub-indicator,,87.24
1992,2030 = 100,Settlements sub-indicator,,83.47
1993,2030 = 100,Settlements sub-indicator,,91.76
1994,2030 = 100,Settlements sub-indicator,,87.15
1995,2030 = 100,Settlements sub-indicator,,92.87
1996,2030 = 100,Settlements sub-indicator,,104.82
1997,2030 = 100,Settlements sub-indicator,,96.2
1998,2030 = 100,Settlements sub-indicator,,93.29
1999,2030 = 100,Settlements sub-indicator,,90.94
2000,2030 = 100,Settlements sub-indicator,,85.79
2001,2030 = 100,Settlements sub-indicator,,83.76
2002,2030 = 100,Settlements sub-indicator,,76.13
2003,2030 = 100,Settlements sub-indicator,r,72.06
2004,2030 = 100,Settlements sub-indicator,,80.45
2005,2030 = 100,Settlements sub-indicator,r,77.36
2006,2030 = 100,Settlements sub-indicator,,74.54
2007,2030 = 100,Settlements sub-indicator,r,76.29
2008,2030 = 100,Settlements sub-indicator,r,69.32
2009,2030 = 100,Settlements sub-indicator,r,71.37
2010,2030 = 100,Settlements sub-indicator,r,73.28
2011,2030 = 100,Settlements sub-indicator,r,79.18
2012,2030 = 100,Settlements sub-indicator,r,77.5
2013,2030 = 100,Settlements sub-indicator,r,75.14
2014,2030 = 100,Settlements sub-indicator,r,76.66
2015,2030 = 100,Settlements sub-indicator,r,77.91
2016,2030 = 100,Settlements sub-indicator,r,79.78
2017,2030 = 100,Settlements sub-indicator,r,80.36
2018,2030 = 100,Settlements sub-indicator,r,77.23
2019,2030 = 100,Settlements sub-indicator,r,78.23
2020,2030 = 100,Settlements sub-indicator,,83.75
2021,2030 = 100,Settlements sub-indicator,,84.57
2022,2030 = 100,Settlements sub-indicator,,83.67
2023,2030 = 100,Settlements sub-indicator,,83.11
2030,2030 = 100,Settlements sub-indicator,…,
1990,2030 = 100,Farmland sub-indicator,,182.97
1991,2030 = 100,Farmland sub-indicator,,174.18
1992,2030 = 100,Farmland sub-indicator,,161.58
1993,2030 = 100,Farmland sub-indicator,,171.77
1994,2030 = 100,Farmland sub-indicator,,172.43
1995,2030 = 100,Farmland sub-indicator,,148.98
1996,2030 = 100,Farmland sub-indicator,,155.38
1997,2030 = 100,Farmland sub-indicator,,136.58
1998,2030 = 100,Farmland sub-indicator,,128.14
1999,2030 = 100,Farmland sub-indicator,,138.23
2000,2030 = 100,Farmland sub-indicator,r,127.65
2001,2030 = 100,Farmland sub-indicator,,121.82
2002,2030 = 100,Farmland sub-indicator,,112.01
2003,2030 = 100,Farmland sub-indicator,,104.2
