Year,Units,Time series,COMMENT_OBS_0,Sex,Federal state,GeoCode,Value
2003,Percentage,c) Adolescents,,,,,22.5
2004,Percentage,c) Adolescents,,,,,23.5
2005,Percentage,c) Adolescents,,,,,20.0
2007,Percentage,c) Adolescents,,,,,17.7
2008,Percentage,c) Adolescents,,,,,15.4
2009,Percentage,c) Adolescents,.,,,,
2010,Percentage,c) Adolescents,,,,,12.9
2011,Percentage,c) Adolescents,,,,,11.7
2012,Percentage,c) Adolescents,,,,,12.0
2013,Percentage,c) Adolescents,.,,,,
2014,Percentage,c) Adolescents,,,,,9.7
2015,Percentage,c) Adolescents,,,,,9.6
2016,Percentage,c) Adolescents,,,,,8.3
2017,Percentage,c) Adolescents,.,,,,
2018,Percentage,c) Adolescents,,,,,8.7
2019,Percentage,c) Adolescents,,,,,7.2
2021,Percentage,c) Adolescents,,,,,6.1
2023,Percentage,c) Adolescents,,,,,6.8
2006,Percentage,c) Adolescents,.,,,,
2020,Percentage,c) Adolescents,.,,,,
2022,Percentage,c) Adolescents,.,,,,
2030,Percentage,c) Adolescents,…,,,,
2003,Percentage,c) Adolescents,,Female,,,23.2
2004,Percentage,c) Adolescents,,Female,,,22.7
2005,Percentage,c) Adolescents,,Female,,,19.3
2007,Percentage,c) Adolescents,,Female,,,17.5
2008,Percentage,c) Adolescents,,Female,,,16.2
2009,Percentage,c) Adolescents,.,Female,,,
2010,Percentage,c) Adolescents,,Female,,,11.5
2011,Percentage,c) Adolescents,,Female,,,12.4
2012,Percentage,c) Adolescents,,Female,,,12.6
2013,Percentage,c) Adolescents,.,Female,,,
2014,Percentage,c) Adolescents,,Female,,,8.9
2015,Percentage,c) Adolescents,,Female,,,10.0
2016,Percentage,c) Adolescents,,Female,,,6.1
2017,Percentage,c) Adolescents,.,Female,,,
2018,Percentage,c) Adolescents,,Female,,,8.3
2019,Percentage,c) Adolescents,,Female,,,6.3
2021,Percentage,c) Adolescents,,Female,,,6.8
2023,Percentage,c) Adolescents,,Female,,,6.4
2006,Percentage,c) Adolescents,.,Female,,,
2020,Percentage,c) Adolescents,.,Female,,,
2022,Percentage,c) Adolescents,.,Female,,,
2003,Percentage,c) Adolescents,,Male,,,21.9
2004,Percentage,c) Adolescents,,Male,,,24.2
2005,Percentage,c) Adolescents,,Male,,,20.7
2007,Percentage,c) Adolescents,,Male,,,17.8
2008,Percentage,c) Adolescents,,Male,,,14.7
2009,Percentage,c) Adolescents,.,Male,,,
2010,Percentage,c) Adolescents,,Male,,,14.2
2011,Percentage,c) Adolescents,,Male,,,11.1
2012,Percentage,c) Adolescents,,Male,,,11.5
2013,Percentage,c) Adolescents,.,Male,,,
2014,Percentage,c) Adolescents,,Male,,,10.5
2015,Percentage,c) Adolescents,,Male,,,9.3
2016,Percentage,c) Adolescents,,Male,,,10.5
2017,Percentage,c) Adolescents,.,Male,,,
2018,Percentage,c) Adolescents,,Male,,,9.1
2019,Percentage,c) Adolescents,,Male,,,8.0
2021,Percentage,c) Adolescents,,Male,,,5.5
2023,Percentage,c) Adolescents,,Male,,,7.2
2006,Percentage,c) Adolescents,.,Male,,,
2020,Percentage,c) Adolescents,.,Male,,,
2022,Percentage,c) Adolescents,.,Male,,,
2003,Percentage,d) Adults,,,,,27.4
2004,Percentage,d) Adults,.,,,,
2005,Percentage,d) Adults,,,,,27.2
2007,Percentage,d) Adults,.,,,,
2008,Percentage,d) Adults,.,,,,
2009,Percentage,d) Adults,,,,,25.7
2010,Percentage,d) Adults,.,,,,
2011,Percentage,d) Adults,.,,,,
2012,Percentage,d) Adults,.,,,,
2013,Percentage,d) Adults,,,,,24.5
2014,Percentage,d) Adults,.,,,,
2015,Percentage,d) Adults,.,,,,
2016,Percentage,d) Adults,.,,,,
2017,Percentage,d) Adults,,,,,22.4
2018,Percentage,d) Adults,.,,,,
2019,Percentage,d) Adults,.,,,,
2021,Percentage,d) Adults,,,,,18.9
2023,Percentage,d) Adults,…,,,,
2006,Percentage,d) Adults,.,,,,
2020,Percentage,d) Adults,.,,,,
2022,Percentage,d) Adults,…,,,,
2030,Percentage,d) Adults,…,,,,
2003,Percentage,d) Adults,,Female,,,22.1
2004,Percentage,d) Adults,.,Female,,,
2005,Percentage,d) Adults,,Female,,,22.4
2007,Percentage,d) Adults,.,Female,,,
2008,Percentage,d) Adults,.,Female,,,
2009,Percentage,d) Adults,,Female,,,21.2
2010,Percentage,d) Adults,.,Female,,,
2011,Percentage,d) Adults,.,Female,,,
2012,Percentage,d) Adults,.,Female,,,
2013,Percentage,d) Adults,,Female,,,20.3
2014,Percentage,d) Adults,.,Female,,,
2015,Percentage,d) Adults,.,Female,,,
2016,Percentage,d) Adults,.,Female,,,
2017,Percentage,d) Adults,,Female,,,18.6
2018,Percentage,d) Adults,.,Female,,,
2019,Percentage,d) Adults,.,Female,,,
2021,Percentage,d) Adults,p,Female,,,15.7
2023,Percentage,d) Adults,…,Female,,,
2006,Percentage,d) Adults,.,Female,,,
2020,Percentage,d) Adults,.,Female,,,
2022,Percentage,d) Adults,…,Female,,,
2003,Percentage,d) Adults,,Male,,,33.2
2004,Percentage,d) Adults,.,Male,,,
2005,Percentage,d) Adults,,Male,,,32.2
2007,Percentage,d) Adults,.,Male,,,
2008,Percentage,d) Adults,.,Male,,,
2009,Percentage,d) Adults,,Male,,,30.5
2010,Percentage,d) Adults,.,Male,,,
2011,Percentage,d) Adults,.,Male,,,
2012,Percentage,d) Adults,.,Male,,,
2013,Percentage,d) Adults,,Male,,,29.0
2014,Percentage,d) Adults,.,Male,,,
2015,Percentage,d) Adults,.,Male,,,
2016,Percentage,d) Adults,.,Male,,,
2017,Percentage,d) Adults,,Male,,,26.4
2018,Percentage,d) Adults,.,Male,,,
2019,Percentage,d) Adults,.,Male,,,
2021,Percentage,d) Adults,p,Male,,,22.3
2023,Percentage,d) Adults,…,Male,,,
2006,Percentage,d) Adults,.,Male,,,
2020,Percentage,d) Adults,.,Male,,,
2022,Percentage,d) Adults,…,Male,,,
2003,Percentage,d) Adults,,,Baden-Wuerttemberg,code08,25.53
2005,Percentage,d) Adults,,,Baden-Wuerttemberg,code08,24.5
2009,Percentage,d) Adults,,,Baden-Wuerttemberg,code08,22.8
2013,Percentage,d) Adults,,,Baden-Wuerttemberg,code08,22.21
2017,Percentage,d) Adults,,,Baden-Wuerttemberg,code08,21.23
2021,Percentage,d) Adults,p,,Baden-Wuerttemberg,code08,17.4
2003,Percentage,d) Adults,,,Bavaria,code09,25.12
2005,Percentage,d) Adults,,,Bavaria,code09,24.2
2009,Percentage,d) Adults,,,Bavaria,code09,23.5
2013,Percentage,d) Adults,,,Bavaria,code09,22.15
2017,Percentage,d) Adults,,,Bavaria,code09,20.51
2021,Percentage,d) Adults,p,,Bavaria,code09,17.0
2003,Percentage,d) Adults,,,Berlin,code11,34.12
2005,Percentage,d) Adults,,,Berlin,code11,32.7
2009,Percentage,d) Adults,,,Berlin,code11,31.3
2013,Percentage,d) Adults,,,Berlin,code11,28.85
2017,Percentage,d) Adults,,,Berlin,code11,25.47
2021,Percentage,d) Adults,p,,Berlin,code11,21.1
2003,Percentage,d) Adults,,,Brandenburg,code12,30.35
2005,Percentage,d) Adults,,,Brandenburg,code12,29.0
2009,Percentage,d) Adults,,,Brandenburg,code12,28.0
2013,Percentage,d) Adults,,,Brandenburg,code12,25.77
2017,Percentage,d) Adults,,,Brandenburg,code12,24.47
2021,Percentage,d) Adults,p,,Brandenburg,code12,19.4
2003,Percentage,d) Adults,,,Bremen,code04,33.85
2005,Percentage,d) Adults,,,Bremen,code04,30.8
2009,Percentage,d) Adults,,,Bremen,code04,30.5
2013,Percentage,d) Adults,,,Bremen,code04,27.77
2017,Percentage,d) Adults,,,Bremen,code04,27.39
2021,Percentage,d) Adults,p,,Bremen,code04,22.6
2003,Percentage,d) Adults,,,Hamburg,code02,30.95
2005,Percentage,d) Adults,,,Hamburg,code02,29.8
2009,Percentage,d) Adults,,,Hamburg,code02,26.7
2013,Percentage,d) Adults,,,Hamburg,code02,25.64
2017,Percentage,d) Adults,,,Hamburg,code02,23.14
2021,Percentage,d) Adults,p,,Hamburg,code02,19.4
2003,Percentage,d) Adults,,,Hesse,code06,27.15
2005,Percentage,d) Adults,,,Hesse,code06,25.9
2009,Percentage,d) Adults,,,Hesse,code06,24.6
2013,Percentage,d) Adults,,,Hesse,code06,23.37
2017,Percentage,d) Adults,,,Hesse,code06,21.11
2021,Percentage,d) Adults,p,,Hesse,code06,19.4
2003,Percentage,d) Adults,,,Mecklenburg Western Pomerania,code13,30.61
2005,Percentage,d) Adults,,,Mecklenburg Western Pomerania,code13,33.3
2009,Percentage,d) Adults,,,Mecklenburg Western Pomerania,code13,30.4
2013,Percentage,d) Adults,,,Mecklenburg Western Pomerania,code13,28.22
2017,Percentage,d) Adults,,,Mecklenburg Western Pomerania,code13,27.66
2021,Percentage,d) Adults,p,,Mecklenburg Western Pomerania,code13,23.5
2003,Percentage,d) Adults,,,Lower Saxony,code03,28.44
2005,Percentage,d) Adults,,,Lower Saxony,code03,28.1
2009,Percentage,d) Adults,,,Lower Saxony,code03,26.1
2013,Percentage,d) Adults,,,Lower Saxony,code03,24.69
2017,Percentage,d) Adults,,,Lower Saxony,code03,22.94
2021,Percentage,d) Adults,p,,Lower Saxony,code03,18.8
2003,Percentage,d) Adults,,,North Rhine-Westphalia,code05,27.63
2005,Percentage,d) Adults,,,North Rhine-Westphalia,code05,29.0
2009,Percentage,d) Adults,,,North Rhine-Westphalia,code05,26.9
2013,Percentage,d) Adults,,,North Rhine-Westphalia,code05,25.92
2017,Percentage,d) Adults,,,North Rhine-Westphalia,code05,22.64
2021,Percentage,d) Adults,p,,North Rhine-Westphalia,code05,18.7
2003,Percentage,d) Adults,,,Rhineland Palatinate,code07,27.59
2005,Percentage,d) Adults,,,Rhineland Palatinate,code07,26.0
