Year,Units,Time series,Value
2015,Million EUR,Pandemic prevention and response,147.9
2016,Million EUR,Pandemic prevention and response,154.531
2017,Million EUR,Pandemic prevention and response,322.084
2018,Million EUR,Pandemic prevention and response,279.446
2019,Million EUR,Pandemic prevention and response,300.518
2020,Million EUR,Pandemic prevention and response,398.28
2021,Million EUR,Pandemic prevention and response,396.693
2022,Million EUR,Pandemic prevention and response,452.8
2030,Million EUR,Pandemic prevention and response,
2015,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2016,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2017,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2018,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2019,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,0.0
2020,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,743.7
2021,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,842.7
2022,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,1224.9
2030,Million EUR,Separate amount devoted to curbing the COVID-19 pandemic,
