Year,Value,Units,Series
2006,6.499,percentage,a) 0 to 2-year-olds
2007,7.321,percentage,a) 0 to 2-year-olds
2008,8.284,percentage,a) 0 to 2-year-olds
2009,9.87,percentage,a) 0 to 2-year-olds
2010,11.597,percentage,a) 0 to 2-year-olds
2011,12.94,percentage,a) 0 to 2-year-olds
2012,14.629,percentage,a) 0 to 2-year-olds
2013,15.758,percentage,a) 0 to 2-year-olds
2014,17.462,percentage,a) 0 to 2-year-olds
2015,18.065,percentage,a) 0 to 2-year-olds
2016,18.32,percentage,a) 0 to 2-year-olds
2017,18.478,percentage,a) 0 to 2-year-olds
2018,18.837,percentage,a) 0 to 2-year-olds
2019,19.321,percentage,a) 0 to 2-year-olds
2020,19.583,percentage,a) 0 to 2-year-olds
2021,18.942,percentage,a) 0 to 2-year-olds
2022,19.297,percentage,a) 0 to 2-year-olds
2023,19.659,percentage,a) 0 to 2-year-olds
2024,19.97,percentage,a) 0 to 2-year-olds
2030,,percentage,a) 0 to 2-year-olds
2006,22.091,percentage,b) 3 to 5-year-olds
2007,24.329,percentage,b) 3 to 5-year-olds
2008,27.067,percentage,b) 3 to 5-year-olds
2009,29.87,percentage,b) 3 to 5-year-olds
2010,32.321,percentage,b) 3 to 5-year-olds
2011,34.879,percentage,b) 3 to 5-year-olds
2012,37.245,percentage,b) 3 to 5-year-olds
2013,39.485,percentage,b) 3 to 5-year-olds
2014,41.945,percentage,b) 3 to 5-year-olds
2015,43.935,percentage,b) 3 to 5-year-olds
2016,44.756,percentage,b) 3 to 5-year-olds
2017,45.509,percentage,b) 3 to 5-year-olds
2018,46.132,percentage,b) 3 to 5-year-olds
2019,47.178,percentage,b) 3 to 5-year-olds
2020,47.913,percentage,b) 3 to 5-year-olds
2021,47.324,percentage,b) 3 to 5-year-olds
2022,47.353,percentage,b) 3 to 5-year-olds
2023,47.003,percentage,b) 3 to 5-year-olds
2024,46.976,percentage,b) 3 to 5-year-olds
2030,,percentage,b) 3 to 5-year-olds
