Year,Value,Units,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1
1991,24.84,percentage,,,
1992,25.009,percentage,,,
1993,23.962,percentage,,,
1994,24.025,percentage,,,
1995,23.465,percentage,,,
1996,22.933,percentage,,,
1997,22.573,percentage,,,
1998,22.701,percentage,,,
1999,22.833,percentage,,,
2000,22.883,percentage,,r,
2001,21.543,percentage,,r,
2002,19.887,percentage,,r,
2003,19.264,percentage,,r,
2004,18.831,percentage,,r,
2005,18.764,percentage,,r,
2006,19.462,percentage,,r,
2007,19.715,percentage,,r,
2008,19.963,percentage,,r,
2009,18.838,percentage,,r,
2010,19.186,percentage,,r,
2011,20.008,percentage,,r,
2012,19.966,percentage,,r,
2013,19.577,percentage,,r,
2014,19.783,percentage,,r,
2015,19.748,percentage,,r,
2016,20.044,percentage,,r,
2017,20.134,percentage,,r,
2018,20.818,percentage,,r,
2019,21.152,percentage,,r,
2020,21.343,percentage,,r,
2021,21.182,percentage,,r,
2022,21.601,percentage,,r,p
2023,21.192,percentage,,r,p
2024,20.46,percentage,,r,p
2025,20.311,percentage,,r,p
