Year,Value,Units,GeoCode
1993,8354.095,"per 100,000 inhabitants",
1994,8062.642,"per 100,000 inhabitants",
1995,8211.891,"per 100,000 inhabitants",
1996,8165.843,"per 100,000 inhabitants",
1997,8078.662,"per 100,000 inhabitants",
1998,7923.243,"per 100,000 inhabitants",
1999,7742.636,"per 100,000 inhabitants",
2000,7691.754,"per 100,000 inhabitants",
2001,7811.684,"per 100,000 inhabitants",
2002,7977.821,"per 100,000 inhabitants",
2003,8055.254,"per 100,000 inhabitants",
2004,8137.919,"per 100,000 inhabitants",
2005,7851.874,"per 100,000 inhabitants",
2006,7757.168,"per 100,000 inhabitants",
2007,7751.507,"per 100,000 inhabitants",
2008,7556.892,"per 100,000 inhabitants",
2009,7509.802,"per 100,000 inhabitants",
2010,7384.652,"per 100,000 inhabitants",
2011,7467.62,"per 100,000 inhabitants",
2012,7465.7,"per 100,000 inhabitants",
2013,7403.6,"per 100,000 inhabitants",
2014,7530.3,"per 100,000 inhabitants",
2015,7796.6,"per 100,000 inhabitants",
2016,7754.759,"per 100,000 inhabitants",
2017,6982.4,"per 100,000 inhabitants",
2018,6710.185,"per 100,000 inhabitants",
2019,6548.365,"per 100,000 inhabitants",
2020,6385.513,"per 100,000 inhabitants",
2021,6070.42,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
2030,,"per 100,000 inhabitants",
