Year,Value,Units,Series,GeoCode
2008,100.0,2008 = 100,final energy productivity,
2009,100.481,2008 = 100,final energy productivity,
2010,98.181,2008 = 100,final energy productivity,
2011,106.199,2008 = 100,final energy productivity,
2012,105.685,2008 = 100,final energy productivity,
2013,103.932,2008 = 100,final energy productivity,
2014,112.208,2008 = 100,final energy productivity,
2015,110.543,2008 = 100,final energy productivity,
2016,112.086,2008 = 100,final energy productivity,
2017,114.05,2008 = 100,final energy productivity,
2018,116.599,2008 = 100,final energy productivity,
2019,117.96,2008 = 100,final energy productivity,
2020,121.194,2008 = 100,final energy productivity,
2021,120.506,2008 = 100,final energy productivity,
2022,126.482,2008 = 100,final energy productivity,
2023,,2008 = 100,final energy productivity,
2050,,2008 = 100,final energy productivity,
2030,,2008 = 100,final energy productivity,
2008,100.0,2008 = 100,primary energy consumption,
2009,93.945,2008 = 100,primary energy consumption,
2010,98.304,2008 = 100,primary energy consumption,
2011,94.048,2008 = 100,primary energy consumption,
2012,94.75,2008 = 100,primary energy consumption,
2013,96.71,2008 = 100,primary energy consumption,
2014,92.085,2008 = 100,primary energy consumption,
2015,93.031,2008 = 100,primary energy consumption,
2016,93.905,2008 = 100,primary energy consumption,
2017,94.062,2008 = 100,primary energy consumption,
2018,91.704,2008 = 100,primary energy consumption,
2019,89.132,2008 = 100,primary energy consumption,
2020,82.719,2008 = 100,primary energy consumption,
2021,86.59,2008 = 100,primary energy consumption,
2022,81.768,2008 = 100,primary energy consumption,
2023,75.095,2008 = 100,primary energy consumption,
2050,,2008 = 100,primary energy consumption,
2030,,2008 = 100,primary energy consumption,
