Year,Units,Time series,COMMENT_OBS_0,Value
2002,Percentage,<u>Time series of the indicator:</u> Imports,,0.436
2003,Percentage,<u>Time series of the indicator:</u> Imports,,0.524
2004,Percentage,<u>Time series of the indicator:</u> Imports,,0.52
2005,Percentage,<u>Time series of the indicator:</u> Imports,,0.439
2006,Percentage,<u>Time series of the indicator:</u> Imports,,0.49
2007,Percentage,<u>Time series of the indicator:</u> Imports,,0.521
2008,Percentage,<u>Time series of the indicator:</u> Imports,,0.459
2009,Percentage,<u>Time series of the indicator:</u> Imports,,0.581
2010,Percentage,<u>Time series of the indicator:</u> Imports,,0.534
2011,Percentage,<u>Time series of the indicator:</u> Imports,,0.673
2012,Percentage,<u>Time series of the indicator:</u> Imports,,0.618
2013,Percentage,<u>Time series of the indicator:</u> Imports,,0.708
2014,Percentage,<u>Time series of the indicator:</u> Imports,,0.714
2015,Percentage,<u>Time series of the indicator:</u> Imports,,0.811
2016,Percentage,<u>Time series of the indicator:</u> Imports,,0.876
2017,Percentage,<u>Time series of the indicator:</u> Imports,,0.936
2018,Percentage,<u>Time series of the indicator:</u> Imports,,0.94
2019,Percentage,<u>Time series of the indicator:</u> Imports,,0.942
2020,Percentage,<u>Time series of the indicator:</u> Imports,,0.984
2021,Percentage,<u>Time series of the indicator:</u> Imports,,1.041
2022,Percentage,<u>Time series of the indicator:</u> Imports,,1.148
2023,Percentage,<u>Time series of the indicator:</u> Imports,,1.022
2024,Percentage,<u>Time series of the indicator:</u> Imports,,1.171
2030,Percentage,<u>Time series of the indicator:</u> Imports,…,
2002,Percentage,<u>Additional time series:</u> Imports of processed products,,0.356
2003,Percentage,<u>Additional time series:</u> Imports of processed products,,0.486
2004,Percentage,<u>Additional time series:</u> Imports of processed products,,0.489
2005,Percentage,<u>Additional time series:</u> Imports of processed products,,0.398
2006,Percentage,<u>Additional time series:</u> Imports of processed products,,0.446
2007,Percentage,<u>Additional time series:</u> Imports of processed products,,0.45
2008,Percentage,<u>Additional time series:</u> Imports of processed products,,0.356
2009,Percentage,<u>Additional time series:</u> Imports of processed products,,0.517
2010,Percentage,<u>Additional time series:</u> Imports of processed products,,0.472
2011,Percentage,<u>Additional time series:</u> Imports of processed products,,0.543
2012,Percentage,<u>Additional time series:</u> Imports of processed products,,0.544
2013,Percentage,<u>Additional time series:</u> Imports of processed products,,0.624
2014,Percentage,<u>Additional time series:</u> Imports of processed products,,0.658
2015,Percentage,<u>Additional time series:</u> Imports of processed products,,0.758
2016,Percentage,<u>Additional time series:</u> Imports of processed products,,0.82
2017,Percentage,<u>Additional time series:</u> Imports of processed products,,0.882
2018,Percentage,<u>Additional time series:</u> Imports of processed products,,0.894
2019,Percentage,<u>Additional time series:</u> Imports of processed products,,0.894
2020,Percentage,<u>Additional time series:</u> Imports of processed products,,0.921
2021,Percentage,<u>Additional time series:</u> Imports of processed products,,0.92
2022,Percentage,<u>Additional time series:</u> Imports of processed products,,1.023
2023,Percentage,<u>Additional time series:</u> Imports of processed products,,0.916
2024,Percentage,<u>Additional time series:</u> Imports of processed products,,1.052
2030,Percentage,<u>Additional time series:</u> Imports of processed products,…,
