Year,Units,COMMENT_OBS_0,sex,länder,GeoCode,Value
2010,percentage,,,,,14.5
2011,percentage,,,,,16.1
2012,percentage,,,,,16.6
2013,percentage,,,,,16.4
2014,percentage,,,,,15.9
2015,percentage,,,,,15.6
2016,percentage,,,,,15.8
2017,percentage,,,,,14.5
2018,percentage,,,,,14.2
2019,percentage,,,,,13.9
2020,percentage,,,,,9.0
2021,percentage,,,,,11.0
2022,percentage,r,,,,11.9
2023,percentage,r,,,,13.0
2024,percentage,,,,,12.0
2030,percentage,…,,,,
2010,percentage,,female,,,15.4
2011,percentage,,female,,,17.5
2012,percentage,,female,,,18.0
2013,percentage,,female,,,18.0
2014,percentage,,female,,,18.0
2015,percentage,,female,,,17.3
2016,percentage,,female,,,17.5
2017,percentage,,female,,,15.7
2018,percentage,,female,,,15.4
2019,percentage,,female,,,15.3
2020,percentage,,female,,,9.6
2021,percentage,,female,,,11.6
2022,percentage,,female,,,12.9
2023,percentage,,female,,,13.9
2024,percentage,,female,,,12.8
2030,percentage,…,female,,,
2010,percentage,,male,,,13.5
2011,percentage,,male,,,14.7
2012,percentage,,male,,,15.2
2013,percentage,,male,,,14.8
2014,percentage,,male,,,13.8
2015,percentage,,male,,,13.8
2016,percentage,,male,,,14.1
2017,percentage,,male,,,13.2
2018,percentage,,male,,,12.9
2019,percentage,,male,,,12.5
2020,percentage,,male,,,8.5
2021,percentage,,male,,,10.3
2022,percentage,,male,,,11.0
2023,percentage,,male,,,12.1
2024,percentage,,male,,,11.2
2030,percentage,…,male,,,
2010,percentage,.,,baden-wuerttemberg,code08,
2011,percentage,.,,baden-wuerttemberg,code08,
2012,percentage,.,,baden-wuerttemberg,code08,
2013,percentage,.,,baden-wuerttemberg,code08,
2014,percentage,.,,baden-wuerttemberg,code08,
2015,percentage,.,,baden-wuerttemberg,code08,
2016,percentage,.,,baden-wuerttemberg,code08,
2017,percentage,.,,baden-wuerttemberg,code08,
2018,percentage,.,,baden-wuerttemberg,code08,
2019,percentage,.,,baden-wuerttemberg,code08,
2020,percentage,.,,baden-wuerttemberg,code08,
2021,percentage,,,baden-wuerttemberg,code08,10.4
2022,percentage,,,baden-wuerttemberg,code08,12.2
2023,percentage,,,baden-wuerttemberg,code08,11.7
2024,percentage,,,baden-wuerttemberg,code08,11.7
2030,percentage,,,baden-wuerttemberg,code08,
2010,percentage,.,,bavaria,code09,
2011,percentage,.,,bavaria,code09,
2012,percentage,.,,bavaria,code09,
2013,percentage,.,,bavaria,code09,
2014,percentage,.,,bavaria,code09,
2015,percentage,.,,bavaria,code09,
2016,percentage,.,,bavaria,code09,
2017,percentage,.,,bavaria,code09,
2018,percentage,.,,bavaria,code09,
2019,percentage,.,,bavaria,code09,
2020,percentage,.,,bavaria,code09,
2021,percentage,,,bavaria,code09,11.1
2022,percentage,,,bavaria,code09,11.8
2023,percentage,,,bavaria,code09,11.9
2024,percentage,,,bavaria,code09,11.9
2030,percentage,,,bavaria,code09,
2010,percentage,.,,berlin,code11,
2011,percentage,.,,berlin,code11,
2012,percentage,.,,berlin,code11,
2013,percentage,.,,berlin,code11,
2014,percentage,.,,berlin,code11,
2015,percentage,.,,berlin,code11,
2016,percentage,.,,berlin,code11,
2017,percentage,.,,berlin,code11,
2018,percentage,.,,berlin,code11,
2019,percentage,.,,berlin,code11,
2020,percentage,.,,berlin,code11,
2021,percentage,,,berlin,code11,11.7
2022,percentage,,,berlin,code11,12.9
2023,percentage,,,berlin,code11,12.9
2024,percentage,,,berlin,code11,12.8
2030,percentage,,,berlin,code11,
2010,percentage,.,,brandenburg,code12,
2011,percentage,.,,brandenburg,code12,
2012,percentage,.,,brandenburg,code12,
2013,percentage,.,,brandenburg,code12,
2014,percentage,.,,brandenburg,code12,
2015,percentage,.,,brandenburg,code12,
2016,percentage,.,,brandenburg,code12,
2017,percentage,.,,brandenburg,code12,
2018,percentage,.,,brandenburg,code12,
2019,percentage,.,,brandenburg,code12,
2020,percentage,.,,brandenburg,code12,
2021,percentage,,,brandenburg,code12,8.6
2022,percentage,,,brandenburg,code12,8.0
2023,percentage,,,brandenburg,code12,12.7
2024,percentage,,,brandenburg,code12,11.3
2030,percentage,,,brandenburg,code12,
2010,percentage,.,,bremen,code04,
2011,percentage,.,,bremen,code04,
2012,percentage,.,,bremen,code04,
2013,percentage,.,,bremen,code04,
2014,percentage,.,,bremen,code04,
2015,percentage,.,,bremen,code04,
2016,percentage,.,,bremen,code04,
2017,percentage,.,,bremen,code04,
2018,percentage,.,,bremen,code04,
2019,percentage,.,,bremen,code04,
2020,percentage,.,,bremen,code04,
2021,percentage,,,bremen,code04,16.5
2022,percentage,,,bremen,code04,11.3
2023,percentage,,,bremen,code04,14.3
2024,percentage,,,bremen,code04,11.6
2030,percentage,,,bremen,code04,
2010,percentage,.,,hamburg,code02,
2011,percentage,.,,hamburg,code02,
2012,percentage,.,,hamburg,code02,
2013,percentage,.,,hamburg,code02,
2014,percentage,.,,hamburg,code02,
2015,percentage,.,,hamburg,code02,
2016,percentage,.,,hamburg,code02,
2017,percentage,.,,hamburg,code02,
2018,percentage,.,,hamburg,code02,
2019,percentage,.,,hamburg,code02,
2020,percentage,.,,hamburg,code02,
2021,percentage,,,hamburg,code02,13.8
2022,percentage,,,hamburg,code02,16.8
2023,percentage,,,hamburg,code02,15.8
2024,percentage,,,hamburg,code02,13.2
2030,percentage,,,hamburg,code02,
2010,percentage,.,,hesse,code06,
2011,percentage,.,,hesse,code06,
2012,percentage,.,,hesse,code06,
2013,percentage,.,,hesse,code06,
2014,percentage,.,,hesse,code06,
2015,percentage,.,,hesse,code06,
2016,percentage,.,,hesse,code06,
2017,percentage,.,,hesse,code06,
2018,percentage,.,,hesse,code06,
2019,percentage,.,,hesse,code06,
2020,percentage,.,,hesse,code06,
2021,percentage,,,hesse,code06,14.4
2022,percentage,,,hesse,code06,12.8
2023,percentage,,,hesse,code06,15.0
2024,percentage,,,hesse,code06,13.4
2030,percentage,,,hesse,code06,
2010,percentage,.,,mecklenburg western pomerania,code13,
2011,percentage,.,,mecklenburg western pomerania,code13,
2012,percentage,.,,mecklenburg western pomerania,code13,
2013,percentage,.,,mecklenburg western pomerania,code13,
2014,percentage,.,,mecklenburg western pomerania,code13,
2015,percentage,.,,mecklenburg western pomerania,code13,
2016,percentage,.,,mecklenburg western pomerania,code13,
2017,percentage,.,,mecklenburg western pomerania,code13,
2018,percentage,.,,mecklenburg western pomerania,code13,
2019,percentage,.,,mecklenburg western pomerania,code13,
2020,percentage,.,,mecklenburg western pomerania,code13,
2021,percentage,,,mecklenburg western pomerania,code13,6.6
2022,percentage,,,mecklenburg western pomerania,code13,8.0
2023,percentage,,,mecklenburg western pomerania,code13,12.4
2024,percentage,,,mecklenburg western pomerania,code13,8.0
2030,percentage,,,mecklenburg western pomerania,code13,
2010,percentage,.,,lower saxony,code03,
2011,percentage,.,,lower saxony,code03,
2012,percentage,.,,lower saxony,code03,
2013,percentage,.,,lower saxony,code03,
2014,percentage,.,,lower saxony,code03,
2015,percentage,.,,lower saxony,code03,
2016,percentage,.,,lower saxony,code03,
2017,percentage,.,,lower saxony,code03,
2018,percentage,.,,lower saxony,code03,
2019,percentage,.,,lower saxony,code03,
2020,percentage,.,,lower saxony,code03,
2021,percentage,,,lower saxony,code03,11.4
2022,percentage,,,lower saxony,code03,13.1
2023,percentage,,,lower saxony,code03,13.4
2024,percentage,,,lower saxony,code03,13.4
2030,percentage,,,lower saxony,code03,
2010,percentage,.,,north rhine-westphalia,code05,
2011,percentage,.,,north rhine-westphalia,code05,
2012,percentage,.,,north rhine-westphalia,code05,
2013,percentage,.,,north rhine-westphalia,code05,
2014,percentage,.,,north rhine-westphalia,code05,
2015,percentage,.,,north rhine-westphalia,code05,
2016,percentage,.,,north rhine-westphalia,code05,
2017,percentage,.,,north rhine-westphalia,code05,
2018,percentage,.,,north rhine-westphalia,code05,
2019,percentage,.,,north rhine-westphalia,code05,
2020,percentage,.,,north rhine-westphalia,code05,
2021,percentage,,,north rhine-westphalia,code05,11.4
2022,percentage,,,north rhine-westphalia,code05,12.5
2023,percentage,,,north rhine-westphalia,code05,14.2
2024,percentage,,,north rhine-westphalia,code05,12.0
2030,percentage,,,north rhine-westphalia,code05,
2010,percentage,.,,rhineland palatinate,code07,
2011,percentage,.,,rhineland palatinate,code07,
2012,percentage,.,,rhineland palatinate,code07,
2013,percentage,.,,rhineland palatinate,code07,
2014,percentage,.,,rhineland palatinate,code07,
2015,percentage,.,,rhineland palatinate,code07,
2016,percentage,.,,rhineland palatinate,code07,
2017,percentage,.,,rhineland palatinate,code07,
2018,percentage,.,,rhineland palatinate,code07,
2019,percentage,.,,rhineland palatinate,code07,
2020,percentage,.,,rhineland palatinate,code07,
2021,percentage,,,rhineland palatinate,code07,10.9
2022,percentage,,,rhineland palatinate,code07,12.1
2023,percentage,,,rhineland palatinate,code07,14.4
2024,percentage,,,rhineland palatinate,code07,14.2
2030,percentage,,,rhineland palatinate,code07,
2010,percentage,.,,saarland,code10,
2011,percentage,.,,saarland,code10,
2012,percentage,.,,saarland,code10,
2013,percentage,.,,saarland,code10,
2014,percentage,.,,saarland,code10,
2015,percentage,.,,saarland,code10,
2016,percentage,.,,saarland,code10,
2017,percentage,.,,saarland,code10,
2018,percentage,.,,saarland,code10,
2019,percentage,.,,saarland,code10,
2020,percentage,.,,saarland,code10,
2021,percentage,,,saarland,code10,12.4
2022,percentage,,,saarland,code10,14.4
2023,percentage,,,saarland,code10,13.6
2024,percentage,,,saarland,code10,14.4
2030,percentage,,,saarland,code10,
2010,percentage,.,,saxony,code14,
2011,percentage,.,,saxony,code14,
2012,percentage,.,,saxony,code14,
2013,percentage,.,,saxony,code14,
2014,percentage,.,,saxony,code14,
2015,percentage,.,,saxony,code14,
2016,percentage,.,,saxony,code14,
2017,percentage,.,,saxony,code14,
2018,percentage,.,,saxony,code14,
2019,percentage,.,,saxony,code14,
2020,percentage,.,,saxony,code14,
2021,percentage,,,saxony,code14,6.7
2022,percentage,,,saxony,code14,8.8
2023,percentage,,,saxony,code14,8.5
2024,percentage,,,saxony,code14,7.4
2030,percentage,,,saxony,code14,
2010,percentage,.,,saxony-anhalt,code15,
2011,percentage,.,,saxony-anhalt,code15,
2012,percentage,.,,saxony-anhalt,code15,
2013,percentage,.,,saxony-anhalt,code15,
2014,percentage,.,,saxony-anhalt,code15,
2015,percentage,.,,saxony-anhalt,code15,
2016,percentage,.,,saxony-anhalt,code15,
2017,percentage,.,,saxony-anhalt,code15,
2018,percentage,.,,saxony-anhalt,code15,
2019,percentage,.,,saxony-anhalt,code15,
2020,percentage,.,,saxony-anhalt,code15,
2021,percentage,,,saxony-anhalt,code15,8.2
2022,percentage,,,saxony-anhalt,code15,7.3
2023,percentage,,,saxony-anhalt,code15,9.6
2024,percentage,,,saxony-anhalt,code15,8.9
2030,percentage,,,saxony-anhalt,code15,
2010,percentage,.,,schleswig-holstein,code01,
2011,percentage,.,,schleswig-holstein,code01,
2012,percentage,.,,schleswig-holstein,code01,
2013,percentage,.,,schleswig-holstein,code01,
2014,percentage,.,,schleswig-holstein,code01,
2015,percentage,.,,schleswig-holstein,code01,
2016,percentage,.,,schleswig-holstein,code01,
2017,percentage,.,,schleswig-holstein,code01,
2018,percentage,.,,schleswig-holstein,code01,
2019,percentage,.,,schleswig-holstein,code01,
2020,percentage,.,,schleswig-holstein,code01,
2021,percentage,,,schleswig-holstein,code01,12.1
2022,percentage,,,schleswig-holstein,code01,13.1
2023,percentage,,,schleswig-holstein,code01,16.4
2024,percentage,,,schleswig-holstein,code01,14.7
2030,percentage,,,schleswig-holstein,code01,
2010,percentage,.,,thuringia,code16,
2011,percentage,.,,thuringia,code16,
2012,percentage,.,,thuringia,code16,
2013,percentage,.,,thuringia,code16,
2014,percentage,.,,thuringia,code16,
2015,percentage,.,,thuringia,code16,
2016,percentage,.,,thuringia,code16,
2017,percentage,.,,thuringia,code16,
2018,percentage,.,,thuringia,code16,
2019,percentage,.,,thuringia,code16,
2020,percentage,.,,thuringia,code16,
2021,percentage,,,thuringia,code16,8.6
2022,percentage,,,thuringia,code16,9.4
2023,percentage,,,thuringia,code16,12.1
2024,percentage,,,thuringia,code16,9.8
2030,percentage,,,thuringia,code16,
