Year,Units,Series,federal state,GeoCode,type of care,Value
2006,percentage,a) 0 to 2-year-olds,,,,6.499
2007,percentage,a) 0 to 2-year-olds,,,,7.321
2008,percentage,a) 0 to 2-year-olds,,,,8.284
2009,percentage,a) 0 to 2-year-olds,,,,9.87
2010,percentage,a) 0 to 2-year-olds,,,,11.597
2011,percentage,a) 0 to 2-year-olds,,,,12.94
2012,percentage,a) 0 to 2-year-olds,,,,14.629
2013,percentage,a) 0 to 2-year-olds,,,,15.758
2014,percentage,a) 0 to 2-year-olds,,,,17.462
2015,percentage,a) 0 to 2-year-olds,,,,18.065
2016,percentage,a) 0 to 2-year-olds,,,,18.32
2017,percentage,a) 0 to 2-year-olds,,,,18.478
2018,percentage,a) 0 to 2-year-olds,,,,18.837
2019,percentage,a) 0 to 2-year-olds,,,,19.321
2020,percentage,a) 0 to 2-year-olds,,,,19.583
2021,percentage,a) 0 to 2-year-olds,,,,18.942
2022,percentage,a) 0 to 2-year-olds,,,,19.297
2023,percentage,a) 0 to 2-year-olds,,,,19.659
2024,percentage,a) 0 to 2-year-olds,,,,19.97
2030,percentage,a) 0 to 2-year-olds,,,,
2006,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,2.056
2007,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,2.647
2008,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,3.233
2009,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,3.965
2010,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,5.132
2011,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,6.134
2012,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,7.453
2013,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,8.305
2014,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,9.771
2015,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,10.364
2016,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,10.686
2017,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,10.8
2018,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,11.0
2019,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,11.1
2020,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,11.2
2021,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,10.7
2022,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,10.7
2023,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,10.8
2024,percentage,a) 0 to 2-year-olds,baden-wuerttemberg,code08,,11.0
2006,percentage,a) 0 to 2-year-olds,bavaria,code09,,2.151
2007,percentage,a) 0 to 2-year-olds,bavaria,code09,,2.714
2008,percentage,a) 0 to 2-year-olds,bavaria,code09,,3.282
2009,percentage,a) 0 to 2-year-olds,bavaria,code09,,3.928
2010,percentage,a) 0 to 2-year-olds,bavaria,code09,,4.936
2011,percentage,a) 0 to 2-year-olds,bavaria,code09,,5.901
2012,percentage,a) 0 to 2-year-olds,bavaria,code09,,7.697
2013,percentage,a) 0 to 2-year-olds,bavaria,code09,,8.591
2014,percentage,a) 0 to 2-year-olds,bavaria,code09,,9.635
2015,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.153
2016,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.306
2017,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.4
2018,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.6
2019,percentage,a) 0 to 2-year-olds,bavaria,code09,,11.0
2020,percentage,a) 0 to 2-year-olds,bavaria,code09,,11.2
2021,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.4
2022,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.5
2023,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.7
2024,percentage,a) 0 to 2-year-olds,bavaria,code09,,10.9
2006,percentage,a) 0 to 2-year-olds,berlin,code11,,20.753
2007,percentage,a) 0 to 2-year-olds,berlin,code11,,21.699
2008,percentage,a) 0 to 2-year-olds,berlin,code11,,22.622
2009,percentage,a) 0 to 2-year-olds,berlin,code11,,24.44
2010,percentage,a) 0 to 2-year-olds,berlin,code11,,26.016
2011,percentage,a) 0 to 2-year-olds,berlin,code11,,27.039
2012,percentage,a) 0 to 2-year-olds,berlin,code11,,28.742
2013,percentage,a) 0 to 2-year-olds,berlin,code11,,29.904
2014,percentage,a) 0 to 2-year-olds,berlin,code11,,30.823
2015,percentage,a) 0 to 2-year-olds,berlin,code11,,30.112
2016,percentage,a) 0 to 2-year-olds,berlin,code11,,30.32
2017,percentage,a) 0 to 2-year-olds,berlin,code11,,29.9
2018,percentage,a) 0 to 2-year-olds,berlin,code11,,31.1
2019,percentage,a) 0 to 2-year-olds,berlin,code11,,30.3
2020,percentage,a) 0 to 2-year-olds,berlin,code11,,30.0
2021,percentage,a) 0 to 2-year-olds,berlin,code11,,28.4
2022,percentage,a) 0 to 2-year-olds,berlin,code11,,28.0
2023,percentage,a) 0 to 2-year-olds,berlin,code11,,28.3
2024,percentage,a) 0 to 2-year-olds,berlin,code11,,28.5
2006,percentage,a) 0 to 2-year-olds,brandenburg,code12,,25.21
2007,percentage,a) 0 to 2-year-olds,brandenburg,code12,,27.409
2008,percentage,a) 0 to 2-year-olds,brandenburg,code12,,27.562
2009,percentage,a) 0 to 2-year-olds,brandenburg,code12,,31.152
2010,percentage,a) 0 to 2-year-olds,brandenburg,code12,,34.409
2011,percentage,a) 0 to 2-year-olds,brandenburg,code12,,35.87
2012,percentage,a) 0 to 2-year-olds,brandenburg,code12,,37.659
2013,percentage,a) 0 to 2-year-olds,brandenburg,code12,,38.278
2014,percentage,a) 0 to 2-year-olds,brandenburg,code12,,38.177
2015,percentage,a) 0 to 2-year-olds,brandenburg,code12,,37.782
2016,percentage,a) 0 to 2-year-olds,brandenburg,code12,,38.594
2017,percentage,a) 0 to 2-year-olds,brandenburg,code12,,37.8
2018,percentage,a) 0 to 2-year-olds,brandenburg,code12,,38.7
2019,percentage,a) 0 to 2-year-olds,brandenburg,code12,,39.6
2020,percentage,a) 0 to 2-year-olds,brandenburg,code12,,40.2
2021,percentage,a) 0 to 2-year-olds,brandenburg,code12,,37.8
2022,percentage,a) 0 to 2-year-olds,brandenburg,code12,,38.0
2023,percentage,a) 0 to 2-year-olds,brandenburg,code12,,38.3
2024,percentage,a) 0 to 2-year-olds,brandenburg,code12,,39.2
2006,percentage,a) 0 to 2-year-olds,bremen,code04,,3.318
2007,percentage,a) 0 to 2-year-olds,bremen,code04,,4.185
2008,percentage,a) 0 to 2-year-olds,bremen,code04,,5.283
2009,percentage,a) 0 to 2-year-olds,bremen,code04,,5.798
2010,percentage,a) 0 to 2-year-olds,bremen,code04,,7.18
2011,percentage,a) 0 to 2-year-olds,bremen,code04,,9.853
2012,percentage,a) 0 to 2-year-olds,bremen,code04,,11.297
2013,percentage,a) 0 to 2-year-olds,bremen,code04,,12.526
2014,percentage,a) 0 to 2-year-olds,bremen,code04,,15.405
2015,percentage,a) 0 to 2-year-olds,bremen,code04,,16.295
2016,percentage,a) 0 to 2-year-olds,bremen,code04,,16.513
2017,percentage,a) 0 to 2-year-olds,bremen,code04,,16.2
2018,percentage,a) 0 to 2-year-olds,bremen,code04,,16.2
2019,percentage,a) 0 to 2-year-olds,bremen,code04,,16.1
2020,percentage,a) 0 to 2-year-olds,bremen,code04,,16.3
2021,percentage,a) 0 to 2-year-olds,bremen,code04,,16.2
2022,percentage,a) 0 to 2-year-olds,bremen,code04,,16.0
2023,percentage,a) 0 to 2-year-olds,bremen,code04,,15.3
2024,percentage,a) 0 to 2-year-olds,bremen,code04,,14.4
2006,percentage,a) 0 to 2-year-olds,hamburg,code02,,10.436
2007,percentage,a) 0 to 2-year-olds,hamburg,code02,,10.878
2008,percentage,a) 0 to 2-year-olds,hamburg,code02,,11.689
2009,percentage,a) 0 to 2-year-olds,hamburg,code02,,13.68
2010,percentage,a) 0 to 2-year-olds,hamburg,code02,,16.002
2011,percentage,a) 0 to 2-year-olds,hamburg,code02,,18.143
2012,percentage,a) 0 to 2-year-olds,hamburg,code02,,20.996
2013,percentage,a) 0 to 2-year-olds,hamburg,code02,,21.528
2014,percentage,a) 0 to 2-year-olds,hamburg,code02,,21.844
2015,percentage,a) 0 to 2-year-olds,hamburg,code02,,22.693
2016,percentage,a) 0 to 2-year-olds,hamburg,code02,,22.924
2017,percentage,a) 0 to 2-year-olds,hamburg,code02,,25.2
2018,percentage,a) 0 to 2-year-olds,hamburg,code02,,24.6
2019,percentage,a) 0 to 2-year-olds,hamburg,code02,,27.4
2020,percentage,a) 0 to 2-year-olds,hamburg,code02,,27.5
2021,percentage,a) 0 to 2-year-olds,hamburg,code02,,25.9
2022,percentage,a) 0 to 2-year-olds,hamburg,code02,,26.7
2023,percentage,a) 0 to 2-year-olds,hamburg,code02,,28.5
2024,percentage,a) 0 to 2-year-olds,hamburg,code02,,28.5
2006,percentage,a) 0 to 2-year-olds,hesse,code06,,3.221
2007,percentage,a) 0 to 2-year-olds,hesse,code06,,4.699
2008,percentage,a) 0 to 2-year-olds,hesse,code06,,5.955
2009,percentage,a) 0 to 2-year-olds,hesse,code06,,7.397
2010,percentage,a) 0 to 2-year-olds,hesse,code06,,9.775
2011,percentage,a) 0 to 2-year-olds,hesse,code06,,11.543
2012,percentage,a) 0 to 2-year-olds,hesse,code06,,13.511
2013,percentage,a) 0 to 2-year-olds,hesse,code06,,15.039
2014,percentage,a) 0 to 2-year-olds,hesse,code06,,16.927
2015,percentage,a) 0 to 2-year-olds,hesse,code06,,18.098
2016,percentage,a) 0 to 2-year-olds,hesse,code06,,18.56
2017,percentage,a) 0 to 2-year-olds,hesse,code06,,18.6
2018,percentage,a) 0 to 2-year-olds,hesse,code06,,19.0
2019,percentage,a) 0 to 2-year-olds,hesse,code06,,19.8
2020,percentage,a) 0 to 2-year-olds,hesse,code06,,20.4
2021,percentage,a) 0 to 2-year-olds,hesse,code06,,19.6
2022,percentage,a) 0 to 2-year-olds,hesse,code06,,20.3
2023,percentage,a) 0 to 2-year-olds,hesse,code06,,20.8
2024,percentage,a) 0 to 2-year-olds,hesse,code06,,21.7
2006,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,25.354
2007,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,26.445
2008,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,27.66
2009,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,30.877
2010,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,33.093
2011,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,34.192
2012,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,37.511
2013,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,39.706
2014,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,40.57
2015,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,41.09
2016,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,41.203
2017,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,42.1
2018,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,43.0
2019,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,44.6
2020,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,46.0
2021,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,45.6
2022,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,46.6
2023,percentage,a) 0 to 2-year-olds,mecklenburg western pomerania,code13,,46.9
