Year,Units,Time series,Federal state,GeoCode,Value
1991,"Per 100,000 inhabitants",Premature death (women),,,234.6
1992,"Per 100,000 inhabitants",Premature death (women),,,225.0
1993,"Per 100,000 inhabitants",Premature death (women),,,222.9
1994,"Per 100,000 inhabitants",Premature death (women),,,216.4
1995,"Per 100,000 inhabitants",Premature death (women),,,212.2
1996,"Per 100,000 inhabitants",Premature death (women),,,208.2
1997,"Per 100,000 inhabitants",Premature death (women),,,199.6
1998,"Per 100,000 inhabitants",Premature death (women),,,193.3
1999,"Per 100,000 inhabitants",Premature death (women),,,188.8
2000,"Per 100,000 inhabitants",Premature death (women),,,184.3
2001,"Per 100,000 inhabitants",Premature death (women),,,179.0
2002,"Per 100,000 inhabitants",Premature death (women),,,177.0
2003,"Per 100,000 inhabitants",Premature death (women),,,173.2
2004,"Per 100,000 inhabitants",Premature death (women),,,166.4
2005,"Per 100,000 inhabitants",Premature death (women),,,164.7
2006,"Per 100,000 inhabitants",Premature death (women),,,159.2
2007,"Per 100,000 inhabitants",Premature death (women),,,157.9
2008,"Per 100,000 inhabitants",Premature death (women),,,158.8
2009,"Per 100,000 inhabitants",Premature death (women),,,157.4
2010,"Per 100,000 inhabitants",Premature death (women),,,155.4
2011,"Per 100,000 inhabitants",Premature death (women),,,157.1
2012,"Per 100,000 inhabitants",Premature death (women),,,152.9
2013,"Per 100,000 inhabitants",Premature death (women),,,155.8
2014,"Per 100,000 inhabitants",Premature death (women),,,149.1
2015,"Per 100,000 inhabitants",Premature death (women),,,153.0
2016,"Per 100,000 inhabitants",Premature death (women),,,151.6
2017,"Per 100,000 inhabitants",Premature death (women),,,148.7
2018,"Per 100,000 inhabitants",Premature death (women),,,151.1
2019,"Per 100,000 inhabitants",Premature death (women),,,145.9
2020,"Per 100,000 inhabitants",Premature death (women),,,145.4
2021,"Per 100,000 inhabitants",Premature death (women),,,151.8
2030,"Per 100,000 inhabitants",Premature death (women),,,
1991,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,194.7
1992,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,193.3
1993,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,189.2
1994,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,185.8
1995,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,182.9
1996,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,182.0
1997,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,172.0
1998,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,169.4
1999,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,168.1
2000,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,158.2
2001,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,159.7
2002,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,153.8
2003,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,153.7
2004,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,145.1
2005,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,144.0
2006,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,136.7
2007,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,137.2
2008,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,137.8
2009,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,135.1
2010,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,135.6
2011,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,135.0
2012,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,130.2
2013,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,135.1
2014,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,128.6
2015,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,132.9
2016,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,131.9
2017,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,127.6
2018,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,130.3
2019,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,125.6
2020,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,120.2
2021,"Per 100,000 inhabitants",Premature death (women),Baden-Wuerttemberg,code08,125.0
1991,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,211.9
1992,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,203.1
1993,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,205.8
1994,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,196.0
1995,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,195.5
1996,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,194.0
1997,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,187.5
1998,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,182.0
1999,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,177.3
2000,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,173.9
2001,"Per 100,000 inhabitants",Premature death (women),Bavaria,code09,167.9
