Year,Units,Series,Value
2015,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,100.0
2016,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,136.802
2017,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,147.738
2018,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,197.464
2019,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,204.067
2020,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,212.886
2021,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,208.58
2022,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,192.684
2015,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,100.0
2016,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,99.954
2017,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,99.679
2018,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,99.854
2019,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,100.427
2020,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,101.93
2021,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,102.998
2022,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand,101.606
