Year,Units,time series,COMMENT_OBS_0,sex,federal state,GeoCode,qualification,Value
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,33.351
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,41.37
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,42.263
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,43.464
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,44.518
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,45.734
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,46.77
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,47.879
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,48.835
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,49.833
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,50.488
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,52.285
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,53.642
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,53.547
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,55.339
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,p,,,,,57.329
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,32.997
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,33.172
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,33.277
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,33.948
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,36.221
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,36.0
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,36.504
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,37.638
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,,,,,38.866
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,,,,40.802
2030,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,…,,,,,
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,,,,31.358
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,42.746
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,r,female,,,,44.361
