Year,Units,Series,Level of compliance,Value
2022,Number of ratings,<u>Time series of the indicator:</u> Effectiveness,Effectiveness = Substantial or high,4.0
2023,Number of ratings,<u>Time series of the indicator:</u> Effectiveness,Effectiveness = Substantial or high,
2021,Number of ratings,<u>Time series of the indicator:</u> Effectiveness,Effectiveness = Substantial or high,
2029,Number of ratings,<u>Time series of the indicator:</u> Effectiveness,Effectiveness = Substantial or high,
2022,Number of ratings,<u>Time series of the indicator:</u> Effectiveness,Effectiveness = Low or moderate,7.0
2023,Number of ratings,<u>Time series of the indicator:</u> Effectiveness,Effectiveness = Low or moderate,
2021,Number of ratings,<u>Time series of the indicator:</u> Effectiveness,Effectiveness = Low or moderate,
2029,Number of ratings,<u>Time series of the indicator:</u> Effectiveness,Effectiveness = Low or moderate,
2022,Number of ratings,<u>Additional time series:</u> Technical compliance,Technical compliance = Largely compliant or compliant,35.0
2023,Number of ratings,<u>Additional time series:</u> Technical compliance,Technical compliance = Largely compliant or compliant,37.0
2021,Number of ratings,<u>Additional time series:</u> Technical compliance,Technical compliance = Largely compliant or compliant,
2029,Number of ratings,<u>Additional time series:</u> Technical compliance,Technical compliance = Largely compliant or compliant,
2022,Number of ratings,<u>Additional time series:</u> Technical compliance,Technical compliance = Non-compliant or partially compliant,5.0
2023,Number of ratings,<u>Additional time series:</u> Technical compliance,Technical compliance = Non-compliant or partially compliant,3.0
2021,Number of ratings,<u>Additional time series:</u> Technical compliance,Technical compliance = Non-compliant or partially compliant,
2029,Number of ratings,<u>Additional time series:</u> Technical compliance,Technical compliance = Non-compliant or partially compliant,
