Year,Units,degree of urbanisation,federal state,GeoCode,Value
2004,m² per year,,,,-5.1
2005,m² per year,,,,-5.0
2006,m² per year,,,,-4.8
2007,m² per year,,,,-4.7
2008,m² per year,,,,-4.6
2009,m² per year,,,,-4.3
2010,m² per year,,,,-4.0
2011,m² per year,,,,-4.2
2012,m² per year,,,,-3.8
2013,m² per year,,,,-3.6
2014,m² per year,,,,-3.7
2015,m² per year,,,,-2.9
2016,m² per year,,,,-2.7
2017,m² per year,,,,-2.8
2018,m² per year,,,,-2.8
2019,m² per year,,,,-2.8
2020,m² per year,,,,-2.8
2021,m² per year,,,,-2.7
2004,m² per year,non-rural areas,,,-1.8
2005,m² per year,non-rural areas,,,-1.8
2006,m² per year,non-rural areas,,,-1.7
2007,m² per year,non-rural areas,,,-1.7
2008,m² per year,non-rural areas,,,-1.7
2009,m² per year,non-rural areas,,,-1.5
2010,m² per year,non-rural areas,,,-1.5
2011,m² per year,non-rural areas,,,-1.4
2012,m² per year,non-rural areas,,,-1.2
2013,m² per year,non-rural areas,,,-1.2
2014,m² per year,non-rural areas,,,-1.1
2015,m² per year,non-rural areas,,,-1.0
2016,m² per year,non-rural areas,,,-0.6
2017,m² per year,non-rural areas,,,-0.6
2018,m² per year,non-rural areas,,,-0.6
2019,m² per year,non-rural areas,,,-0.5
2020,m² per year,non-rural areas,,,-0.7
2021,m² per year,non-rural areas,,,-0.5
2004,m² per year,rural areas,,,-7.4
2005,m² per year,rural areas,,,-7.3
2006,m² per year,rural areas,,,-7.1
2007,m² per year,rural areas,,,-6.9
2008,m² per year,rural areas,,,-6.7
2009,m² per year,rural areas,,,-6.4
2010,m² per year,rural areas,,,-5.9
2011,m² per year,rural areas,,,-6.3
2012,m² per year,rural areas,,,-5.7
2013,m² per year,rural areas,,,-5.5
2014,m² per year,rural areas,,,-5.7
2015,m² per year,rural areas,,,-4.3
2016,m² per year,rural areas,,,-4.3
2017,m² per year,rural areas,,,-4.4
2018,m² per year,rural areas,,,-4.5
2019,m² per year,rural areas,,,-4.5
2020,m² per year,rural areas,,,-4.5
2021,m² per year,rural areas,,,-4.4
2004,m² per year,,baden-wuerttemberg,code08,-3.6
2005,m² per year,,baden-wuerttemberg,code08,-3.3
2006,m² per year,,baden-wuerttemberg,code08,-3.2
2007,m² per year,,baden-wuerttemberg,code08,-3.2
2008,m² per year,,baden-wuerttemberg,code08,-3.1
2009,m² per year,,baden-wuerttemberg,code08,-3.0
2010,m² per year,,baden-wuerttemberg,code08,-2.744
2011,m² per year,,baden-wuerttemberg,code08,-2.408
2012,m² per year,,baden-wuerttemberg,code08,-2.278
2013,m² per year,,baden-wuerttemberg,code08,-2.143
2014,m² per year,,baden-wuerttemberg,code08,-2.028
2015,m² per year,,baden-wuerttemberg,code08,-1.918
2016,m² per year,,baden-wuerttemberg,code08,-1.7
2017,m² per year,,baden-wuerttemberg,code08,-1.88
2018,m² per year,,baden-wuerttemberg,code08,-1.81
2019,m² per year,,baden-wuerttemberg,code08,-1.765
2020,m² per year,,baden-wuerttemberg,code08,-1.862
2021,m² per year,,baden-wuerttemberg,code08,-1.723
2009,m² per year,non-rural areas,baden-wuerttemberg,code08,-1.1
2010,m² per year,non-rural areas,baden-wuerttemberg,code08,-1.214
2011,m² per year,non-rural areas,baden-wuerttemberg,code08,-1.199
