Year,Units,time series,COMMENT_OBS_0,Value
2002,percentage,<u>time series of the indicator:</u> imports,,0.436
2003,percentage,<u>time series of the indicator:</u> imports,,0.524
2004,percentage,<u>time series of the indicator:</u> imports,,0.52
2005,percentage,<u>time series of the indicator:</u> imports,,0.439
2006,percentage,<u>time series of the indicator:</u> imports,,0.49
2007,percentage,<u>time series of the indicator:</u> imports,,0.521
2008,percentage,<u>time series of the indicator:</u> imports,,0.459
2009,percentage,<u>time series of the indicator:</u> imports,,0.581
2010,percentage,<u>time series of the indicator:</u> imports,,0.534
2011,percentage,<u>time series of the indicator:</u> imports,,0.673
2012,percentage,<u>time series of the indicator:</u> imports,,0.618
2013,percentage,<u>time series of the indicator:</u> imports,,0.708
2014,percentage,<u>time series of the indicator:</u> imports,,0.714
2015,percentage,<u>time series of the indicator:</u> imports,,0.811
2016,percentage,<u>time series of the indicator:</u> imports,,0.876
2017,percentage,<u>time series of the indicator:</u> imports,,0.936
2018,percentage,<u>time series of the indicator:</u> imports,,0.94
2019,percentage,<u>time series of the indicator:</u> imports,,0.942
2020,percentage,<u>time series of the indicator:</u> imports,,0.984
2021,percentage,<u>time series of the indicator:</u> imports,,1.041
2022,percentage,<u>time series of the indicator:</u> imports,,1.148
2023,percentage,<u>time series of the indicator:</u> imports,,1.022
2024,percentage,<u>time series of the indicator:</u> imports,,1.171
2030,percentage,<u>time series of the indicator:</u> imports,…,
2002,percentage,<u>additional time series:</u> imports of processed products,,0.356
2003,percentage,<u>additional time series:</u> imports of processed products,,0.486
2004,percentage,<u>additional time series:</u> imports of processed products,,0.489
2005,percentage,<u>additional time series:</u> imports of processed products,,0.398
2006,percentage,<u>additional time series:</u> imports of processed products,,0.446
2007,percentage,<u>additional time series:</u> imports of processed products,,0.45
2008,percentage,<u>additional time series:</u> imports of processed products,,0.356
2009,percentage,<u>additional time series:</u> imports of processed products,,0.517
2010,percentage,<u>additional time series:</u> imports of processed products,,0.472
2011,percentage,<u>additional time series:</u> imports of processed products,,0.543
2012,percentage,<u>additional time series:</u> imports of processed products,,0.544
2013,percentage,<u>additional time series:</u> imports of processed products,,0.624
2014,percentage,<u>additional time series:</u> imports of processed products,,0.658
2015,percentage,<u>additional time series:</u> imports of processed products,,0.758
2016,percentage,<u>additional time series:</u> imports of processed products,,0.82
2017,percentage,<u>additional time series:</u> imports of processed products,,0.882
2018,percentage,<u>additional time series:</u> imports of processed products,,0.894
2019,percentage,<u>additional time series:</u> imports of processed products,,0.894
2020,percentage,<u>additional time series:</u> imports of processed products,,0.921
2021,percentage,<u>additional time series:</u> imports of processed products,,0.92
2022,percentage,<u>additional time series:</u> imports of processed products,,1.023
2023,percentage,<u>additional time series:</u> imports of processed products,,0.916
2024,percentage,<u>additional time series:</u> imports of processed products,,1.052
2030,percentage,<u>additional time series:</u> imports of processed products,…,
