Year,Units,Value
1991,percentage,39.5
1992,percentage,41.9
1993,percentage,45.5
1994,percentage,47.9
1995,percentage,55.3
1996,percentage,58.1
1997,percentage,59.2
1998,percentage,59.8
1999,percentage,60.3
2000,percentage,59.2
2001,percentage,58.1
2002,percentage,59.8
2003,percentage,63.3
2004,percentage,65.0
2005,percentage,67.1
2006,percentage,66.4
2007,percentage,63.7
2008,percentage,65.2
2009,percentage,72.3
2010,percentage,81.0
2011,percentage,78.5
2012,percentage,79.8
2013,percentage,77.4
2014,percentage,74.5
2015,percentage,71.2
2016,percentage,68.3
2017,percentage,64.0
2018,percentage,60.8
2019,percentage,58.7
2020,percentage,68.1
2021,percentage,68.1
2022,percentage,65.0
2023,percentage,62.9
2024,percentage,62.5
