Year,Units,Series,COMMENT_OBS_0,federal state,GeoCode,Value
2021,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,128.039
2022,2008 = 100,a) final energy productivity,r,baden-wuerttemberg,code08,134.332
2023,2008 = 100,a) final energy productivity,p,baden-wuerttemberg,code08,140.777
2024,2008 = 100,a) final energy productivity,…,baden-wuerttemberg,code08,
2030,2008 = 100,a) final energy productivity,…,baden-wuerttemberg,code08,
2008,2008 = 100,a) final energy productivity,,bavaria,code09,100.0
2009,2008 = 100,a) final energy productivity,r,bavaria,code09,98.765
2010,2008 = 100,a) final energy productivity,r,bavaria,code09,96.406
2011,2008 = 100,a) final energy productivity,r,bavaria,code09,103.07
2012,2008 = 100,a) final energy productivity,r,bavaria,code09,104.534
2013,2008 = 100,a) final energy productivity,r,bavaria,code09,104.86
2014,2008 = 100,a) final energy productivity,r,bavaria,code09,112.619
2015,2008 = 100,a) final energy productivity,r,bavaria,code09,112.265
2016,2008 = 100,a) final energy productivity,r,bavaria,code09,111.372
2017,2008 = 100,a) final energy productivity,r,bavaria,code09,114.266
2018,2008 = 100,a) final energy productivity,r,bavaria,code09,113.487
2019,2008 = 100,a) final energy productivity,r,bavaria,code09,112.096
2020,2008 = 100,a) final energy productivity,r,bavaria,code09,115.434
2021,2008 = 100,a) final energy productivity,r,bavaria,code09,119.281
2022,2008 = 100,a) final energy productivity,,bavaria,code09,121.761
2023,2008 = 100,a) final energy productivity,…,bavaria,code09,
2024,2008 = 100,a) final energy productivity,…,bavaria,code09,
2030,2008 = 100,a) final energy productivity,…,bavaria,code09,
2008,2008 = 100,a) final energy productivity,,berlin,code11,100.0
2009,2008 = 100,a) final energy productivity,r,berlin,code11,98.402
2010,2008 = 100,a) final energy productivity,r,berlin,code11,93.02
2011,2008 = 100,a) final energy productivity,r,berlin,code11,108.342
2012,2008 = 100,a) final energy productivity,r,berlin,code11,107.045
2013,2008 = 100,a) final energy productivity,r,berlin,code11,104.533
2014,2008 = 100,a) final energy productivity,r,berlin,code11,115.232
2015,2008 = 100,a) final energy productivity,r,berlin,code11,122.132
2016,2008 = 100,a) final energy productivity,r,berlin,code11,123.148
2017,2008 = 100,a) final energy productivity,r,berlin,code11,127.723
2018,2008 = 100,a) final energy productivity,r,berlin,code11,132.887
2019,2008 = 100,a) final energy productivity,r,berlin,code11,140.848
2020,2008 = 100,a) final energy productivity,r,berlin,code11,153.219
2021,2008 = 100,a) final energy productivity,r,berlin,code11,156.807
2022,2008 = 100,a) final energy productivity,r,berlin,code11,173.297
2023,2008 = 100,a) final energy productivity,p,berlin,code11,176.186
2024,2008 = 100,a) final energy productivity,…,berlin,code11,
2030,2008 = 100,a) final energy productivity,…,berlin,code11,
2008,2008 = 100,a) final energy productivity,,brandenburg,code12,100.0
2009,2008 = 100,a) final energy productivity,r,brandenburg,code12,99.316
2010,2008 = 100,a) final energy productivity,r,brandenburg,code12,95.722
2011,2008 = 100,a) final energy productivity,r,brandenburg,code12,100.546
2012,2008 = 100,a) final energy productivity,r,brandenburg,code12,99.753
2013,2008 = 100,a) final energy productivity,r,brandenburg,code12,98.049
2014,2008 = 100,a) final energy productivity,r,brandenburg,code12,104.222
2015,2008 = 100,a) final energy productivity,r,brandenburg,code12,106.969
2016,2008 = 100,a) final energy productivity,r,brandenburg,code12,103.486
2017,2008 = 100,a) final energy productivity,r,brandenburg,code12,103.598
2018,2008 = 100,a) final energy productivity,r,brandenburg,code12,103.047
2019,2008 = 100,a) final energy productivity,r,brandenburg,code12,107.844
2020,2008 = 100,a) final energy productivity,r,brandenburg,code12,109.305
2021,2008 = 100,a) final energy productivity,r,brandenburg,code12,105.848
2022,2008 = 100,a) final energy productivity,r,brandenburg,code12,106.596
2023,2008 = 100,a) final energy productivity,p,brandenburg,code12,106.855
2024,2008 = 100,a) final energy productivity,…,brandenburg,code12,
2030,2008 = 100,a) final energy productivity,…,brandenburg,code12,
2008,2008 = 100,a) final energy productivity,,bremen,code04,100.0
2009,2008 = 100,a) final energy productivity,r,bremen,code04,97.491
2010,2008 = 100,a) final energy productivity,.,bremen,code04,
2011,2008 = 100,a) final energy productivity,r,bremen,code04,95.63
2012,2008 = 100,a) final energy productivity,r,bremen,code04,99.936
2013,2008 = 100,a) final energy productivity,r,bremen,code04,99.938
2014,2008 = 100,a) final energy productivity,r,bremen,code04,95.756
2015,2008 = 100,a) final energy productivity,r,bremen,code04,97.343
2016,2008 = 100,a) final energy productivity,r,bremen,code04,99.761
2017,2008 = 100,a) final energy productivity,r,bremen,code04,105.175
2018,2008 = 100,a) final energy productivity,r,bremen,code04,105.029
2019,2008 = 100,a) final energy productivity,r,bremen,code04,107.227
2020,2008 = 100,a) final energy productivity,r,bremen,code04,112.657
2021,2008 = 100,a) final energy productivity,…,bremen,code04,
2022,2008 = 100,a) final energy productivity,…,bremen,code04,
2023,2008 = 100,a) final energy productivity,…,bremen,code04,
2024,2008 = 100,a) final energy productivity,…,bremen,code04,
2030,2008 = 100,a) final energy productivity,…,bremen,code04,
2008,2008 = 100,a) final energy productivity,,hamburg,code02,100.0
2009,2008 = 100,a) final energy productivity,r,hamburg,code02,93.388
2010,2008 = 100,a) final energy productivity,r,hamburg,code02,94.679
2011,2008 = 100,a) final energy productivity,r,hamburg,code02,101.951
2012,2008 = 100,a) final energy productivity,r,hamburg,code02,100.43
2013,2008 = 100,a) final energy productivity,r,hamburg,code02,105.241
2014,2008 = 100,a) final energy productivity,r,hamburg,code02,110.958
2015,2008 = 100,a) final energy productivity,r,hamburg,code02,109.975
2016,2008 = 100,a) final energy productivity,r,hamburg,code02,111.83
2017,2008 = 100,a) final energy productivity,r,hamburg,code02,112.879
2018,2008 = 100,a) final energy productivity,r,hamburg,code02,110.22
2019,2008 = 100,a) final energy productivity,r,hamburg,code02,113.832
2020,2008 = 100,a) final energy productivity,r,hamburg,code02,116.727
2021,2008 = 100,a) final energy productivity,r,hamburg,code02,113.623
2022,2008 = 100,a) final energy productivity,r,hamburg,code02,124.39
2023,2008 = 100,a) final energy productivity,,hamburg,code02,127.286
2024,2008 = 100,a) final energy productivity,…,hamburg,code02,
2030,2008 = 100,a) final energy productivity,…,hamburg,code02,
2008,2008 = 100,a) final energy productivity,,hesse,code06,100.0
2009,2008 = 100,a) final energy productivity,r,hesse,code06,97.851
2010,2008 = 100,a) final energy productivity,r,hesse,code06,98.755
2011,2008 = 100,a) final energy productivity,r,hesse,code06,107.007
2012,2008 = 100,a) final energy productivity,r,hesse,code06,104.617
2013,2008 = 100,a) final energy productivity,r,hesse,code06,102.948
2014,2008 = 100,a) final energy productivity,r,hesse,code06,106.577
2015,2008 = 100,a) final energy productivity,r,hesse,code06,105.113
2016,2008 = 100,a) final energy productivity,r,hesse,code06,105.939
2017,2008 = 100,a) final energy productivity,r,hesse,code06,108.452
2018,2008 = 100,a) final energy productivity,r,hesse,code06,110.015
2019,2008 = 100,a) final energy productivity,r,hesse,code06,110.015
2020,2008 = 100,a) final energy productivity,r,hesse,code06,125.237
2021,2008 = 100,a) final energy productivity,r,hesse,code06,124.882
2022,2008 = 100,a) final energy productivity,r,hesse,code06,123.222
2023,2008 = 100,a) final energy productivity,p,hesse,code06,125.251
2024,2008 = 100,a) final energy productivity,…,hesse,code06,
2030,2008 = 100,a) final energy productivity,…,hesse,code06,
2008,2008 = 100,a) final energy productivity,,mecklenburg western pomerania,code13,100.0
2009,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,100.436
2010,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,94.842
2011,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,104.607
2012,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,100.953
2013,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,98.329
2014,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,104.113
2015,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,104.711
2016,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,105.369
2017,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,112.583
2018,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,110.397
2019,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,114.76
2020,2008 = 100,a) final energy productivity,r,mecklenburg western pomerania,code13,111.516
2021,2008 = 100,a) final energy productivity,…,mecklenburg western pomerania,code13,
2022,2008 = 100,a) final energy productivity,…,mecklenburg western pomerania,code13,
2023,2008 = 100,a) final energy productivity,…,mecklenburg western pomerania,code13,
2024,2008 = 100,a) final energy productivity,…,mecklenburg western pomerania,code13,
2030,2008 = 100,a) final energy productivity,…,mecklenburg western pomerania,code13,
2008,2008 = 100,a) final energy productivity,,lower saxony,code03,100.0
2009,2008 = 100,a) final energy productivity,r,lower saxony,code03,99.376
2010,2008 = 100,a) final energy productivity,r,lower saxony,code03,98.059
2011,2008 = 100,a) final energy productivity,r,lower saxony,code03,107.792
2012,2008 = 100,a) final energy productivity,r,lower saxony,code03,111.351
2013,2008 = 100,a) final energy productivity,r,lower saxony,code03,108.57
2014,2008 = 100,a) final energy productivity,r,lower saxony,code03,114.156
2015,2008 = 100,a) final energy productivity,r,lower saxony,code03,114.339
2016,2008 = 100,a) final energy productivity,r,lower saxony,code03,120.215
2017,2008 = 100,a) final energy productivity,r,lower saxony,code03,119.051
2018,2008 = 100,a) final energy productivity,r,lower saxony,code03,120.893
2019,2008 = 100,a) final energy productivity,r,lower saxony,code03,123.415
2020,2008 = 100,a) final energy productivity,r,lower saxony,code03,123.792
2021,2008 = 100,a) final energy productivity,r,lower saxony,code03,122.047
2022,2008 = 100,a) final energy productivity,r,lower saxony,code03,125.279
2023,2008 = 100,a) final energy productivity,p,lower saxony,code03,135.171
2024,2008 = 100,a) final energy productivity,…,lower saxony,code03,
2030,2008 = 100,a) final energy productivity,…,lower saxony,code03,
2008,2008 = 100,a) final energy productivity,,north rhine-westphalia,code05,100.0
2009,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,106.844
2010,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,102.247
2011,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,111.562
2012,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,112.495
2013,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,111.909
2014,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,117.424
2015,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,119.424
2016,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,118.678
2017,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,124.497
2018,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,120.561
2019,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,120.432
2020,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,120.361
2021,2008 = 100,a) final energy productivity,r,north rhine-westphalia,code05,120.784
2022,2008 = 100,a) final energy productivity,,north rhine-westphalia,code05,136.109
2023,2008 = 100,a) final energy productivity,…,north rhine-westphalia,code05,
2024,2008 = 100,a) final energy productivity,…,north rhine-westphalia,code05,
2030,2008 = 100,a) final energy productivity,…,north rhine-westphalia,code05,
2008,2008 = 100,a) final energy productivity,,rhineland palatinate,code07,100.0
2009,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,99.673
2010,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,100.053
2011,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,110.183
2012,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,112.57
2013,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,109.064
2014,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,114.686
2015,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,114.725
2016,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,113.732
2017,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,114.6
2018,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,113.038
2019,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,112.861
2020,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,111.496
2021,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,120.56
2022,2008 = 100,a) final energy productivity,r,rhineland palatinate,code07,126.572
2023,2008 = 100,a) final energy productivity,…,rhineland palatinate,code07,
2024,2008 = 100,a) final energy productivity,…,rhineland palatinate,code07,
2030,2008 = 100,a) final energy productivity,…,rhineland palatinate,code07,
2008,2008 = 100,a) final energy productivity,.,saarland,code10,
2009,2008 = 100,a) final energy productivity,.,saarland,code10,
2010,2008 = 100,a) final energy productivity,.,saarland,code10,
2011,2008 = 100,a) final energy productivity,.,saarland,code10,
2012,2008 = 100,a) final energy productivity,.,saarland,code10,
2013,2008 = 100,a) final energy productivity,.,saarland,code10,
2014,2008 = 100,a) final energy productivity,.,saarland,code10,
2015,2008 = 100,a) final energy productivity,.,saarland,code10,
2016,2008 = 100,a) final energy productivity,.,saarland,code10,
2017,2008 = 100,a) final energy productivity,.,saarland,code10,
2018,2008 = 100,a) final energy productivity,.,saarland,code10,
2019,2008 = 100,a) final energy productivity,.,saarland,code10,
2020,2008 = 100,a) final energy productivity,.,saarland,code10,
2021,2008 = 100,a) final energy productivity,.,saarland,code10,
2022,2008 = 100,a) final energy productivity,.,saarland,code10,
2023,2008 = 100,a) final energy productivity,.,saarland,code10,
2024,2008 = 100,a) final energy productivity,.,saarland,code10,
2030,2008 = 100,a) final energy productivity,…,saarland,code10,
2008,2008 = 100,a) final energy productivity,,saxony,code14,100.0
2009,2008 = 100,a) final energy productivity,r,saxony,code14,97.479
2010,2008 = 100,a) final energy productivity,r,saxony,code14,95.119
2011,2008 = 100,a) final energy productivity,r,saxony,code14,105.025
2012,2008 = 100,a) final energy productivity,r,saxony,code14,100.232
2013,2008 = 100,a) final energy productivity,r,saxony,code14,98.213
2014,2008 = 100,a) final energy productivity,r,saxony,code14,106.198
2015,2008 = 100,a) final energy productivity,r,saxony,code14,106.701
2016,2008 = 100,a) final energy productivity,r,saxony,code14,105.778
2017,2008 = 100,a) final energy productivity,r,saxony,code14,105.305
2018,2008 = 100,a) final energy productivity,r,saxony,code14,109.123
2019,2008 = 100,a) final energy productivity,r,saxony,code14,111.767
2020,2008 = 100,a) final energy productivity,r,saxony,code14,105.803
2021,2008 = 100,a) final energy productivity,r,saxony,code14,103.172
2022,2008 = 100,a) final energy productivity,r,saxony,code14,108.905
2023,2008 = 100,a) final energy productivity,p,saxony,code14,116.035
2024,2008 = 100,a) final energy productivity,…,saxony,code14,
2030,2008 = 100,a) final energy productivity,…,saxony,code14,
2008,2008 = 100,a) final energy productivity,,saxony-anhalt,code15,100.0
2009,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,96.13
2010,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,93.149
2011,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,95.868
2012,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,95.001
2013,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,94.351
2014,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,98.85
2015,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,99.66
2016,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,98.441
2017,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,98.723
2018,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,95.877
2019,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,101.297
2020,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,101.041
2021,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,96.861
2022,2008 = 100,a) final energy productivity,r,saxony-anhalt,code15,101.808
2023,2008 = 100,a) final energy productivity,…,saxony-anhalt,code15,
2024,2008 = 100,a) final energy productivity,…,saxony-anhalt,code15,
2030,2008 = 100,a) final energy productivity,…,saxony-anhalt,code15,
2008,2008 = 100,a) final energy productivity,,schleswig-holstein,code01,100.0
2009,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,99.774
2010,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,94.857
2011,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,102.226
2012,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,99.803
2013,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,95.242
2014,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,102.911
2015,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,102.327
2016,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,104.5
2017,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,106.895
2018,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,107.791
2019,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,115.097
2020,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,112.323
2021,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,108.688
2022,2008 = 100,a) final energy productivity,r,schleswig-holstein,code01,113.957
2023,2008 = 100,a) final energy productivity,,schleswig-holstein,code01,119.832
2024,2008 = 100,a) final energy productivity,…,schleswig-holstein,code01,
2030,2008 = 100,a) final energy productivity,…,schleswig-holstein,code01,
2008,2008 = 100,a) final energy productivity,,thuringia,code16,100.0
2009,2008 = 100,a) final energy productivity,r,thuringia,code16,100.692
2010,2008 = 100,a) final energy productivity,r,thuringia,code16,98.86
2011,2008 = 100,a) final energy productivity,r,thuringia,code16,109.612
2012,2008 = 100,a) final energy productivity,r,thuringia,code16,107.876
2013,2008 = 100,a) final energy productivity,r,thuringia,code16,106.458
2014,2008 = 100,a) final energy productivity,r,thuringia,code16,116.708
2015,2008 = 100,a) final energy productivity,r,thuringia,code16,116.716
2016,2008 = 100,a) final energy productivity,r,thuringia,code16,116.096
2017,2008 = 100,a) final energy productivity,r,thuringia,code16,118.856
2018,2008 = 100,a) final energy productivity,r,thuringia,code16,118.758
2019,2008 = 100,a) final energy productivity,r,thuringia,code16,119.179
2020,2008 = 100,a) final energy productivity,r,thuringia,code16,118.851
2021,2008 = 100,a) final energy productivity,r,thuringia,code16,119.235
2022,2008 = 100,a) final energy productivity,,thuringia,code16,122.974
2023,2008 = 100,a) final energy productivity,…,thuringia,code16,
2024,2008 = 100,a) final energy productivity,…,thuringia,code16,
2030,2008 = 100,a) final energy productivity,…,thuringia,code16,
2008,2008 = 100,b) primary energy consumption,,,,100.0
2009,2008 = 100,b) primary energy consumption,r,,,93.97
2010,2008 = 100,b) primary energy consumption,r,,,98.302
2011,2008 = 100,b) primary energy consumption,r,,,94.054
2012,2008 = 100,b) primary energy consumption,r,,,94.8
2013,2008 = 100,b) primary energy consumption,r,,,96.783
2014,2008 = 100,b) primary energy consumption,r,,,92.136
2015,2008 = 100,b) primary energy consumption,r,,,93.101
2016,2008 = 100,b) primary energy consumption,r,,,93.976
2017,2008 = 100,b) primary energy consumption,r,,,94.105
2018,2008 = 100,b) primary energy consumption,r,,,91.774
2019,2008 = 100,b) primary energy consumption,r,,,89.208
2020,2008 = 100,b) primary energy consumption,r,,,82.753
2021,2008 = 100,b) primary energy consumption,r,,,86.732
2022,2008 = 100,b) primary energy consumption,r,,,81.405
2023,2008 = 100,b) primary energy consumption,r,,,74.088
2024,2008 = 100,b) primary energy consumption,p,,,73.281
2030,2008 = 100,b) primary energy consumption,…,,,
2008,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,100.0
2009,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,95.076
2010,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,95.291
2011,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,88.107
2012,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,85.625
2013,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,89.267
2014,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,85.552
2015,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,87.383
2016,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,89.223
2017,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,87.798
2018,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,86.048
2019,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,86.396
2020,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,77.268
2021,2008 = 100,b) primary energy consumption,,baden-wuerttemberg,code08,79.245
2022,2008 = 100,b) primary energy consumption,r,baden-wuerttemberg,code08,78.054
2023,2008 = 100,b) primary energy consumption,p,baden-wuerttemberg,code08,68.498
2024,2008 = 100,b) primary energy consumption,…,baden-wuerttemberg,code08,
2030,2008 = 100,b) primary energy consumption,…,baden-wuerttemberg,code08,
2008,2008 = 100,b) primary energy consumption,,bavaria,code09,100.0
2009,2008 = 100,b) primary energy consumption,,bavaria,code09,98.265
2010,2008 = 100,b) primary energy consumption,,bavaria,code09,102.045
2011,2008 = 100,b) primary energy consumption,,bavaria,code09,99.897
2012,2008 = 100,b) primary energy consumption,,bavaria,code09,97.558
2013,2008 = 100,b) primary energy consumption,,bavaria,code09,98.191
2014,2008 = 100,b) primary energy consumption,,bavaria,code09,94.712
2015,2008 = 100,b) primary energy consumption,,bavaria,code09,94.839
2016,2008 = 100,b) primary energy consumption,,bavaria,code09,94.958
2017,2008 = 100,b) primary energy consumption,,bavaria,code09,95.405
2018,2008 = 100,b) primary energy consumption,,bavaria,code09,89.757
2019,2008 = 100,b) primary energy consumption,,bavaria,code09,91.528
2020,2008 = 100,b) primary energy consumption,,bavaria,code09,86.8
2021,2008 = 100,b) primary energy consumption,,bavaria,code09,89.318
2022,2008 = 100,b) primary energy consumption,,bavaria,code09,84.171
2023,2008 = 100,b) primary energy consumption,…,bavaria,code09,
2024,2008 = 100,b) primary energy consumption,…,bavaria,code09,
2030,2008 = 100,b) primary energy consumption,…,bavaria,code09,
2008,2008 = 100,b) primary energy consumption,,berlin,code11,100.0
2009,2008 = 100,b) primary energy consumption,,berlin,code11,98.596
2010,2008 = 100,b) primary energy consumption,,berlin,code11,107.634
2011,2008 = 100,b) primary energy consumption,,berlin,code11,96.33
2012,2008 = 100,b) primary energy consumption,,berlin,code11,97.576
2013,2008 = 100,b) primary energy consumption,,berlin,code11,100.579
2014,2008 = 100,b) primary energy consumption,,berlin,code11,94.605
2015,2008 = 100,b) primary energy consumption,,berlin,code11,92.226
2016,2008 = 100,b) primary energy consumption,,berlin,code11,94.706
2017,2008 = 100,b) primary energy consumption,,berlin,code11,94.161
2018,2008 = 100,b) primary energy consumption,,berlin,code11,93.188
2019,2008 = 100,b) primary energy consumption,,berlin,code11,90.408
2020,2008 = 100,b) primary energy consumption,,berlin,code11,81.05
2021,2008 = 100,b) primary energy consumption,,berlin,code11,82.748
2022,2008 = 100,b) primary energy consumption,,berlin,code11,78.636
2023,2008 = 100,b) primary energy consumption,p,berlin,code11,77.338
2024,2008 = 100,b) primary energy consumption,…,berlin,code11,
2030,2008 = 100,b) primary energy consumption,…,berlin,code11,
2008,2008 = 100,b) primary energy consumption,,brandenburg,code12,100.0
2009,2008 = 100,b) primary energy consumption,,brandenburg,code12,97.025
2010,2008 = 100,b) primary energy consumption,,brandenburg,code12,102.117
2011,2008 = 100,b) primary energy consumption,,brandenburg,code12,104.453
2012,2008 = 100,b) primary energy consumption,,brandenburg,code12,104.537
2013,2008 = 100,b) primary energy consumption,,brandenburg,code12,102.191
2014,2008 = 100,b) primary energy consumption,,brandenburg,code12,101.388
2015,2008 = 100,b) primary energy consumption,,brandenburg,code12,101.428
2016,2008 = 100,b) primary energy consumption,,brandenburg,code12,101.962
2017,2008 = 100,b) primary energy consumption,,brandenburg,code12,103.674
2018,2008 = 100,b) primary energy consumption,,brandenburg,code12,106.748
2019,2008 = 100,b) primary energy consumption,,brandenburg,code12,97.997
2020,2008 = 100,b) primary energy consumption,,brandenburg,code12,84.369
2021,2008 = 100,b) primary energy consumption,,brandenburg,code12,94.968
2022,2008 = 100,b) primary energy consumption,,brandenburg,code12,90.337
2023,2008 = 100,b) primary energy consumption,p,brandenburg,code12,87.39
2024,2008 = 100,b) primary energy consumption,…,brandenburg,code12,
2030,2008 = 100,b) primary energy consumption,…,brandenburg,code12,
2008,2008 = 100,b) primary energy consumption,,bremen,code04,100.0
2009,2008 = 100,b) primary energy consumption,,bremen,code04,96.197
2010,2008 = 100,b) primary energy consumption,,bremen,code04,105.896
2011,2008 = 100,b) primary energy consumption,,bremen,code04,100.289
2012,2008 = 100,b) primary energy consumption,,bremen,code04,100.339
2013,2008 = 100,b) primary energy consumption,,bremen,code04,99.365
2014,2008 = 100,b) primary energy consumption,,bremen,code04,100.788
2015,2008 = 100,b) primary energy consumption,,bremen,code04,100.071
2016,2008 = 100,b) primary energy consumption,,bremen,code04,98.879
2017,2008 = 100,b) primary energy consumption,,bremen,code04,100.548
2018,2008 = 100,b) primary energy consumption,,bremen,code04,95.591
2019,2008 = 100,b) primary energy consumption,,bremen,code04,89.682
2020,2008 = 100,b) primary energy consumption,,bremen,code04,77.493
2021,2008 = 100,b) primary energy consumption,…,bremen,code04,
2022,2008 = 100,b) primary energy consumption,…,bremen,code04,
2023,2008 = 100,b) primary energy consumption,…,bremen,code04,
2024,2008 = 100,b) primary energy consumption,…,bremen,code04,
2030,2008 = 100,b) primary energy consumption,…,bremen,code04,
2008,2008 = 100,b) primary energy consumption,,hamburg,code02,100.0
2009,2008 = 100,b) primary energy consumption,,hamburg,code02,98.742
2010,2008 = 100,b) primary energy consumption,,hamburg,code02,106.297
