Year,Units,Series,sex,Value
1996,percentage,foreigns,,80.444
1997,percentage,foreigns,,80.574
1998,percentage,foreigns,,80.505
1999,percentage,foreigns,,80.687
2000,percentage,foreigns,,80.102
2001,percentage,foreigns,,79.799
2002,percentage,foreigns,,80.62
2003,percentage,foreigns,,80.946
2004,percentage,foreigns,,81.911
2005,percentage,foreigns,,82.599
2006,percentage,foreigns,,83.227
2007,percentage,foreigns,,84.036
2008,percentage,foreigns,,85.041
2009,percentage,foreigns,,86.154
2010,percentage,foreigns,,87.191
2011,percentage,foreigns,,88.221
2012,percentage,foreigns,,88.614
2013,percentage,foreigns,,89.287
2014,percentage,foreigns,,88.057
2015,percentage,foreigns,,88.2
2016,percentage,foreigns,,85.874
2017,percentage,foreigns,,81.921
2018,percentage,foreigns,,81.795
2019,percentage,foreigns,,82.371
2020,percentage,foreigns,,85.345
2021,percentage,foreigns,,84.342
2022,percentage,foreigns,,84.008
2023,percentage,foreigns,,82.271
2030,percentage,foreigns,,
1996,percentage,foreigns,female,84.47
1997,percentage,foreigns,female,84.734
1998,percentage,foreigns,female,84.53
1999,percentage,foreigns,female,84.935
2000,percentage,foreigns,female,84.328
2001,percentage,foreigns,female,84.291
2002,percentage,foreigns,female,84.415
2003,percentage,foreigns,female,84.591
2004,percentage,foreigns,female,85.812
2005,percentage,foreigns,female,86.424
2006,percentage,foreigns,female,86.53
2007,percentage,foreigns,female,87.035
2008,percentage,foreigns,female,87.918
2009,percentage,foreigns,female,88.545
2010,percentage,foreigns,female,89.466
2011,percentage,foreigns,female,90.343
2012,percentage,foreigns,female,90.592
2013,percentage,foreigns,female,91.072
2014,percentage,foreigns,female,89.406
2015,percentage,foreigns,female,90.3
2016,percentage,foreigns,female,89.1
2017,percentage,foreigns,female,86.431
2018,percentage,foreigns,female,85.572
2019,percentage,foreigns,female,85.83
2020,percentage,foreigns,female,88.022
2021,percentage,foreigns,female,87.38
2022,percentage,foreigns,female,86.869
2023,percentage,foreigns,female,85.206
1996,percentage,foreigns,male,76.661
1997,percentage,foreigns,male,76.831
1998,percentage,foreigns,male,76.898
1999,percentage,foreigns,male,76.886
2000,percentage,foreigns,male,76.214
2001,percentage,foreigns,male,75.832
2002,percentage,foreigns,male,76.886
2003,percentage,foreigns,male,77.423
2004,percentage,foreigns,male,78.305
2005,percentage,foreigns,male,79.14
2006,percentage,foreigns,male,80.178
2007,percentage,foreigns,male,81.207
2008,percentage,foreigns,male,82.273
2009,percentage,foreigns,male,83.853
2010,percentage,foreigns,male,84.966
2011,percentage,foreigns,male,86.175
2012,percentage,foreigns,male,86.686
2013,percentage,foreigns,male,87.562
2014,percentage,foreigns,male,86.758
2015,percentage,foreigns,male,86.2
2016,percentage,foreigns,male,82.9
2017,percentage,foreigns,male,78.118
2018,percentage,foreigns,male,78.765
2019,percentage,foreigns,male,79.495
2020,percentage,foreigns,male,83.009
2021,percentage,foreigns,male,81.619
2022,percentage,foreigns,male,81.435
2023,percentage,foreigns,male,79.673
1996,percentage,germans,,92.284
1997,percentage,germans,,92.286
1998,percentage,germans,,92.059
1999,percentage,germans,,92.002
2000,percentage,germans,,91.691
2001,percentage,germans,,91.347
2002,percentage,germans,,91.795
2003,percentage,germans,,92.074
2004,percentage,germans,,92.58
2005,percentage,germans,,92.761
2006,percentage,germans,,93.047
2007,percentage,germans,,93.6
2008,percentage,germans,,93.8
2009,percentage,germans,,94.227
2010,percentage,germans,,94.572
2011,percentage,germans,,95.006
2012,percentage,germans,,95.102
2013,percentage,germans,,95.377
2014,percentage,germans,,95.136
2015,percentage,germans,,95.0
2016,percentage,germans,,95.1
2017,percentage,germans,,94.733
2018,percentage,germans,,94.58
2019,percentage,germans,,94.526
2020,percentage,germans,,94.906
2021,percentage,germans,,94.86
2022,percentage,germans,,94.259
2023,percentage,germans,,94.212
2030,percentage,germans,,
1996,percentage,germans,female,94.468
1997,percentage,germans,female,94.616
1998,percentage,germans,female,94.417
1999,percentage,germans,female,94.214
2000,percentage,germans,female,94.12
2001,percentage,germans,female,93.691
2002,percentage,germans,female,94.029
2003,percentage,germans,female,94.201
2004,percentage,germans,female,94.631
2005,percentage,germans,female,94.676
2006,percentage,germans,female,94.813
2007,percentage,germans,female,95.182
2008,percentage,germans,female,95.234
2009,percentage,germans,female,96.071
2010,percentage,germans,female,96.096
2011,percentage,germans,female,96.119
2012,percentage,germans,female,95.874
2013,percentage,germans,female,95.756
2014,percentage,germans,female,95.812
2015,percentage,germans,female,96.025
2016,percentage,germans,female,96.013
2017,percentage,germans,female,95.874
2018,percentage,germans,female,95.756
2019,percentage,germans,female,95.812
2020,percentage,germans,female,96.025
2021,percentage,germans,female,96.013
2022,percentage,germans,female,95.538
2023,percentage,germans,female,95.304
1996,percentage,germans,male,90.082
1997,percentage,germans,male,90.144
1998,percentage,germans,male,89.792
1999,percentage,germans,male,89.799
2000,percentage,germans,male,89.348
2001,percentage,germans,male,89.081
2002,percentage,germans,male,89.603
2003,percentage,germans,male,90.019
2004,percentage,germans,male,90.584
2005,percentage,germans,male,90.899
2006,percentage,germans,male,91.449
2007,percentage,germans,male,91.97
2008,percentage,germans,male,92.471
2009,percentage,germans,male,94.14
2010,percentage,germans,male,93.996
2011,percentage,germans,male,94.071
2012,percentage,germans,male,93.797
2013,percentage,germans,male,93.464
