Year,Units,Series,sex,federal state,GeoCode,Value
2000,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.7
2001,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.1
2002,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.8
2003,percentage,"employment rate, total (20 to 64-year-olds)",,,,68.4
2004,percentage,"employment rate, total (20 to 64-year-olds)",,,,67.9
2005,percentage,"employment rate, total (20 to 64-year-olds)",,,,69.4
2006,percentage,"employment rate, total (20 to 64-year-olds)",,,,71.1
2007,percentage,"employment rate, total (20 to 64-year-olds)",,,,72.9
2008,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.0
2009,percentage,"employment rate, total (20 to 64-year-olds)",,,,74.2
2010,percentage,"employment rate, total (20 to 64-year-olds)",,,,75.0
2011,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.5
2012,percentage,"employment rate, total (20 to 64-year-olds)",,,,76.9
2013,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.3
2014,percentage,"employment rate, total (20 to 64-year-olds)",,,,77.7
2015,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.0
2016,percentage,"employment rate, total (20 to 64-year-olds)",,,,78.6
2017,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.2
2018,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.9
2019,percentage,"employment rate, total (20 to 64-year-olds)",,,,80.6
2020,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.2
2021,percentage,"employment rate, total (20 to 64-year-olds)",,,,79.6
2030,percentage,"employment rate, total (20 to 64-year-olds)",,,,
2000,percentage,"employment rate, total (20 to 64-year-olds)",female,,,60.7
2001,percentage,"employment rate, total (20 to 64-year-olds)",female,,,61.6
2002,percentage,"employment rate, total (20 to 64-year-olds)",female,,,61.8
2003,percentage,"employment rate, total (20 to 64-year-olds)",female,,,62.0
2004,percentage,"employment rate, total (20 to 64-year-olds)",female,,,61.8
2005,percentage,"employment rate, total (20 to 64-year-olds)",female,,,63.1
2006,percentage,"employment rate, total (20 to 64-year-olds)",female,,,65.0
2007,percentage,"employment rate, total (20 to 64-year-olds)",female,,,66.7
2008,percentage,"employment rate, total (20 to 64-year-olds)",female,,,67.8
2009,percentage,"employment rate, total (20 to 64-year-olds)",female,,,68.7
2010,percentage,"employment rate, total (20 to 64-year-olds)",female,,,69.7
2011,percentage,"employment rate, total (20 to 64-year-olds)",female,,,71.3
