Year,Units,time series,area,sex,Value
2010,percentage,material deprivation,european union,,17.8
2011,percentage,material deprivation,european union,,18.5
2012,percentage,material deprivation,european union,,19.8
2013,percentage,material deprivation,european union,,19.5
2014,percentage,material deprivation,european union,,19.7
2015,percentage,material deprivation,european union,,17.5
2016,percentage,material deprivation,european union,,16.0
2017,percentage,material deprivation,european union,,14.0
2018,percentage,material deprivation,european union,,13.1
2019,percentage,material deprivation,european union,,12.4
2020,percentage,material deprivation,european union,,12.7
2021,percentage,material deprivation,european union,,11.9
2010,percentage,material deprivation,european union,female,18.4
2011,percentage,material deprivation,european union,female,19.1
2012,percentage,material deprivation,european union,female,20.3
2013,percentage,material deprivation,european union,female,20.1
2014,percentage,material deprivation,european union,female,20.5
2015,percentage,material deprivation,european union,female,18.3
2016,percentage,material deprivation,european union,female,16.9
2017,percentage,material deprivation,european union,female,14.9
2018,percentage,material deprivation,european union,female,13.9
2019,percentage,material deprivation,european union,female,13.2
2020,percentage,material deprivation,european union,female,13.3
2021,percentage,material deprivation,european union,female,12.3
2010,percentage,material deprivation,european union,male,17.2
2011,percentage,material deprivation,european union,male,17.8
2012,percentage,material deprivation,european union,male,19.1
2013,percentage,material deprivation,european union,male,18.9
2014,percentage,material deprivation,european union,male,18.8
2015,percentage,material deprivation,european union,male,16.5
2016,percentage,material deprivation,european union,male,15.1
2017,percentage,material deprivation,european union,male,13.2
2018,percentage,material deprivation,european union,male,12.1
2019,percentage,material deprivation,european union,male,11.5
2020,percentage,material deprivation,european union,male,12.0
2021,percentage,material deprivation,european union,male,11.4
2010,percentage,material deprivation,germany,,11.1
2011,percentage,material deprivation,germany,,12.4
2012,percentage,material deprivation,germany,,11.3
2013,percentage,material deprivation,germany,,11.6
2014,percentage,material deprivation,germany,,12.3
2015,percentage,material deprivation,germany,,11.2
2016,percentage,material deprivation,germany,,9.6
2017,percentage,material deprivation,germany,,8.3
2018,percentage,material deprivation,germany,,7.6
2019,percentage,material deprivation,germany,,6.8
2020,percentage,material deprivation,germany,,9.1
2021,percentage,material deprivation,germany,,8.8
2010,percentage,material deprivation,germany,female,11.5
2011,percentage,material deprivation,germany,female,13.3
2012,percentage,material deprivation,germany,female,12.2
2013,percentage,material deprivation,germany,female,12.5
2014,percentage,material deprivation,germany,female,13.3
2015,percentage,material deprivation,germany,female,12.2
2016,percentage,material deprivation,germany,female,10.5
2017,percentage,material deprivation,germany,female,9.0
2018,percentage,material deprivation,germany,female,8.2
2019,percentage,material deprivation,germany,female,7.2
2020,percentage,material deprivation,germany,female,9.3
2021,percentage,material deprivation,germany,female,8.8
2010,percentage,material deprivation,germany,male,10.6
2011,percentage,material deprivation,germany,male,11.5
2012,percentage,material deprivation,germany,male,10.5
2013,percentage,material deprivation,germany,male,10.7
2014,percentage,material deprivation,germany,male,11.3
2015,percentage,material deprivation,germany,male,10.2
2016,percentage,material deprivation,germany,male,8.6
2017,percentage,material deprivation,germany,male,7.6
2018,percentage,material deprivation,germany,male,7.0
2019,percentage,material deprivation,germany,male,6.4
2020,percentage,material deprivation,germany,male,8.9
2021,percentage,material deprivation,germany,male,8.8
2010,percentage,severe material deprivation,european union,,8.4
2011,percentage,severe material deprivation,european union,,8.8
2012,percentage,severe material deprivation,european union,,9.9
2013,percentage,severe material deprivation,european union,,9.6
2014,percentage,severe material deprivation,european union,,8.9
2015,percentage,severe material deprivation,european union,,8.1
2016,percentage,severe material deprivation,european union,,7.5
2017,percentage,severe material deprivation,european union,,6.6
2018,percentage,severe material deprivation,european union,,5.9
2019,percentage,severe material deprivation,european union,,5.3
2020,percentage,severe material deprivation,european union,,5.9
2021,percentage,severe material deprivation,european union,,
2010,percentage,severe material deprivation,european union,female,
2011,percentage,severe material deprivation,european union,female,9.1
2012,percentage,severe material deprivation,european union,female,10.2
2013,percentage,severe material deprivation,european union,female,9.8
2014,percentage,severe material deprivation,european union,female,9.0
2015,percentage,severe material deprivation,european union,female,8.2
2016,percentage,severe material deprivation,european union,female,7.7
2017,percentage,severe material deprivation,european union,female,6.8
2018,percentage,severe material deprivation,european union,female,6.1
2019,percentage,severe material deprivation,european union,female,5.6
2020,percentage,severe material deprivation,european union,female,6.0
2021,percentage,severe material deprivation,european union,female,
2010,percentage,severe material deprivation,european union,male,
2011,percentage,severe material deprivation,european union,male,8.6
2012,percentage,severe material deprivation,european union,male,9.7
2013,percentage,severe material deprivation,european union,male,9.4
2014,percentage,severe material deprivation,european union,male,8.8
2015,percentage,severe material deprivation,european union,male,8.0
2016,percentage,severe material deprivation,european union,male,7.3
2017,percentage,severe material deprivation,european union,male,6.4
2018,percentage,severe material deprivation,european union,male,5.7
2019,percentage,severe material deprivation,european union,male,5.1
2020,percentage,severe material deprivation,european union,male,5.8
2021,percentage,severe material deprivation,european union,male,
2010,percentage,severe material deprivation,germany,,4.5
2011,percentage,severe material deprivation,germany,,5.3
2012,percentage,severe material deprivation,germany,,4.9
2013,percentage,severe material deprivation,germany,,5.4
2014,percentage,severe material deprivation,germany,,5.0
2015,percentage,severe material deprivation,germany,,4.4
2016,percentage,severe material deprivation,germany,,3.7
2017,percentage,severe material deprivation,germany,,3.4
2018,percentage,severe material deprivation,germany,,3.1
2019,percentage,severe material deprivation,germany,,2.6
2020,percentage,severe material deprivation,germany,,5.6
2021,percentage,severe material deprivation,germany,,
2010,percentage,severe material deprivation,germany,female,
2011,percentage,severe material deprivation,germany,female,5.7
2012,percentage,severe material deprivation,germany,female,5.2
2013,percentage,severe material deprivation,germany,female,5.6
2014,percentage,severe material deprivation,germany,female,5.1
2015,percentage,severe material deprivation,germany,female,4.6
2016,percentage,severe material deprivation,germany,female,4.0
2017,percentage,severe material deprivation,germany,female,3.9
2018,percentage,severe material deprivation,germany,female,3.2
2019,percentage,severe material deprivation,germany,female,2.8
2020,percentage,severe material deprivation,germany,female,5.4
2021,percentage,severe material deprivation,germany,female,
2010,percentage,severe material deprivation,germany,male,
2011,percentage,severe material deprivation,germany,male,5.0
2012,percentage,severe material deprivation,germany,male,4.5
2013,percentage,severe material deprivation,germany,male,5.2
2014,percentage,severe material deprivation,germany,male,4.8
2015,percentage,severe material deprivation,germany,male,4.2
2016,percentage,severe material deprivation,germany,male,3.4
2017,percentage,severe material deprivation,germany,male,2.9
2018,percentage,severe material deprivation,germany,male,3.0
2019,percentage,severe material deprivation,germany,male,2.4
2020,percentage,severe material deprivation,germany,male,5.8
2021,percentage,severe material deprivation,germany,male,
