Year,Units,sex,type of treatment,Value
2011,"per 100,000 inhabitants",,,257.93
2012,"per 100,000 inhabitants",,,252.8
2013,"per 100,000 inhabitants",,,253.78
2014,"per 100,000 inhabitants",,,243.34
2015,"per 100,000 inhabitants",,,249.22
2016,"per 100,000 inhabitants",,,244.56
2017,"per 100,000 inhabitants",,,241.05
2018,"per 100,000 inhabitants",,,241.0
2019,"per 100,000 inhabitants",,,231.41
2020,"per 100,000 inhabitants",,,238.07
2021,"per 100,000 inhabitants",,,252.54
2030,"per 100,000 inhabitants",,,
2011,"per 100,000 inhabitants",female,,174.27
2012,"per 100,000 inhabitants",female,,171.48
2013,"per 100,000 inhabitants",female,,174.01
2014,"per 100,000 inhabitants",female,,166.63
2015,"per 100,000 inhabitants",female,,172.15
2016,"per 100,000 inhabitants",female,,169.95
2017,"per 100,000 inhabitants",female,,168.64
2018,"per 100,000 inhabitants",female,,169.34
2019,"per 100,000 inhabitants",female,,162.47
2020,"per 100,000 inhabitants",female,,165.1
2021,"per 100,000 inhabitants",female,,173.86
2011,"per 100,000 inhabitants",male,,347.65
2012,"per 100,000 inhabitants",male,,339.92
2013,"per 100,000 inhabitants",male,,339.09
2014,"per 100,000 inhabitants",male,,325.27
2015,"per 100,000 inhabitants",male,,331.35
2016,"per 100,000 inhabitants",male,,324.01
2017,"per 100,000 inhabitants",male,,318.21
2018,"per 100,000 inhabitants",male,,317.31
2019,"per 100,000 inhabitants",male,,304.8
2020,"per 100,000 inhabitants",male,,315.74
2021,"per 100,000 inhabitants",male,,336.34
2011,"per 100,000 inhabitants",,mortality avoidable through prevention,163.45
2012,"per 100,000 inhabitants",,mortality avoidable through prevention,160.8
2013,"per 100,000 inhabitants",,mortality avoidable through prevention,162.24
2014,"per 100,000 inhabitants",,mortality avoidable through prevention,155.92
2015,"per 100,000 inhabitants",,mortality avoidable through prevention,159.85
2016,"per 100,000 inhabitants",,mortality avoidable through prevention,157.64
2017,"per 100,000 inhabitants",,mortality avoidable through prevention,155.55
2018,"per 100,000 inhabitants",,mortality avoidable through prevention,155.65
2019,"per 100,000 inhabitants",,mortality avoidable through prevention,149.66
2020,"per 100,000 inhabitants",,mortality avoidable through prevention,157.23
2021,"per 100,000 inhabitants",,mortality avoidable through prevention,171.28
2011,"per 100,000 inhabitants",female,mortality avoidable through prevention,93.29
2012,"per 100,000 inhabitants",female,mortality avoidable through prevention,92.69
2013,"per 100,000 inhabitants",female,mortality avoidable through prevention,95.3
2014,"per 100,000 inhabitants",female,mortality avoidable through prevention,91.52
