Year,Units,Series,Value
2012,,a) corruption perceptions index in germany,79.0
2013,,a) corruption perceptions index in germany,78.0
2014,,a) corruption perceptions index in germany,79.0
2015,,a) corruption perceptions index in germany,81.0
2016,,a) corruption perceptions index in germany,81.0
2017,,a) corruption perceptions index in germany,81.0
2018,,a) corruption perceptions index in germany,80.0
2019,,a) corruption perceptions index in germany,80.0
2020,,a) corruption perceptions index in germany,80.0
2021,,a) corruption perceptions index in germany,80.0
2022,,a) corruption perceptions index in germany,79.0
2023,,a) corruption perceptions index in germany,78.0
2024,,a) corruption perceptions index in germany,75.0
2012,number,b) corruption perceptions index in partner countries for german development cooperation,
2013,number,b) corruption perceptions index in partner countries for german development cooperation,16.0
2014,number,b) corruption perceptions index in partner countries for german development cooperation,30.0
2015,number,b) corruption perceptions index in partner countries for german development cooperation,30.0
2016,number,b) corruption perceptions index in partner countries for german development cooperation,31.0
2017,number,b) corruption perceptions index in partner countries for german development cooperation,32.0
2018,number,b) corruption perceptions index in partner countries for german development cooperation,31.0
2019,number,b) corruption perceptions index in partner countries for german development cooperation,34.0
2020,number,b) corruption perceptions index in partner countries for german development cooperation,36.0
2021,number,b) corruption perceptions index in partner countries for german development cooperation,36.0
2022,number,b) corruption perceptions index in partner countries for german development cooperation,30.0
2023,number,b) corruption perceptions index in partner countries for german development cooperation,34.0
2024,number,b) corruption perceptions index in partner countries for german development cooperation,32.0
