Year,Units,COMMENT_OBS_0,sex,länder,GeoCode,age group,Value
1999,percentage,,,,,,10.7
2003,percentage,,,,,,11.7
2005,percentage,,,,,,12.5
2009,percentage,,,,,,13.3
2013,percentage,,,,,,14.1
2017,percentage,,,,,,14.789
2021,percentage,,,,,,15.402
2000,percentage,.,,,,,
2001,percentage,.,,,,,
2002,percentage,.,,,,,
2004,percentage,.,,,,,
2006,percentage,.,,,,,
2007,percentage,.,,,,,
2008,percentage,.,,,,,
2010,percentage,.,,,,,
2011,percentage,.,,,,,
2012,percentage,.,,,,,
2014,percentage,.,,,,,
2015,percentage,.,,,,,
2016,percentage,.,,,,,
2018,percentage,.,,,,,
2019,percentage,.,,,,,
2020,percentage,.,,,,,
1999,percentage,,female,,,,10.2
2003,percentage,,female,,,,11.2
2005,percentage,,female,,,,11.8
2009,percentage,,female,,,,12.4
2013,percentage,,female,,,,12.8
2017,percentage,,female,,,,13.047
2021,percentage,,female,,,,13.266
2000,percentage,.,female,,,,
2001,percentage,.,female,,,,
2002,percentage,.,female,,,,
2004,percentage,.,female,,,,
2006,percentage,.,female,,,,
2007,percentage,.,female,,,,
2008,percentage,.,female,,,,
2010,percentage,.,female,,,,
2011,percentage,.,female,,,,
2012,percentage,.,female,,,,
2014,percentage,.,female,,,,
2015,percentage,.,female,,,,
2016,percentage,.,female,,,,
2018,percentage,.,female,,,,
2019,percentage,.,female,,,,
2020,percentage,.,female,,,,
1999,percentage,,male,,,,11.1
2003,percentage,,male,,,,12.3
2005,percentage,,male,,,,13.0
2009,percentage,,male,,,,14.2
2013,percentage,,male,,,,15.4
2017,percentage,,male,,,,16.416
2021,percentage,,male,,,,17.298
2000,percentage,.,male,,,,
2001,percentage,.,male,,,,
2002,percentage,.,male,,,,
2004,percentage,.,male,,,,
2006,percentage,.,male,,,,
2007,percentage,.,male,,,,
2008,percentage,.,male,,,,
2010,percentage,.,male,,,,
2011,percentage,.,male,,,,
2012,percentage,.,male,,,,
2014,percentage,.,male,,,,
2015,percentage,.,male,,,,
2016,percentage,.,male,,,,
2018,percentage,.,male,,,,
2019,percentage,.,male,,,,
2020,percentage,.,male,,,,
1999,percentage,,,baden-wuerttemberg,code08,,9.78
2003,percentage,,,baden-wuerttemberg,code08,,10.913
