Year,Units,Value
1991,percentage,24.84
1992,percentage,25.009
1993,percentage,23.962
1994,percentage,24.025
1995,percentage,23.465
1996,percentage,22.933
1997,percentage,22.573
1998,percentage,22.701
1999,percentage,22.833
2000,percentage,22.883
2001,percentage,21.543
2002,percentage,19.887
2003,percentage,19.264
2004,percentage,18.831
2005,percentage,18.764
2006,percentage,19.462
2007,percentage,19.715
2008,percentage,19.96
2009,percentage,18.831
2010,percentage,19.18
2011,percentage,20.002
2012,percentage,19.958
2013,percentage,19.572
2014,percentage,19.778
2015,percentage,19.757
2016,percentage,20.038
2017,percentage,20.146
2018,percentage,20.835
2019,percentage,21.167
2020,percentage,21.349
2021,percentage,21.194
2022,percentage,21.707
2023,percentage,21.5
2024,percentage,20.857
