Year,Units,time series,sex,age group,Value
2003-2006,percentage,,,3 to under 11 years,12.9
2014-2017,percentage,,,3 to under 11 years,12.3
2003-2006,percentage,,female,3 to under 11 years,12.8
2014-2017,percentage,,female,3 to under 11 years,12.9
2003-2006,percentage,,male,3 to under 11 years,13.1
2014-2017,percentage,,male,3 to under 11 years,11.8
2003-2006,percentage,,,11 to under 18 years,18.1
2014-2017,percentage,,,11 to under 18 years,18.7
2003-2006,percentage,,female,11 to under 18 years,17.8
2014-2017,percentage,,female,11 to under 18 years,17.8
2003-2006,percentage,,male,11 to under 18 years,18.3
2014-2017,percentage,,male,11 to under 18 years,19.6
2003-2006,percentage,overweight without obese,,3 to under 11 years,7.7
2014-2017,percentage,overweight without obese,,3 to under 11 years,8.4
2003-2006,percentage,overweight without obese,female,3 to under 11 years,7.6
2014-2017,percentage,overweight without obese,female,3 to under 11 years,9.0
2003-2006,percentage,overweight without obese,male,3 to under 11 years,7.9
2014-2017,percentage,overweight without obese,male,3 to under 11 years,7.8
2003-2006,percentage,overweight without obese,,11 to under 18 years,9.8
2014-2017,percentage,overweight without obese,,11 to under 18 years,10.7
2003-2006,percentage,overweight without obese,female,11 to under 18 years,9.7
2014-2017,percentage,overweight without obese,female,11 to under 18 years,10.6
2003-2006,percentage,overweight without obese,male,11 to under 18 years,10.0
2014-2017,percentage,overweight without obese,male,11 to under 18 years,10.9
2003-2006,percentage,obese,,3 to under 11 years,5.2
2014-2017,percentage,obese,,3 to under 11 years,3.9
2003-2006,percentage,obese,female,3 to under 11 years,5.2
2014-2017,percentage,obese,female,3 to under 11 years,3.9
2003-2006,percentage,obese,male,3 to under 11 years,5.2
2014-2017,percentage,obese,male,3 to under 11 years,3.9
2003-2006,percentage,obese,,11 to under 18 years,8.3
2014-2017,percentage,obese,,11 to under 18 years,8.0
2003-2006,percentage,obese,female,11 to under 18 years,8.2
2014-2017,percentage,obese,female,11 to under 18 years,7.2
2003-2006,percentage,obese,male,11 to under 18 years,8.4
2014-2017,percentage,obese,male,11 to under 18 years,8.7
