Year,Units,Series,Value
2008,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",21.2
2009,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",24.0
2010,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",25.9
2011,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",28.0
2012,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",30.0
2013,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",32.6
2014,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",34.8
2015,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",36.9
2016,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",38.8
2017,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",40.4
2018,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",42.1
2019,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",43.5
2020,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",43.7
2021,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",46.2
2030,percentage,"xxx<u>zeitreihe des indikators:</u> kinder, deren väter elterngeld bezogen haben",
2008,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,
2009,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,6.8
2010,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,7.0
2011,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,7.4
2012,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,7.7
2013,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,8.2
2014,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,8.6
2015,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,8.8
2016,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,9.1
2017,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,9.3
2018,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,9.5
2019,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,9.6
2020,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,9.6
2021,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,10.0
2030,percentage,xxxmännliche bezieher an allen genommenen elterngeldmonaten,
