Year,Units,Series,Value
2015,percentage,a) sustainability in procurement procedures,
2016,percentage,a) sustainability in procurement procedures,
2017,percentage,a) sustainability in procurement procedures,
2018,percentage,a) sustainability in procurement procedures,
2019,percentage,a) sustainability in procurement procedures,
2020,percentage,a) sustainability in procurement procedures,
2021,percentage,a) sustainability in procurement procedures,12.6
2022,percentage,a) sustainability in procurement procedures,12.8
2023,percentage,a) sustainability in procurement procedures,14.0
2026,percentage,a) sustainability in procurement procedures,
2015,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,100.0
2016,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,99.954
2017,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,99.679
2018,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,99.854
2019,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,100.427
2020,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,101.93
2021,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,102.998
2022,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,101.606
2023,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,
2026,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,
2015,percentage,c) sustainable textile procurement,
2016,percentage,c) sustainable textile procurement,
2017,percentage,c) sustainable textile procurement,
2018,percentage,c) sustainable textile procurement,
2019,percentage,c) sustainable textile procurement,
2020,percentage,c) sustainable textile procurement,
2021,percentage,c) sustainable textile procurement,
2022,percentage,c) sustainable textile procurement,
2023,percentage,c) sustainable textile procurement,0.0
2026,percentage,c) sustainable textile procurement,
