Year,Units,time series,Value
1999,percentage,on supervisory boards of listed and fully co-determined companies,
2000,percentage,on supervisory boards of listed and fully co-determined companies,
2001,percentage,on supervisory boards of listed and fully co-determined companies,
2002,percentage,on supervisory boards of listed and fully co-determined companies,
2003,percentage,on supervisory boards of listed and fully co-determined companies,
2004,percentage,on supervisory boards of listed and fully co-determined companies,
2005,percentage,on supervisory boards of listed and fully co-determined companies,
2006,percentage,on supervisory boards of listed and fully co-determined companies,
2007,percentage,on supervisory boards of listed and fully co-determined companies,
2008,percentage,on supervisory boards of listed and fully co-determined companies,
2009,percentage,on supervisory boards of listed and fully co-determined companies,
2010,percentage,on supervisory boards of listed and fully co-determined companies,
2011,percentage,on supervisory boards of listed and fully co-determined companies,
2012,percentage,on supervisory boards of listed and fully co-determined companies,
2013,percentage,on supervisory boards of listed and fully co-determined companies,
2014,percentage,on supervisory boards of listed and fully co-determined companies,
2015,percentage,on supervisory boards of listed and fully co-determined companies,21.3
2016,percentage,on supervisory boards of listed and fully co-determined companies,23.8
2017,percentage,on supervisory boards of listed and fully co-determined companies,28.1
2018,percentage,on supervisory boards of listed and fully co-determined companies,30.9
2019,percentage,on supervisory boards of listed and fully co-determined companies,33.9
2020,percentage,on supervisory boards of listed and fully co-determined companies,35.2
2021,percentage,on supervisory boards of listed and fully co-determined companies,35.9
2022,percentage,on supervisory boards of listed and fully co-determined companies,35.6
2023,percentage,on supervisory boards of listed and fully co-determined companies,37.3
2024,percentage,on supervisory boards of listed and fully co-determined companies,38.5
2030,percentage,on supervisory boards of listed and fully co-determined companies,
2025,percentage,on supervisory boards of listed and fully co-determined companies,
1999,percentage,in management positions in the federal civil service,19.3
2000,percentage,in management positions in the federal civil service,19.5
2001,percentage,in management positions in the federal civil service,18.5
2002,percentage,in management positions in the federal civil service,19.7
2003,percentage,in management positions in the federal civil service,24.0
2004,percentage,in management positions in the federal civil service,24.0
2005,percentage,in management positions in the federal civil service,26.6
2006,percentage,in management positions in the federal civil service,26.9
2007,percentage,in management positions in the federal civil service,27.8
2008,percentage,in management positions in the federal civil service,28.7
2009,percentage,in management positions in the federal civil service,29.9
2010,percentage,in management positions in the federal civil service,30.8
2011,percentage,in management positions in the federal civil service,30.6
2012,percentage,in management positions in the federal civil service,30.6
2013,percentage,in management positions in the federal civil service,30.6
2014,percentage,in management positions in the federal civil service,32.1
2015,percentage,in management positions in the federal civil service,33.6
2016,percentage,in management positions in the federal civil service,
2017,percentage,in management positions in the federal civil service,35.2
2018,percentage,in management positions in the federal civil service,
2019,percentage,in management positions in the federal civil service,37.6
2020,percentage,in management positions in the federal civil service,
2021,percentage,in management positions in the federal civil service,39.6
2022,percentage,in management positions in the federal civil service,43.2
2023,percentage,in management positions in the federal civil service,45.2
2024,percentage,in management positions in the federal civil service,
2030,percentage,in management positions in the federal civil service,
2025,percentage,in management positions in the federal civil service,
