Year,Units,COMMENT_OBS_0,Sex,Federal state,GeoCode,Value
1999,Percentage,,,,,14.9
2000,Percentage,r,,,,14.6
2001,Percentage,r,,,,12.3
2002,Percentage,r,,,,12.5
2003,Percentage,,,,,12.8
2004,Percentage,,,,,12.1
2005,Percentage,r,,,,13.5
2006,Percentage,r,,,,13.7
2007,Percentage,r,,,,12.5
2008,Percentage,,,,,11.8
2009,Percentage,,,,,11.1
2010,Percentage,r,,,,11.9
2011,Percentage,,,,,11.6
2012,Percentage,r,,,,10.4
2013,Percentage,,,,,9.8
2014,Percentage,,,,,9.5
2015,Percentage,r,,,,9.8
2016,Percentage,,,,,10.3
2017,Percentage,,,,,10.1
2018,Percentage,,,,,10.3
2019,Percentage,,,,,10.3
2020,Percentage,r,,,,10.2
2021,Percentage,r,,,,12.4
2022,Percentage,r,,,,12.8
2023,Percentage,p,,,,13.1
2030,Percentage,…,,,,
1999,Percentage,,Female,,,15.6
2000,Percentage,r,Female,,,14.9
2001,Percentage,r,Female,,,12.6
2002,Percentage,r,Female,,,12.5
2003,Percentage,,Female,,,12.8
2004,Percentage,,Female,,,11.9
2005,Percentage,r,Female,,,13.7
2006,Percentage,r,Female,,,13.4
2007,Percentage,r,Female,,,11.9
2008,Percentage,,Female,,,11.2
2009,Percentage,r,Female,,,10.7
2010,Percentage,,Female,,,11.0
2011,Percentage,r,Female,,,10.6
2012,Percentage,r,Female,,,9.7
2013,Percentage,,Female,,,9.3
2014,Percentage,,Female,,,9.0
2015,Percentage,r,Female,,,9.5
2016,Percentage,r,Female,,,9.6
2017,Percentage,,Female,,,9.0
2018,Percentage,,Female,,,9.1
2019,Percentage,,Female,,,8.7
2020,Percentage,r,Female,,,8.5
2021,Percentage,r,Female,,,10.2
2022,Percentage,,Female,,,11.1
2023,Percentage,p,Female,,,10.8
2030,Percentage,…,Female,,,
1999,Percentage,,Male,,,14.2
2000,Percentage,r,Male,,,14.4
2001,Percentage,r,Male,,,12.0
2002,Percentage,r,Male,,,12.5
2003,Percentage,,Male,,,12.9
2004,Percentage,,Male,,,12.2
2005,Percentage,r,Male,,,13.3
2006,Percentage,r,Male,,,14.0
2007,Percentage,r,Male,,,13.1
2008,Percentage,,Male,,,12.4
2009,Percentage,,Male,,,11.5
2010,Percentage,r,Male,,,12.7
2011,Percentage,,Male,,,12.5
2012,Percentage,r,Male,,,11.0
2013,Percentage,r,Male,,,10.3
2014,Percentage,,Male,,,10.0
2015,Percentage,r,Male,,,10.1
2016,Percentage,,Male,,,11.0
2017,Percentage,,Male,,,11.1
2018,Percentage,r,Male,,,11.4
2019,Percentage,,Male,,,11.8
2020,Percentage,,Male,,,11.8
2021,Percentage,r,Male,,,14.3
2022,Percentage,,Male,,,14.5
2023,Percentage,p,Male,,,15.3
2030,Percentage,…,Male,,,
1999,Percentage,,,Baden-Wuerttemberg,code08,
2000,Percentage,.,,Baden-Wuerttemberg,code08,
2001,Percentage,.,,Baden-Wuerttemberg,code08,
2002,Percentage,.,,Baden-Wuerttemberg,code08,
2003,Percentage,.,,Baden-Wuerttemberg,code08,
2004,Percentage,.,,Baden-Wuerttemberg,code08,
2005,Percentage,,,Baden-Wuerttemberg,code08,12.5
2006,Percentage,,,Baden-Wuerttemberg,code08,12.4
2007,Percentage,,,Baden-Wuerttemberg,code08,12.1
2008,Percentage,,,Baden-Wuerttemberg,code08,10.1
2009,Percentage,,,Baden-Wuerttemberg,code08,9.5
2010,Percentage,,,Baden-Wuerttemberg,code08,9.8
2011,Percentage,,,Baden-Wuerttemberg,code08,9.9
2012,Percentage,,,Baden-Wuerttemberg,code08,8.3
2013,Percentage,,,Baden-Wuerttemberg,code08,7.6
2014,Percentage,,,Baden-Wuerttemberg,code08,7.9
2015,Percentage,,,Baden-Wuerttemberg,code08,8.3
2016,Percentage,,,Baden-Wuerttemberg,code08,9.4
2017,Percentage,,,Baden-Wuerttemberg,code08,8.7
2018,Percentage,,,Baden-Wuerttemberg,code08,9.7
2019,Percentage,,,Baden-Wuerttemberg,code08,9.2
2020,Percentage,,,Baden-Wuerttemberg,code08,9.1
2021,Percentage,,,Baden-Wuerttemberg,code08,11.1
2022,Percentage,,,Baden-Wuerttemberg,code08,11.4
2023,Percentage,p,,Baden-Wuerttemberg,code08,12.2
2030,Percentage,…,,Baden-Wuerttemberg,code08,
1999,Percentage,,Female,Baden-Wuerttemberg,code08,
2000,Percentage,.,Female,Baden-Wuerttemberg,code08,
2001,Percentage,.,Female,Baden-Wuerttemberg,code08,
2002,Percentage,.,Female,Baden-Wuerttemberg,code08,
2003,Percentage,.,Female,Baden-Wuerttemberg,code08,
2004,Percentage,.,Female,Baden-Wuerttemberg,code08,
2005,Percentage,,Female,Baden-Wuerttemberg,code08,14.3
2006,Percentage,,Female,Baden-Wuerttemberg,code08,13.4
2007,Percentage,,Female,Baden-Wuerttemberg,code08,11.9
2008,Percentage,,Female,Baden-Wuerttemberg,code08,10.4
2009,Percentage,,Female,Baden-Wuerttemberg,code08,9.5
2010,Percentage,,Female,Baden-Wuerttemberg,code08,10.0
2011,Percentage,,Female,Baden-Wuerttemberg,code08,9.9
2012,Percentage,,Female,Baden-Wuerttemberg,code08,8.3
2013,Percentage,,Female,Baden-Wuerttemberg,code08,7.3
2014,Percentage,,Female,Baden-Wuerttemberg,code08,7.3
2015,Percentage,,Female,Baden-Wuerttemberg,code08,8.5
2016,Percentage,,Female,Baden-Wuerttemberg,code08,8.8
2017,Percentage,,Female,Baden-Wuerttemberg,code08,7.8
2018,Percentage,,Female,Baden-Wuerttemberg,code08,8.5
2019,Percentage,,Female,Baden-Wuerttemberg,code08,7.5
2020,Percentage,,Female,Baden-Wuerttemberg,code08,8.5
2021,Percentage,,Female,Baden-Wuerttemberg,code08,9.4
2022,Percentage,,Female,Baden-Wuerttemberg,code08,9.5
2023,Percentage,p,Female,Baden-Wuerttemberg,code08,9.7
2030,Percentage,…,Female,Baden-Wuerttemberg,code08,
1999,Percentage,,Male,Baden-Wuerttemberg,code08,
2000,Percentage,.,Male,Baden-Wuerttemberg,code08,
2001,Percentage,.,Male,Baden-Wuerttemberg,code08,
2002,Percentage,.,Male,Baden-Wuerttemberg,code08,
2003,Percentage,.,Male,Baden-Wuerttemberg,code08,
2004,Percentage,.,Male,Baden-Wuerttemberg,code08,
2005,Percentage,,Male,Baden-Wuerttemberg,code08,10.7
2006,Percentage,,Male,Baden-Wuerttemberg,code08,11.3
2007,Percentage,,Male,Baden-Wuerttemberg,code08,12.3
2008,Percentage,,Male,Baden-Wuerttemberg,code08,9.8
2009,Percentage,,Male,Baden-Wuerttemberg,code08,9.5
2010,Percentage,,Male,Baden-Wuerttemberg,code08,9.7
