Year,Units,Geschlecht,Value
2007,Prozent,,45.4
2010,Prozent,,45.0
2011,Prozent,,50.2
2012,Prozent,,50.0
2014,Prozent,,52.0
2016,Prozent,,52.0
2018,Prozent,,56.0
2020,Prozent,,62.0
2022,Prozent,,60.4
2008,Prozent,,
2009,Prozent,,
2013,Prozent,,
2015,Prozent,,
2017,Prozent,,
2019,Prozent,,
2021,Prozent,,
2030,Prozent,,
2007,Prozent,Weiblich,42.4
2010,Prozent,Weiblich,
2011,Prozent,Weiblich,47.6
2012,Prozent,Weiblich,
2014,Prozent,Weiblich,
2016,Prozent,Weiblich,52.2
2018,Prozent,Weiblich,
2020,Prozent,Weiblich,
2022,Prozent,Weiblich,60.9
2008,Prozent,Weiblich,
2009,Prozent,Weiblich,
2013,Prozent,Weiblich,
2015,Prozent,Weiblich,
2017,Prozent,Weiblich,
2019,Prozent,Weiblich,
2021,Prozent,Weiblich,
2007,Prozent,Männlich,48.3
2010,Prozent,Männlich,
2011,Prozent,Männlich,52.8
2012,Prozent,Männlich,
2014,Prozent,Männlich,
2016,Prozent,Männlich,51.8
2018,Prozent,Männlich,
2020,Prozent,Männlich,
2022,Prozent,Männlich,60.0
2008,Prozent,Männlich,
2009,Prozent,Männlich,
2013,Prozent,Männlich,
2015,Prozent,Männlich,
2017,Prozent,Männlich,
2019,Prozent,Männlich,
2021,Prozent,Männlich,
