Year,Value,Units
1995,0.31,Prozent
1996,0.32,Prozent
1997,0.28,Prozent
1998,0.26,Prozent
1999,0.26,Prozent
2000,0.27,Prozent
2001,0.27,Prozent
2002,0.27,Prozent
2003,0.28,Prozent
2004,0.28,Prozent
2005,0.36,Prozent
2006,0.36,Prozent
2007,0.37,Prozent
2008,0.38,Prozent
2009,0.35,Prozent
2010,0.39,Prozent
2011,0.39,Prozent
2012,0.37,Prozent
2013,0.38,Prozent
2014,0.42,Prozent
2015,0.52,Prozent
2016,0.7,Prozent
2017,0.67,Prozent
2018,0.61,Prozent
2019,0.61,Prozent
2020,0.73,Prozent
2021,0.76,Prozent
2022,0.85,Prozent
2023,0.82,Prozent
2030,,Prozent
