Year,Value,Units,Series,GeoCode
2000,68.7,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2001,69.1,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2002,68.8,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2003,68.4,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2004,67.9,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2005,69.4,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2006,71.1,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2007,72.9,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2008,74.0,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2009,74.2,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2010,75.0,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2011,76.5,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2012,76.9,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2013,77.3,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2014,77.7,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2015,78.0,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2016,78.6,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2017,79.2,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2018,79.9,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2019,80.6,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2020,79.2,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2021,79.4,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2022,80.7,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2023,81.1,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2030,,Prozent,Erwerbstätigenquote insgesamt (20- bis 64-Jährige),
2000,19.6,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2001,20.8,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2002,22.2,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2003,23.5,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2004,25.3,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2005,28.2,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2006,29.7,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2007,32.9,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2008,35.1,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2009,38.6,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2010,41.1,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2011,44.3,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2012,46.6,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2013,50.0,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2014,52.6,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2015,53.3,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2016,56.0,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2017,58.4,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2018,60.3,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2019,61.8,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2020,60.6,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2021,61.1,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2022,63.1,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2023,65.3,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
2030,,Prozent,Erwerbstätigenquote Ältere (60- bis 64-Jährige),
