Year,Value,Units,Series,COMMENT_OBS_0
2015,,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.
2016,,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.
2017,,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.
2018,,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.
2019,,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.
2020,,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.
2021,12.6,Prozent,a) Nachhaltigkeit in Vergabeverfahren,
2022,12.8,Prozent,a) Nachhaltigkeit in Vergabeverfahren,
2023,14.0,Prozent,a) Nachhaltigkeit in Vergabeverfahren,
2026,,Prozent,a) Nachhaltigkeit in Vergabeverfahren,…
2015,100.0,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,
2016,100.021,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r
2017,99.997,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r
2018,100.344,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r
2019,100.846,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r
2020,101.112,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r
2021,100.506,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r
2022,99.043,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r
2023,96.789,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,
2026,,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,…
2015,,Prozent,c) Nachhaltige Textilbeschaffung,.
2016,,Prozent,c) Nachhaltige Textilbeschaffung,.
2017,,Prozent,c) Nachhaltige Textilbeschaffung,.
2018,,Prozent,c) Nachhaltige Textilbeschaffung,.
2019,,Prozent,c) Nachhaltige Textilbeschaffung,.
2020,,Prozent,c) Nachhaltige Textilbeschaffung,.
2021,,Prozent,c) Nachhaltige Textilbeschaffung,.
2022,,Prozent,c) Nachhaltige Textilbeschaffung,.
2023,0.0,Prozent,c) Nachhaltige Textilbeschaffung,
2026,,Prozent,c) Nachhaltige Textilbeschaffung,…
