Year,Value,Units,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1
1991,39.0,Prozent,,,
1992,41.4,Prozent,,,
1993,45.1,Prozent,,,
1994,47.5,Prozent,,,
1995,54.9,Prozent,,,
1996,57.7,Prozent,,,
1997,58.8,Prozent,,,
1998,59.4,Prozent,,,
1999,60.3,Prozent,,,
2000,59.2,Prozent,,,
2001,58.1,Prozent,,,
2002,59.8,Prozent,,,
2003,63.3,Prozent,,,
2004,65.0,Prozent,,,
2005,67.1,Prozent,,,
2006,66.4,Prozent,,,
2007,63.7,Prozent,,,
2008,65.2,Prozent,,,
2009,72.4,Prozent,,r,
2010,81.0,Prozent,,,
2011,78.5,Prozent,,,
2012,79.8,Prozent,,,
2013,77.5,Prozent,,r,
2014,74.5,Prozent,,,
2015,71.2,Prozent,,,
2016,68.3,Prozent,,,
2017,64.0,Prozent,,,
2018,60.8,Prozent,,,
2019,58.7,Prozent,,,
2020,68.0,Prozent,,r,
2021,67.9,Prozent,,r,
2022,64.4,Prozent,,r,p
2023,62.3,Prozent,,r,p
2024,62.2,Prozent,,r,p
2025,63.5,Prozent,,p,
