Year,Value,Units,GeoCode
2005,7.1,Prozent,
2006,8.4,Prozent,
2007,10.2,Prozent,
2008,10.1,Prozent,
2009,10.7,Prozent,
2010,11.4,Prozent,
2011,12.5,Prozent,
2012,13.6,Prozent,
2013,13.8,Prozent,
2014,14.3,Prozent,
2015,15.2,Prozent,
2016,14.9,Prozent,
2017,16.0,Prozent,
2018,16.8,Prozent,
2019,17.7,Prozent,
2020,19.7,Prozent,
2021,19.2,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
2030,,Prozent,
2040,,Prozent,
2050,,Prozent,
