Year,Value,Units,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1
1991,24.84,Prozent,,,
1992,25.009,Prozent,,,
1993,23.962,Prozent,,,
1994,24.025,Prozent,,,
1995,23.465,Prozent,,,
1996,22.933,Prozent,,,
1997,22.573,Prozent,,,
1998,22.701,Prozent,,,
1999,22.833,Prozent,,,
2000,22.883,Prozent,,r,
2001,21.543,Prozent,,r,
2002,19.887,Prozent,,r,
2003,19.264,Prozent,,r,
2004,18.831,Prozent,,r,
2005,18.764,Prozent,,r,
2006,19.462,Prozent,,r,
2007,19.715,Prozent,,r,
2008,19.963,Prozent,,r,
2009,18.838,Prozent,,r,
2010,19.186,Prozent,,r,
2011,20.008,Prozent,,r,
2012,19.966,Prozent,,r,
2013,19.577,Prozent,,r,
2014,19.783,Prozent,,r,
2015,19.748,Prozent,,r,
2016,20.044,Prozent,,r,
2017,20.134,Prozent,,r,
2018,20.818,Prozent,,r,
2019,21.152,Prozent,,r,
2020,21.343,Prozent,,r,
2021,21.182,Prozent,,r,
2022,21.601,Prozent,,r,p
2023,21.192,Prozent,,r,p
2024,20.46,Prozent,,r,p
2025,20.313,Prozent,,r,p
