Year,Units,Value
1990,Percentage,18.4
1991,Percentage,17.74
1992,Percentage,19.69
1993,Percentage,20.86
1994,Percentage,23.98
1995,Percentage,23.79
1996,Percentage,21.95
1997,Percentage,23.81
1998,Percentage,20.09
1999,Percentage,27.85
2000,Percentage,28.83
2001,Percentage,29.55
2002,Percentage,27.11
2003,Percentage,31.42
2004,Percentage,32.3
2005,Percentage,30.8
2006,Percentage,34.3
2007,Percentage,31.45
2008,Percentage,33.19
2009,Percentage,33.6
2010,Percentage,32.14
2011,Percentage,38.19
2012,Percentage,35.66
2013,Percentage,36.14
2014,Percentage,34.82
2015,Percentage,30.65
2016,Percentage,37.05
2017,Percentage,35.51
2018,Percentage,44.28
2019,Percentage,42.8
2020,Percentage,41.7
2030,Percentage,
