Year,Units,Value
1995,percentage,0.31
1996,percentage,0.32
1997,percentage,0.28
1998,percentage,0.26
1999,percentage,0.26
2000,percentage,0.27
2001,percentage,0.27
2002,percentage,0.27
2003,percentage,0.28
2004,percentage,0.28
2005,percentage,0.36
2006,percentage,0.36
2007,percentage,0.37
2008,percentage,0.38
2009,percentage,0.35
2010,percentage,0.39
2011,percentage,0.39
2012,percentage,0.37
2013,percentage,0.38
2014,percentage,0.42
2015,percentage,0.52
2016,percentage,0.7
2017,percentage,0.67
2018,percentage,0.61
2019,percentage,0.61
2020,percentage,0.73
2021,percentage,0.76
2022,percentage,0.85
2023,percentage,0.82
2024,percentage,0.67
2030,percentage,
