Year,Units,Series,COMMENT_OBS_0,Value
2015,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2016,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2017,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2018,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2019,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2020,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2021,Prozent,a) Nachhaltigkeit in Vergabeverfahren,,12.6
2022,Prozent,a) Nachhaltigkeit in Vergabeverfahren,,12.8
2023,Prozent,a) Nachhaltigkeit in Vergabeverfahren,,14.0
2026,Prozent,a) Nachhaltigkeit in Vergabeverfahren,…,
2015,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,,100.0
2016,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,100.021
2017,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,99.997
2018,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,100.344
2019,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,100.846
2020,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,101.112
2021,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,100.506
2022,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,99.043
2023,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,,96.789
2026,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,…,
2015,Prozent,c) Nachhaltige Textilbeschaffung,.,
2016,Prozent,c) Nachhaltige Textilbeschaffung,.,
2017,Prozent,c) Nachhaltige Textilbeschaffung,.,
2018,Prozent,c) Nachhaltige Textilbeschaffung,.,
2019,Prozent,c) Nachhaltige Textilbeschaffung,.,
2020,Prozent,c) Nachhaltige Textilbeschaffung,.,
2021,Prozent,c) Nachhaltige Textilbeschaffung,.,
2022,Prozent,c) Nachhaltige Textilbeschaffung,.,
2023,Prozent,c) Nachhaltige Textilbeschaffung,,0.0
2026,Prozent,c) Nachhaltige Textilbeschaffung,…,
