Year,Units,Bundesland,GeoCode,Value
2008,Prozent,,,81.8
2009,Prozent,,,82.5
2010,Prozent,,,81.7
2011,Prozent,,,82.0
2012,Prozent,,,81.0
2013,Prozent,,,81.4
2014,Prozent,,,81.8
2015,Prozent,,,81.0
2016,Prozent,,,81.8
2017,Prozent,,,83.1
2018,Prozent,,,82.7
2019,Prozent,,,84.2
2020,Prozent,,,84.1
2008,Prozent,Baden-Württemberg,code08,89.2
2009,Prozent,Baden-Württemberg,code08,88.3
2010,Prozent,Baden-Württemberg,code08,89.2
2011,Prozent,Baden-Württemberg,code08,89.9
2012,Prozent,Baden-Württemberg,code08,90.8
2013,Prozent,Baden-Württemberg,code08,90.8
2014,Prozent,Baden-Württemberg,code08,91.7
2015,Prozent,Baden-Württemberg,code08,90.8
2016,Prozent,Baden-Württemberg,code08,91.7
2017,Prozent,Baden-Württemberg,code08,92.5
2018,Prozent,Baden-Württemberg,code08,93.3
2019,Prozent,Baden-Württemberg,code08,91.7
2008,Prozent,Bayern,code09,93.6
2009,Prozent,Bayern,code09,94.5
2010,Prozent,Bayern,code09,94.9
2011,Prozent,Bayern,code09,93.6
2012,Prozent,Bayern,code09,94.0
2013,Prozent,Bayern,code09,94.1
2014,Prozent,Bayern,code09,94.5
2015,Prozent,Bayern,code09,94.4
2016,Prozent,Bayern,code09,94.5
2017,Prozent,Bayern,code09,92.7
2018,Prozent,Bayern,code09,93.6
2019,Prozent,Bayern,code09,95.2
2008,Prozent,Brandenburg,code12,84.7
2009,Prozent,Brandenburg,code12,85.7
2010,Prozent,Brandenburg,code12,84.7
2011,Prozent,Brandenburg,code12,83.7
2012,Prozent,Brandenburg,code12,83.7
2013,Prozent,Brandenburg,code12,84.7
2014,Prozent,Brandenburg,code12,86.7
2015,Prozent,Brandenburg,code12,85.7
2016,Prozent,Brandenburg,code12,85.7
2017,Prozent,Brandenburg,code12,86.7
2018,Prozent,Brandenburg,code12,88.8
2019,Prozent,Brandenburg,code12,88.7
2008,Prozent,Hessen,code06,87.9
2009,Prozent,Hessen,code06,86.4
2010,Prozent,Hessen,code06,83.6
2011,Prozent,Hessen,code06,87.0
2012,Prozent,Hessen,code06,82.3
2013,Prozent,Hessen,code06,80.9
2014,Prozent,Hessen,code06,87.1
2015,Prozent,Hessen,code06,84.6
2016,Prozent,Hessen,code06,84.7
2017,Prozent,Hessen,code06,87.3
2018,Prozent,Hessen,code06,80.9
2019,Prozent,Hessen,code06,85.9
2008,Prozent,Mecklenburg-Vorpommern,code13,88.7
2009,Prozent,Mecklenburg-Vorpommern,code13,90.0
2010,Prozent,Mecklenburg-Vorpommern,code13,86.2
2011,Prozent,Mecklenburg-Vorpommern,code13,86.2
2012,Prozent,Mecklenburg-Vorpommern,code13,85.0
2013,Prozent,Mecklenburg-Vorpommern,code13,85.0
2018,Prozent,Mecklenburg-Vorpommern,code13,81.4
2019,Prozent,Mecklenburg-Vorpommern,code13,82.2
2008,Prozent,Niedersachsen,code03,69.9
2009,Prozent,Niedersachsen,code03,73.0
2010,Prozent,Niedersachsen,code03,70.4
2011,Prozent,Niedersachsen,code03,69.7
2012,Prozent,Niedersachsen,code03,69.1
2013,Prozent,Niedersachsen,code03,69.3
2014,Prozent,Niedersachsen,code03,69.6
2015,Prozent,Niedersachsen,code03,68.7
2016,Prozent,Niedersachsen,code03,71.5
2017,Prozent,Niedersachsen,code03,70.7
2018,Prozent,Niedersachsen,code03,69.7
2019,Prozent,Niedersachsen,code03,72.1
2008,Prozent,Nordrhein-Westfalen,code05,85.1
2009,Prozent,Nordrhein-Westfalen,code05,86.4
2010,Prozent,Nordrhein-Westfalen,code05,84.0
2011,Prozent,Nordrhein-Westfalen,code05,89.2
2012,Prozent,Nordrhein-Westfalen,code05,84.6
2013,Prozent,Nordrhein-Westfalen,code05,89.3
2014,Prozent,Nordrhein-Westfalen,code05,89.3
2015,Prozent,Nordrhein-Westfalen,code05,88.6
2016,Prozent,Nordrhein-Westfalen,code05,87.4
2017,Prozent,Nordrhein-Westfalen,code05,89.0
2018,Prozent,Nordrhein-Westfalen,code05,88.5
2019,Prozent,Nordrhein-Westfalen,code05,87.8
2008,Prozent,Rheinland-Pfalz,code07,78.3
2009,Prozent,Rheinland-Pfalz,code07,78.3
2010,Prozent,Rheinland-Pfalz,code07,76.8
2011,Prozent,Rheinland-Pfalz,code07,75.4
2012,Prozent,Rheinland-Pfalz,code07,71.0
2013,Prozent,Rheinland-Pfalz,code07,72.5
2014,Prozent,Rheinland-Pfalz,code07,75.4
2015,Prozent,Rheinland-Pfalz,code07,73.9
2016,Prozent,Rheinland-Pfalz,code07,76.8
2017,Prozent,Rheinland-Pfalz,code07,76.8
2018,Prozent,Rheinland-Pfalz,code07,72.1
2019,Prozent,Rheinland-Pfalz,code07,73.4
2008,Prozent,Saarland,code10,100.0
2009,Prozent,Saarland,code10,100.0
2010,Prozent,Saarland,code10,100.0
2011,Prozent,Saarland,code10,87.5
2012,Prozent,Saarland,code10,100.0
2013,Prozent,Saarland,code10,100.0
2014,Prozent,Saarland,code10,100.0
2015,Prozent,Saarland,code10,100.0
2016,Prozent,Saarland,code10,100.0
2017,Prozent,Saarland,code10,100.0
2018,Prozent,Saarland,code10,100.0
2019,Prozent,Saarland,code10,100.0
2008,Prozent,Sachsen,code14,63.0
2009,Prozent,Sachsen,code14,64.8
2010,Prozent,Sachsen,code14,64.4
2011,Prozent,Sachsen,code14,70.5
2012,Prozent,Sachsen,code14,64.5
2013,Prozent,Sachsen,code14,66.7
2014,Prozent,Sachsen,code14,66.7
2015,Prozent,Sachsen,code14,68.3
2016,Prozent,Sachsen,code14,65.1
2017,Prozent,Sachsen,code14,71.0
2018,Prozent,Sachsen,code14,70.7
2019,Prozent,Sachsen,code14,74.1
2008,Prozent,Sachsen-Anhalt,code15,78.5
2009,Prozent,Sachsen-Anhalt,code15,76.9
2010,Prozent,Sachsen-Anhalt,code15,76.8
2011,Prozent,Sachsen-Anhalt,code15,75.4
2012,Prozent,Sachsen-Anhalt,code15,75.4
2013,Prozent,Sachsen-Anhalt,code15,73.9
2014,Prozent,Sachsen-Anhalt,code15,73.9
2015,Prozent,Sachsen-Anhalt,code15,72.9
2016,Prozent,Sachsen-Anhalt,code15,75.7
2017,Prozent,Sachsen-Anhalt,code15,80.0
2018,Prozent,Sachsen-Anhalt,code15,77.3
2019,Prozent,Sachsen-Anhalt,code15,79.1
2008,Prozent,Schleswig-Holstein,code01,66.0
2009,Prozent,Schleswig-Holstein,code01,64.2
2010,Prozent,Schleswig-Holstein,code01,64.2
2011,Prozent,Schleswig-Holstein,code01,69.8
2012,Prozent,Schleswig-Holstein,code01,66.0
2013,Prozent,Schleswig-Holstein,code01,66.0
2014,Prozent,Schleswig-Holstein,code01,66.0
2015,Prozent,Schleswig-Holstein,code01,69.8
2016,Prozent,Schleswig-Holstein,code01,71.7
2017,Prozent,Schleswig-Holstein,code01,66.7
2018,Prozent,Schleswig-Holstein,code01,69.8
2019,Prozent,Schleswig-Holstein,code01,75.5
2008,Prozent,Thüringen,code16,72.7
2009,Prozent,Thüringen,code16,74.5
2010,Prozent,Thüringen,code16,76.4
2011,Prozent,Thüringen,code16,74.5
2012,Prozent,Thüringen,code16,72.7
2013,Prozent,Thüringen,code16,70.0
2014,Prozent,Thüringen,code16,74.6
2016,Prozent,Thüringen,code16,77.1
2017,Prozent,Thüringen,code16,72.2
