Year,Units,Zeitreihe,Value
2010,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,100.0
2011,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,100.322
2012,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,100.322
2013,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,99.035
2014,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,99.839
2015,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,98.071
2016,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,100.322
2017,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,99.035
2018,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,96.785
2019,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,98.232
2020,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,94.051
2021,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,94.855
2022,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,89.228
2010,2010 = 100,bb) Direkter und indirekter Energieverbrauch,100.0
2011,2010 = 100,bb) Direkter und indirekter Energieverbrauch,94.484
2012,2010 = 100,bb) Direkter und indirekter Energieverbrauch,96.041
2013,2010 = 100,bb) Direkter und indirekter Energieverbrauch,96.214
2014,2010 = 100,bb) Direkter und indirekter Energieverbrauch,91.212
2015,2010 = 100,bb) Direkter und indirekter Energieverbrauch,91.074
2016,2010 = 100,bb) Direkter und indirekter Energieverbrauch,93.649
2017,2010 = 100,bb) Direkter und indirekter Energieverbrauch,92.074
2018,2010 = 100,bb) Direkter und indirekter Energieverbrauch,91.277
2019,2010 = 100,bb) Direkter und indirekter Energieverbrauch,91.437
2020,2010 = 100,bb) Direkter und indirekter Energieverbrauch,85.453
2021,2010 = 100,bb) Direkter und indirekter Energieverbrauch,85.704
2022,2010 = 100,bb) Direkter und indirekter Energieverbrauch,
2010,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,100.0
2011,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,95.633
2012,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,98.382
2013,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,99.015
2014,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,93.073
2015,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,92.972
2016,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,95.48
2017,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,92.76
2018,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,91.319
2019,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,89.373
2020,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,82.122
2021,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,83.139
2022,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,
