Year,Units,Luftschadstoff,Value
2005,2005 = 100,Insgesamt,100.0
2006,2005 = 100,Insgesamt,100.868
2007,2005 = 100,Insgesamt,97.175
2008,2005 = 100,Insgesamt,95.532
2009,2005 = 100,Insgesamt,88.283
2010,2005 = 100,Insgesamt,91.505
2011,2005 = 100,Insgesamt,88.216
2012,2005 = 100,Insgesamt,87.81
2013,2005 = 100,Insgesamt,86.6
2014,2005 = 100,Insgesamt,83.507
2015,2005 = 100,Insgesamt,82.848
2016,2005 = 100,Insgesamt,80.139
2017,2005 = 100,Insgesamt,78.232
2018,2005 = 100,Insgesamt,75.254
2019,2005 = 100,Insgesamt,71.104
2020,2005 = 100,Insgesamt,65.806
2021,2005 = 100,Insgesamt,66.03
2022,2005 = 100,Insgesamt,65.617
2005,2005 = 100,SO₂,100.0
2006,2005 = 100,SO₂,99.851
2007,2005 = 100,SO₂,94.578
2008,2005 = 100,SO₂,93.783
2009,2005 = 100,SO₂,82.202
2010,2005 = 100,SO₂,83.922
2011,2005 = 100,SO₂,79.035
2012,2005 = 100,SO₂,78.331
2013,2005 = 100,SO₂,75.95
2014,2005 = 100,SO₂,70.81
2015,2005 = 100,SO₂,71.173
2016,2005 = 100,SO₂,65.821
2017,2005 = 100,SO₂,63.637
2018,2005 = 100,SO₂,61.18
2019,2005 = 100,SO₂,54.834
2020,2005 = 100,SO₂,51.354
2021,2005 = 100,SO₂,53.086
2022,2005 = 100,SO₂,54.165
2005,2005 = 100,NOₓ,100.0
2006,2005 = 100,NOₓ,104.366
2007,2005 = 100,NOₓ,99.466
2008,2005 = 100,NOₓ,97.885
2009,2005 = 100,NOₓ,90.327
2010,2005 = 100,NOₓ,91.056
2011,2005 = 100,NOₓ,89.653
2012,2005 = 100,NOₓ,89.73
2013,2005 = 100,NOₓ,89.66
2014,2005 = 100,NOₓ,86.912
2015,2005 = 100,NOₓ,86.019
2016,2005 = 100,NOₓ,83.528
2017,2005 = 100,NOₓ,79.934
2018,2005 = 100,NOₓ,75.516
2019,2005 = 100,NOₓ,69.859
2020,2005 = 100,NOₓ,61.474
2021,2005 = 100,NOₓ,60.366
2022,2005 = 100,NOₓ,58.92
2005,2005 = 100,NH₃,100.0
2006,2005 = 100,NH₃,99.19
2007,2005 = 100,NH₃,100.669
2008,2005 = 100,NH₃,101.345
2009,2005 = 100,NH₃,101.732
2010,2005 = 100,NH₃,102.082
2011,2005 = 100,NH₃,102.139
2012,2005 = 100,NH₃,102.784
2013,2005 = 100,NH₃,103.584
2014,2005 = 100,NH₃,104.727
2015,2005 = 100,NH₃,104.547
2016,2005 = 100,NH₃,103.588
2017,2005 = 100,NH₃,100.681
2018,2005 = 100,NH₃,96.141
2019,2005 = 100,NH₃,92.858
2020,2005 = 100,NH₃,86.421
2021,2005 = 100,NH₃,83.848
2022,2005 = 100,NH₃,81.733
2005,2005 = 100,NMVOC,100.0
2006,2005 = 100,NMVOC,100.392
2007,2005 = 100,NMVOC,95.619
2008,2005 = 100,NMVOC,91.663
2009,2005 = 100,NMVOC,83.435
2010,2005 = 100,NMVOC,92.113
2011,2005 = 100,NMVOC,85.714
2012,2005 = 100,NMVOC,84.632
2013,2005 = 100,NMVOC,81.471
2014,2005 = 100,NMVOC,78.517
2015,2005 = 100,NMVOC,76.777
2016,2005 = 100,NMVOC,76.259
2017,2005 = 100,NMVOC,76.3
2018,2005 = 100,NMVOC,73.24
2019,2005 = 100,NMVOC,71.368
2020,2005 = 100,NMVOC,69.194
2021,2005 = 100,NMVOC,70.614
2022,2005 = 100,NMVOC,70.048
2005,2005 = 100,PM₂.₅,100.0
2006,2005 = 100,PM₂.₅,100.541
2007,2005 = 100,PM₂.₅,95.541
2008,2005 = 100,PM₂.₅,92.984
2009,2005 = 100,PM₂.₅,83.718
2010,2005 = 100,PM₂.₅,88.3
2011,2005 = 100,PM₂.₅,84.539
2012,2005 = 100,PM₂.₅,83.573
2013,2005 = 100,PM₂.₅,82.333
2014,2005 = 100,PM₂.₅,76.566
2015,2005 = 100,PM₂.₅,75.724
2016,2005 = 100,PM₂.₅,71.5
2017,2005 = 100,PM₂.₅,70.558
2018,2005 = 100,PM₂.₅,70.192
2019,2005 = 100,PM₂.₅,66.602
2020,2005 = 100,PM₂.₅,60.585
2021,2005 = 100,PM₂.₅,62.236
2022,2005 = 100,PM₂.₅,63.22
