Year,Units,Geschlecht,Art der Maßnahme,Value
2011,Je 100 000 Einwohner/-innen,,,257.93
2012,Je 100 000 Einwohner/-innen,,,252.8
2013,Je 100 000 Einwohner/-innen,,,253.78
2014,Je 100 000 Einwohner/-innen,,,243.34
2015,Je 100 000 Einwohner/-innen,,,249.22
2016,Je 100 000 Einwohner/-innen,,,244.56
2017,Je 100 000 Einwohner/-innen,,,241.05
2018,Je 100 000 Einwohner/-innen,,,241.0
2019,Je 100 000 Einwohner/-innen,,,231.41
2020,Je 100 000 Einwohner/-innen,,,238.07
2021,Je 100 000 Einwohner/-innen,,,252.54
2030,Je 100 000 Einwohner/-innen,,,
2011,Je 100 000 Einwohner/-innen,Weiblich,,174.27
2012,Je 100 000 Einwohner/-innen,Weiblich,,171.48
2013,Je 100 000 Einwohner/-innen,Weiblich,,174.01
2014,Je 100 000 Einwohner/-innen,Weiblich,,166.63
2015,Je 100 000 Einwohner/-innen,Weiblich,,172.15
2016,Je 100 000 Einwohner/-innen,Weiblich,,169.95
2017,Je 100 000 Einwohner/-innen,Weiblich,,168.64
2018,Je 100 000 Einwohner/-innen,Weiblich,,169.34
2019,Je 100 000 Einwohner/-innen,Weiblich,,162.47
2020,Je 100 000 Einwohner/-innen,Weiblich,,165.1
2021,Je 100 000 Einwohner/-innen,Weiblich,,173.86
2011,Je 100 000 Einwohner/-innen,Männlich,,347.65
2012,Je 100 000 Einwohner/-innen,Männlich,,339.92
2013,Je 100 000 Einwohner/-innen,Männlich,,339.09
2014,Je 100 000 Einwohner/-innen,Männlich,,325.27
2015,Je 100 000 Einwohner/-innen,Männlich,,331.35
2016,Je 100 000 Einwohner/-innen,Männlich,,324.01
2017,Je 100 000 Einwohner/-innen,Männlich,,318.21
2018,Je 100 000 Einwohner/-innen,Männlich,,317.31
2019,Je 100 000 Einwohner/-innen,Männlich,,304.8
2020,Je 100 000 Einwohner/-innen,Männlich,,315.74
2021,Je 100 000 Einwohner/-innen,Männlich,,336.34
2011,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,163.45
2012,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,160.8
2013,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,162.24
2014,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,155.92
2015,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,159.85
2016,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,157.64
2017,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,155.55
2018,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,155.65
2019,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,149.66
2020,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,157.23
2021,Je 100 000 Einwohner/-innen,,Durch Prävention vermeidbare Sterblichkeit,171.28
2011,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,93.29
2012,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,92.69
2013,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,95.3
2014,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,91.52
2015,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,95.52
2016,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,94.81
2017,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,94.92
2018,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,95.92
2019,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,92.05
2020,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,96.22
2021,Je 100 000 Einwohner/-innen,Weiblich,Durch Prävention vermeidbare Sterblichkeit,105.49
2011,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,238.32
2012,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,233.42
2013,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,233.47
2014,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,224.37
2015,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,228.08
2016,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,224.21
2017,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,219.79
2018,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,218.89
2019,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,210.68
2020,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,221.86
2021,Je 100 000 Einwohner/-innen,Männlich,Durch Prävention vermeidbare Sterblichkeit,241.06
2011,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,94.48
2012,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,92.0
2013,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,91.54
2014,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,87.42
2015,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,89.37
2016,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,86.92
2017,Je 100 000 Einwohner/-innen,,Durch Behandlung vermeidbare Sterblichkeit,85.51
