Year,Units,Value
1991,Prozent,39.5
1992,Prozent,41.9
1993,Prozent,45.5
1994,Prozent,47.9
1995,Prozent,55.3
1996,Prozent,58.1
1997,Prozent,59.2
1998,Prozent,59.8
1999,Prozent,60.3
2000,Prozent,59.2
2001,Prozent,58.1
2002,Prozent,59.8
2003,Prozent,63.3
2004,Prozent,65.0
2005,Prozent,67.1
2006,Prozent,66.4
2007,Prozent,63.7
2008,Prozent,65.2
2009,Prozent,72.3
2010,Prozent,81.0
2011,Prozent,78.5
2012,Prozent,79.8
2013,Prozent,77.4
2014,Prozent,74.5
2015,Prozent,71.2
2016,Prozent,68.3
2017,Prozent,64.0
2018,Prozent,60.8
2019,Prozent,58.7
2020,Prozent,68.1
2021,Prozent,68.1
2022,Prozent,65.0
2023,Prozent,62.9
2024,Prozent,62.5
