Year,Units,Series,Value
2012,,Corruption Perception Index in Deutschland,79.0
2013,,Corruption Perception Index in Deutschland,78.0
2014,,Corruption Perception Index in Deutschland,79.0
2015,,Corruption Perception Index in Deutschland,81.0
2016,,Corruption Perception Index in Deutschland,81.0
2017,,Corruption Perception Index in Deutschland,81.0
2018,,Corruption Perception Index in Deutschland,80.0
2019,,Corruption Perception Index in Deutschland,80.0
2020,,Corruption Perception Index in Deutschland,80.0
2021,,Corruption Perception Index in Deutschland,80.0
2012,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",
2013,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",20.0
2014,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",40.0
2015,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",43.0
2016,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",45.0
2017,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",45.0
2018,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",44.0
2019,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",45.0
2020,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",47.0
2021,Anzahl,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",48.0
